Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,11.72995335,12.48206808,18.77539345,11.99133588,10.87082630,13.07696519,16.95138600,16.12342569,18.06628570,15.61922772,17.07450680,14.31994456,11.24288937,13.19107133,0.00000000
Education,0.00000000,11.18764409,15.06164423,10.79735803,10.74294389,11.37548885,14.83431618,14.15654755,15.26889270,13.74889616,16.33672571,12.59605392,12.29724037,12.52927111,10.05851607
Entertainment,12.57789840,0.00000000,18.47765400,11.38140376,12.96906135,13.70029279,14.48367331,14.14044568,16.27157017,12.95370911,15.48077751,14.36119636,14.15254727,13.29054466,12.89098243
Nonprofits & Activism,7.78727798,7.14130673,0.00000000,7.51750248,6.73145060,6.69868234,16.95609261,6.74003394,17.42008435,16.08807765,19.94853837,8.75253077,15.22710427,15.39346927,7.26281876
People & Blogs,12.56659505,11.85797820,17.67324746,0.00000000,11.88276996,13.64420780,15.03494174,14.10425254,15.53039689,14.31652816,16.46219514,13.37980594,13.79433551,12.34891649,12.54424464
Howto & Style,12.99370974,13.81395668,20.59763786,12.53025333,0.00000000,15.34805356,17.95933959,16.61407398,19.45353445,16.19003845,19.32627366,13.96674539,12.88135407,12.89349957,12.68556408
News & Politics,10.74348869,12.05596891,14.66009492,11.31607647,10.36015523,0.00000000,13.88326375,13.09322483,14.46514953,13.37255598,16.59389939,11.84622397,11.44432566,10.76428982,10.37402351
Comedy,16.50724937,13.76163953,21.76506481,15.04327921,15.56658920,15.47501334,0.00000000,17.53296342,18.19675606,16.81004387,18.31829751,17.12080779,16.00812922,14.79338242,15.26221102
Music,14.13471909,11.26155489,19.79389069,9.64840757,17.31054525,18.45056438,17.68570661,0.00000000,20.43230737,15.04758710,15.02503887,15.52448201,20.07984404,14.76779382,16.06058630
Sports,11.98836781,10.95571336,16.50794960,10.81462441,12.53163621,12.18821801,14.10677785,14.86125761,0.00000000,13.78508013,16.02603483,12.67498960,13.46876556,12.59414049,12.11800136
Film & Animation,13.37293087,11.33582404,19.18131680,13.01303530,13.92373389,16.22685805,17.72651317,17.08001974,19.22808746,0.00000000,13.19895385,17.08215104,15.22299167,14.96083172,13.57554615
Gaming,16.82445429,16.48756792,23.31227338,17.32024198,15.01613165,17.73694995,20.08025694,19.78726888,21.60217850,16.57008438,0.00000000,17.27069781,14.68620759,16.54654255,14.88062548
Travel & Events,14.17682531,14.55462222,20.60583391,12.30624279,15.29130196,16.23553846,18.66789913,15.90236986,19.95547945,16.39070851,17.92128913,0.00000000,16.15494337,13.52499271,15.01182138
Autos & Vehicles,13.32798222,13.81057982,19.83263169,12.83330625,12.29062195,13.99792246,17.00622936,16.04162604,18.15518452,15.40941010,17.89243459,14.18264924,0.00000000,12.09526112,12.17140366
Pets & Animals,15.89161934,15.53012814,21.71031198,15.17740586,14.72486768,17.90217450,18.27146850,18.36934389,21.19316497,14.77771119,15.33658153,14.36762146,16.54888215,0.00000000,14.58680604
