Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,-0.35031847,-0.63076923,-0.80042463,-0.51428571,-0.60302457,-0.74127310,-0.93607306,-0.93166287,-0.92727273,-0.93607306,-0.89709172,-0.95391705,-0.49295775,-0.99061033,0.00000000
Education,0.00000000,-0.64905660,-0.77642276,-0.60366972,-0.78185525,-0.61105991,-0.94006659,-0.88565264,-0.90829694,-0.88565264,-0.95744681,-0.87553648,-0.79466119,-0.98185941,-0.62152134
Entertainment,-0.64367816,0.00000000,-0.92808989,-0.44810127,-0.78936392,-0.81972428,-0.59331476,-0.63428571,-0.62039660,-0.75819672,-0.83137673,-0.90033223,-0.79497908,-0.90666667,-0.79874214
Nonprofits & Activism,-0.73397823,-0.91455274,0.00000000,-0.88188976,-0.98340249,-0.86962190,-0.99721448,-0.93783784,-1.00000000,-0.97248968,-1.00000000,-0.98340249,-0.98614958,-0.99443672,-0.87696335
People & Blogs,-0.55463918,-0.39500463,-0.88735920,0.00000000,-0.55785124,-0.73532796,-0.76168224,-0.52323232,-0.42938389,-0.82125604,-0.78672986,-0.78884935,-0.72540046,-0.67369589,-0.69438202
Howto & Style,-0.72669221,-0.74002574,-0.98240469,-0.51910112,0.00000000,-0.89621318,-0.97372263,-0.96511628,-0.98823529,-0.96226415,-0.97084548,-0.94252874,-0.79072848,-0.99704579,-0.73111396
News & Politics,-0.43808256,-0.72800000,-0.83050847,-0.64885496,-0.87175043,0.00000000,-0.94594595,-0.92857143,-0.92857143,-0.95652174,-0.98165138,-0.97080292,-0.89473684,-0.98529412,-0.79104478
Comedy,-0.92572215,-0.52339499,-0.99714693,-0.74563591,-0.97461213,-0.95804196,0.00000000,-0.94444444,-0.95804196,-0.91780822,-0.93370166,-0.99430199,-0.98019802,-0.94174757,-0.96078431
Music,-0.87745665,-0.61752988,-0.94491018,-0.54961832,-0.97087379,-0.95192308,-0.95192308,0.00000000,-0.96135266,-0.93103448,-0.94026284,-0.87745665,-0.99019608,-0.99753998,-0.96372430
Sports,-0.92207792,-0.67502021,-1.00000000,-0.54973822,-0.99230769,-0.96212121,-0.97145576,-0.96958175,0.00000000,-0.96212121,-0.93644860,-0.99422522,-0.97898758,-0.99422522,-0.96958175
Film & Animation,-0.69540230,-0.42857143,-0.93442623,-0.59891599,-0.91558442,-0.92182410,-0.81538462,-0.82098765,-0.87301587,0.00000000,-0.59891599,-0.96013289,-0.93442623,-0.96666667,-0.90938511
Gaming,-0.96930533,-0.87827427,-1.00000000,-0.86249045,-0.98372661,-0.99183007,-0.96138375,-0.95980707,-0.94573025,-0.88553751,0.00000000,-0.99509002,-0.99509002,-0.99345871,-0.96296296
Travel & Events,-0.66951567,-0.73372781,-0.95986622,-0.53403141,-0.87220447,-0.94684385,-0.98644068,-0.69364162,-0.97972973,-0.95986622,-0.97972973,0.00000000,-0.94684385,-0.97972973,-0.93399340
Autos & Vehicles,-0.83443709,-0.83747927,-0.99101527,-0.80456026,-0.86689132,-0.94727592,-0.98744395,-0.99280576,-0.98033959,-0.98211091,-0.99459946,-0.98566308,0.00000000,-0.99459946,-0.76996805
Pets & Animals,-0.93700787,-0.70833333,-0.98387097,-0.25190840,-0.99190283,-0.96800000,-0.84269663,-0.99190283,-0.97590361,-0.96015936,-0.96800000,-0.97590361,-0.97590361,0.00000000,-0.98387097
