Genre,Film & Animation,People & Blogs,Comedy,Education,Gaming,Music,Entertainment,Travel & Events,Howto & Style,Science & Technology,Nonprofits & Activism,Sports,News & Politics,Autos & Vehicles,Pets & Animals
Film & Animation,0.62985974,0.05623542,0.02529499,0.04069091,0.04578788,0.03134545,0.12767203,0.00472727,0.00909091,0.00745455,0.00527273,0.00490909,0.00855452,0.00164172,0.00145455
Education,0.01769454,0.06467731,0.00597561,0.58445836,0.00745006,0.01746144,0.07276379,0.00422764,0.02705110,0.07599647,0.05272358,0.01543264,0.04685144,0.00582385,0.00097561
Music,0.04568241,0.10838320,0.03122703,0.03881234,0.02598425,0.60314961,0.09350787,0.00236220,0.00590551,0.01181102,0.00656168,0.00998031,0.00921785,0.00039370,0.00629921
Gaming,0.02133730,0.02120534,0.00965825,0.00973254,0.87536970,0.00683507,0.03926449,0.00014859,0.00364042,0.00492818,0.00014859,0.00658742,0.00066865,0.00032689,0.00014859
Comedy,0.03374917,0.07407579,0.62552301,0.01276648,0.02805510,0.04027916,0.13969151,0.00300429,0.00364807,0.00660514,0.00536481,0.00383405,0.00785199,0.00871701,0.00617102
Entertainment,0.06331966,0.07822721,0.05089204,0.05592708,0.03897168,0.02601562,0.57019108,0.00401910,0.02648861,0.02301823,0.01015625,0.02297917,0.01415885,0.00935937,0.00643229
People & Blogs,0.04995094,0.37033845,0.04282210,0.09225825,0.04835040,0.06360210,0.13719639,0.00436291,0.05202503,0.03208191,0.02573948,0.01705560,0.02263225,0.01912969,0.02201365
Science & Technology,0.00905018,0.05150068,0.00304659,0.11352407,0.00645076,0.00897737,0.07834613,0.00224014,0.05071301,0.59594843,0.03076464,0.01570426,0.01810447,0.01378328,0.00201400
Howto & Style,0.01315789,0.09639098,0.00105263,0.06938596,0.01289474,0.00342105,0.05991228,0.00508772,0.59759398,0.08978697,0.00877193,0.00578947,0.00543860,0.02526316,0.00605263
Sports,0.01358025,0.06878395,0.00829630,0.05642593,0.02162963,0.00666667,0.09176543,0.00407407,0.01139506,0.01886420,0.00222222,0.67220370,0.00925926,0.01038889,0.00444444
Nonprofits & Activism,0.00355369,0.02092489,0.00076816,0.06477654,0.00027933,0.00831006,0.01672874,0.00027933,0.00614525,0.01806331,0.83222067,0.00037244,0.02725171,0.00000000,0.00055866
Travel & Events,0.05294118,0.09705882,0.00000000,0.10882353,0.01764706,0.03921569,0.11176471,0.36078431,0.05000000,0.08235294,0.00588235,0.01764706,0.02941176,0.02058824,0.00588235
News & Politics,0.02228916,0.05581702,0.01144578,0.15028970,0.00180723,0.02786145,0.06419679,0.00361446,0.02121151,0.04148615,0.04818261,0.00391566,0.54211191,0.00180723,0.00401606
Pets & Animals,0.01044776,0.07885572,0.00199005,0.00447761,0.00298507,0.00447761,0.03905473,0.00074627,0.01815920,0.02537313,0.00000000,0.01293532,0.00373134,0.00298507,0.79378109
Autos & Vehicles,0.01599556,0.07726400,0.00702736,0.03788610,0.00425117,0.00359627,0.03331712,0.00097087,0.02785374,0.03446602,0.00000000,0.00485437,0.00194175,0.74967638,0.00000000
