Genre,News & Politics,Sports,People & Blogs,Science & Technology,Education,Howto & Style,Autos & Vehicles,Nonprofits & Activism,Music,Entertainment,Pets & Animals,Film & Animation,Travel & Events,Comedy,Gaming
News & Politics,0.57429196,0.01280119,0.06161896,0.04650905,0.12943865,0.02274077,0.01363140,0.02716470,0.02036205,0.05751404,0.00372191,0.01094926,0.00827091,0.00967095,0.00131421
Education,0.03743021,0.00767416,0.08375233,0.06756136,0.57459468,0.04077976,0.02198613,0.03665970,0.01895668,0.06043353,0.00203147,0.02012238,0.01415946,0.00534982,0.00921277
Entertainment,0.01598605,0.04147981,0.09108032,0.02707055,0.04711811,0.02789970,0.02672071,0.00645425,0.05578431,0.53870532,0.00749078,0.03462759,0.00940799,0.04960156,0.02080697
Howto & Style,0.00444664,0.00359025,0.10403942,0.05683292,0.05608926,0.63879274,0.03625406,0.00250329,0.01030047,0.06194223,0.00160738,0.00962733,0.00944225,0.00223979,0.00279974
Science & Technology,0.02367831,0.00667599,0.07526828,0.52991165,0.10796181,0.06031490,0.08132105,0.01986155,0.00903887,0.05461471,0.00266811,0.01173500,0.00549255,0.00349536,0.00800624
Sports,0.00464312,0.77948036,0.08204237,0.00605939,0.01507467,0.00466366,0.00692879,0.00091059,0.00627706,0.06395887,0.00168612,0.00888430,0.00214205,0.00746459,0.01060938
Autos & Vehicles,0.00567361,0.00671726,0.05252806,0.03955321,0.02642481,0.02554082,0.79163387,0.00196503,0.00174848,0.03302883,0.00049384,0.00648059,0.00418215,0.00200513,0.00211742
People & Blogs,0.01783698,0.05265864,0.43843483,0.03068164,0.06873621,0.05809042,0.04247770,0.01600852,0.07906654,0.09025569,0.02172844,0.02150436,0.02309265,0.02298926,0.01671680
Gaming,0.00193395,0.01077723,0.03240317,0.00708374,0.01205467,0.00253672,0.00194125,0.00038314,0.01095147,0.04554539,0.00108557,0.01965931,0.00097914,0.00738840,0.84573824
Nonprofits & Activism,0.02619816,0.00207373,0.04329877,0.02024578,0.08239247,0.00301459,0.00278418,0.77048771,0.01399770,0.01966590,0.00368664,0.00714286,0.00326421,0.00128648,0.00046083
Music,0.00463084,0.00372783,0.10005657,0.00608940,0.02115403,0.00447340,0.00059718,0.00648751,0.72776240,0.07652345,0.00119435,0.01647304,0.01042828,0.00918205,0.01127398
Film & Animation,0.01040516,0.01579190,0.07569587,0.01995856,0.05509669,0.01812878,0.01040516,0.00518877,0.03966390,0.12742305,0.00451197,0.53836951,0.01034530,0.01988293,0.04913247
Comedy,0.01040428,0.00942059,0.06306976,0.00970859,0.01798442,0.00528289,0.00424335,0.00132924,0.02688559,0.14167975,0.00709411,0.01753920,0.00122699,0.67151702,0.01304913
Travel & Events,0.01180743,0.00247748,0.12452822,0.01233108,0.04877099,0.01816911,0.01663851,0.00612331,0.06036138,0.06623311,0.00337838,0.01189189,0.61015100,0.00070383,0.00692568
Pets & Animals,0.00195531,0.00043063,0.17756116,0.00665736,0.01309923,0.00648277,0.00681359,0.00339851,0.00294143,0.06185951,0.68873063,0.00781382,0.00484171,0.01423847,0.00436153
