Genre,Average Fewest Hops To Exit
Science & Technology,2.1226415094339623
Education,2.176470588235294
Entertainment,2.1401869158878504
Nonprofits & Activism,2.5854922279792745
People & Blogs,2.0628930817610063
Howto & Style,2.2560975609756095
News & Politics,2.226086956521739
Comedy,2.416267942583732
Music,2.3553113553113554
Sports,2.414383561643836
Film & Animation,2.1984126984126986
Gaming,2.825278810408922
Travel & Events,2.47008547008547
Autos & Vehicles,2.594674556213018
Pets & Animals,2.240506329113924
