Source,Target,weight
lutiVGV5Omg,rZTabDT0qWE,1
lutiVGV5Omg,cB4irRaB_6s,1
I7BbrjoftJA,1uwz7BhAWZE,1
I7BbrjoftJA,sykjB7fS1Po,1
I7BbrjoftJA,3ZfYF9aIO7U,1
MCOs47th1lo,WPOfNdYM8j0,1
MCOs47th1lo,8CsJQZFXPoo,1
MCOs47th1lo,xjnF5WfPaTQ,1
S0ECpN8Wvug,AxkOeSymv6I,1
S0ECpN8Wvug,qi5zwQzNnnk,1
S0ECpN8Wvug,Do82AUZQUhM,1
S0ECpN8Wvug,VUzxuV_yUXs,1
S0ECpN8Wvug,tXzsZ7j4Dj8,1
MPv0zz6r6w0,ZOYHr1A3J-I,1
MPv0zz6r6w0,XE3jGyqquqg,1
MPv0zz6r6w0,v5ZxAThB3rc,1
MJeDBNWZ4RI,8fxygSnVWos,1
MJeDBNWZ4RI,8cSO1j6jHo8,1
MJeDBNWZ4RI,eOcZwr-1Y1E,1
i1QDBFnZmr8,AxkOeSymv6I,1
i1QDBFnZmr8,54xKba8TyRw,1
i1QDBFnZmr8,PmOubpqZPdo,1
sykjB7fS1Po,r8oORR6jyh8,1
sykjB7fS1Po,c9Z3iiu6z5Y,1
sykjB7fS1Po,gTnkNHB7dss,1
-24Kv_fnOHc,N535pPZKv4k,1
-24Kv_fnOHc,S_An0kxRgpQ,1
-24Kv_fnOHc,J1liRlo4FjU,1
CgyzaQlrUFI,zOOrhYg5tcQ,1
CgyzaQlrUFI,ZOYHr1A3J-I,1
npgvyrL2l9Y,oJ3BrlOqpIg,1
npgvyrL2l9Y,ZASZV_3F9EM,1
npgvyrL2l9Y,RIJ26DrbI2U,1
lT_g8lPi-Zs,v9oecfKcL1o,1
lT_g8lPi-Zs,9Dl5J9b8GBw,1
cEn1_wJu_ME,jWH-LwJSCVU,1
cEn1_wJu_ME,JVHx1s5WJrs,1
cEn1_wJu_ME,tg4nN1wZ7YI,1
ZOYHr1A3J-I,bf1uryf8K50,1
ZOYHr1A3J-I,nq3GViZ5KvU,1
ZOYHr1A3J-I,wVz9qjcDlFI,1
76xRkWhCbe8,50k5qIZVohs,1
76xRkWhCbe8,muK1iC8QBCE,1
oKhhWGhBkYo,LE6b4zzsqPI,1
oKhhWGhBkYo,r8oORR6jyh8,1
oKhhWGhBkYo,Oo3RhhBGIxw,1
oKhhWGhBkYo,P9XDOHOwFdI,1
oKhhWGhBkYo,QhpOg186fks,1
oKhhWGhBkYo,AxkOeSymv6I,1
oKhhWGhBkYo,I7BbrjoftJA,1
muK1iC8QBCE,DwWMt7guVOc,1
muK1iC8QBCE,Or-eDOmcJs0,2
muK1iC8QBCE,6AuwE3L6bEo,1
muK1iC8QBCE,JsCYdcMFDA4,1
VUzxuV_yUXs,iFHZnptCerw,1
VUzxuV_yUXs,i1QDBFnZmr8,1
VUzxuV_yUXs,VLjQaWPhPLQ,1
VUzxuV_yUXs,S0ECpN8Wvug,1
VUzxuV_yUXs,hYJ_W-Jl1o0,1
0enRXbhzW6U,RnrBNByvCVQ,1
0enRXbhzW6U,HO8kRM5pzjQ,1
0enRXbhzW6U,uX0jA4258Jw,1
