Source,Target,weight
ULuzlZ_pbQ0,aGEXI0rB4yg,1
ULuzlZ_pbQ0,KxI-ommIknE,1
ULuzlZ_pbQ0,h4_SZpEAKd4,1
5bVNg54-AaA,z91oThv9H8Y,1
5bVNg54-AaA,IZ2-DljvL4A,1
5bVNg54-AaA,-Ss4pFIVzv4,1
fGv9KQ7xbF4,ruXsFuYY6Fk,1
fGv9KQ7xbF4,mGVonT-xgcQ,1
fGv9KQ7xbF4,zDPSRzHWSgY,1
fGv9KQ7xbF4,t6OBk9YBLQU,1
fGv9KQ7xbF4,_Z4dRGiOTYo,1
fGv9KQ7xbF4,Zh2-rVsXWUU,1
HPkuEIgo2-o,W980Aj8pyBs,2
HPkuEIgo2-o,vH7ASHJO6kQ,2
HPkuEIgo2-o,HNoU97ModT0,3
HPkuEIgo2-o,mGVonT-xgcQ,2
HPkuEIgo2-o,YAD0a6wWFrI,2
HPkuEIgo2-o,fj7U77NSTa4,1
HPkuEIgo2-o,fGv9KQ7xbF4,2
HPkuEIgo2-o,anxfxIt7eX4,1
HPkuEIgo2-o,pYrydCWuzZI,1
HPkuEIgo2-o,igT8XYYhkmo,1
Neqsykti8Hg,urTf8vCNk_0,1
Neqsykti8Hg,3901c0ds7oo,1
Neqsykti8Hg,1-XBxjbx8HQ,1
4duZFTrHwhw,igT8XYYhkmo,1
4duZFTrHwhw,zDPSRzHWSgY,1
4duZFTrHwhw,sdgJGrY6D3o,1
K6oKb9FUZEk,7WX6UVh0xUQ,1
K6oKb9FUZEk,Enz9qD4bQYo,1
K6oKb9FUZEk,IwGE8GvodbQ,1
ruXsFuYY6Fk,t6OBk9YBLQU,1
ruXsFuYY6Fk,_Z4dRGiOTYo,1
ruXsFuYY6Fk,dcQEWGjDS2o,1
ruXsFuYY6Fk,vH7ASHJO6kQ,2
ruXsFuYY6Fk,ufhExQnUKUk,2
ruXsFuYY6Fk,zDPSRzHWSgY,1
ruXsFuYY6Fk,6qYKXLr28zo,1
ruXsFuYY6Fk,etM7GV4NQ9M,1
ruXsFuYY6Fk,BlaPn7LkwJA,1
ruXsFuYY6Fk,ZJwS5Kqdhdg,1
ruXsFuYY6Fk,uVVBe6Sma2A,1
