Id;Genre;Probabilities
olkgPzlh5A8;News & Politics; {'24': 0.30000000000000004, '23': 0.5, '10': 0.03333333333333333, '25': 0.13333333333333333, '22': 0.03333333333333333}
wpU2qlquTTI;Comedy; {'23': 0.9999999999999999}
sgnz3KXup5E;People & Blogs; {'24': 0.2, '1': 0.1, '10': 0.6, '22': 0.1}
eZUJktFHULI;Comedy; {'23': 0.35000000000000003, '22': 0.1, '24': 0.5, '10': 0.05}
-I3KunBNM7s;Comedy; {'22': 0.1, '24': 0.2, '23': 0.7}
dBoq3YeNH6o;Comedy; {'23': 0.9999999999999999}
xYHspLsfOy0;Comedy; {'23': 1.0176470588235293, '24': 0.023529411764705882, '27': 0.011764705882352941, '22': 0.0058823529411764705}
ykx9-6YUa4M;Comedy; {'23': 0.9999999999999999}
TX7BuYeR-4Q;Comedy; {'24': 0.30000000000000004, '23': 0.4, '22': 0.30000000000000004}
PTLYNsLBdjI;Entertainment; {'23': 0.82, '27': 0.1, '26': 0.02, '22': 0.06000000000000001}
rB8nih-S2aE;Comedy; {'24': 0.5, '23': 0.5}
lU3yZ7tHfqA;Comedy; {'23': 0.9999999999999999}
L7K-kaelQEs;Comedy; {'23': 0.8923076923076921, '22': 0.12307692307692308, '25': 0.007692307692307693, '10': 0.015384615384615385, '24': 0.038461538461538464}
BIhBBLA03k0;Comedy; {'23': 0.9999999999999999}
YX1D6YoYKqQ;Comedy; {'23': 1.5666666666666664, '24': 0.06666666666666667, '15': 0.03333333333333333}
47mA5_nAtWY;Comedy; {'23': 0.8499999999999999, '24': 0.15000000000000002}
ei86zrL5U4E;Entertainment; {'24': 0.5333333333333333, '23': 0.4666666666666666}
9czoezm2vqw;Comedy; {'23': 0.7999999999999999, '10': 0.1, '22': 0.1}
_4JFo0LcB_k;Comedy; {'23': 0.6499999999999999, '22': 0.1, '24': 0.2, '27': 0.05}
YxD3pT8C9-A;Comedy; {'23': 1.2333333333333334, '27': 0.09999999999999999, '10': 0.05000000000000001, '22': 0.03333333333333333, '1': 0.016666666666666666, '24': 0.03333333333333333, '15': 0.016666666666666666, '25': 0.016666666666666666}
RZnmq9YN8Xg;People & Blogs; {'23': 0.6, '10': 0.1, '17': 0.2, '22': 0.1}
IUzBU-OafNE;Comedy; {'23': 0.8999999999999999, '17': 0.1}
_eYJFk1bGkQ;People & Blogs; {'23': 0.7999999999999999, '25': 0.1, '22': 0.1}
DEuIP_ZHDAc;Comedy; {'23': 1.0, '10': 0.06666666666666667, '24': 0.20000000000000004, '22': 0.06666666666666667}
NFuBaRiKwD4;People & Blogs; {'22': 0.30000000000000004, '23': 0.30000000000000004, '24': 0.2, '17': 0.1, '1': 0.1}
yzFVHCVUGak;Comedy; {'23': 0.7, '24': 0.1, '10': 0.2}
KTyTdKlh9Tk;Entertainment; {'23': 0.625, '24': 0.30000000000000004, '10': 0.07500000000000001}
mR69F23h1tw;Comedy; {'23': 0.8999999999999999, '27': 0.1}
MVmief5B-II;Entertainment; {'22': 0.3333333333333333, '20': 0.10000000000000002, '10': 0.10000000000000002, '24': 0.2333333333333333, '23': 0.13333333333333333, '27': 0.10000000000000002}
mFXdyXaDgNw;Comedy; {'24': 0.1, '23': 0.9}
n4AWs7bbgkc;Music; {'23': 0.35000000000000003, '24': 0.6, '25': 0.05}
3rLrhKYm-Fs;Comedy; {'23': 0.7999999999999999, '24': 0.1, '10': 0.1}
Nr4A0hF3ArE;Comedy; {'23': 0.8999999999999999, '28': 0.10000000000000002}
DlG4PGZjXJs;Comedy; {'23': 1.08, '24': 0.02, '25': 0.1}
PMt7C3COiVM;Comedy; {'23': 0.8999999999999999, '22': 0.1}
dc1ZTvm76v0;Comedy; {'24': 0.1, '23': 0.8999999999999999}
57HLMNJcoKc;Music; {'22': 0.4, '27': 0.2, '23': 0.1, '24': 0.1, '10': 0.2}
xX_7VbIcrDo;Comedy; {'24': 0.2, '10': 0.05, '22': 0.2, '23': 0.5, '27': 0.05}
JXgL0FFg3kQ;Sports; {'23': 0.8499999999999999, '15': 0.1, '24': 0.05}
3mtfa0iyeM0;Comedy; {'23': 0.8857142857142856, '22': 0.042857142857142864, '15': 0.028571428571428574, '27': 0.014285714285714287, '24': 0.028571428571428574}
eRWzTIO51DI;Comedy; {'23': 1.1285714285714286, '27': 0.014285714285714287}
vygrf6lNzrA;Comedy; {'23': 0.8999999999999999, '22': 0.1}
9SQCH_xTbHw;Comedy; {'23': 0.7999999999999999, '22': 0.1, '24': 0.1}
fbMBr5Ndfi0;Comedy; {'23': 0.5, '10': 0.15, '24': 0.3, '27': 0.05000000000000001}
ol0CWSbB428;Comedy; {'23': 0.85, '10': 0.55, '24': 0.05, '22': 0.05}
pIKlq1r6gdY;Comedy; {'23': 0.8999999999999999, '28': 0.1}
hUKTjZunJJk;Comedy; {'23': 0.9999999999999999}
Mu8c6u2DN40;Comedy; {'23': 0.9999999999999999}
ehBgQMAd-XE;Comedy; {'23': 0.7, '24': 0.2, '27': 0.1}
p7wAohYGf04;Music; {'22': 0.30000000000000004, '10': 0.6, '27': 0.1}
2WvcyQQgaYY;Comedy; {'25': 0.1, '23': 0.7, '24': 0.1, '15': 0.1}
zxuPtXCevug;People & Blogs; {'23': 0.16666666666666666, '24': 0.3333333333333333, '17': 0.20000000000000004, '22': 0.26666666666666666, '15': 0.03333333333333333}
9GrqyuBLso8;Comedy; {'23': 0.8999999999999999, '24': 0.1}
puLoXRxM3As;Entertainment; {'24': 0.7, '20': 0.2, '17': 0.1}
B0K1HLQJUY0;Comedy; {'23': 0.9999999999999999}
h8h-xeuC1L0;People & Blogs; {'23': 0.7, '10': 0.2, '22': 0.1}
OyznACXeAUc;Comedy; {'23': 1.257142857142857, '10': 0.014285714285714287, '24': 0.014285714285714287}
b2ENsuPOfcE;Comedy; {'23': 0.5, '26': 0.1, '22': 0.25, '10': 0.15000000000000002}
_DyafqsZa7M;Comedy; {'23': 0.9199999999999999, '24': 0.08}
aFq7LGZlVsc;Education; {'27': 0.45, '22': 0.15000000000000002, '23': 0.35000000000000003, '24': 0.05}
kI4PuPopzR4;Comedy; {'23': 0.6199999999999999, '24': 0.3, '22': 0.02, '27': 0.06000000000000001}
KWwMdr7NfdI;Education; {'27': 0.4, '15': 0.05, '23': 0.45, '22': 0.1}
2aYbgSM-5iM;Comedy; {'23': 0.9999999999999999}
Pt4gNfd-JMk;Comedy; {'22': 0.16, '10': 0.02, '23': 0.9, '27': 0.02, '24': 0.08, '17': 0.02}
wuU_A5gy9T4;Comedy; {'23': 0.6, '24': 0.2, '25': 0.1, '27': 0.1}
q7HzpGYmBhg;Comedy; {'23': 0.7999999999999999, '17': 0.1, '22': 0.1}
_pJ9z_0EWiE;Music; {'22': 0.2, '10': 0.7, '29': 0.1}
YredUpOVZG8;Comedy; {'23': 0.9999999999999998}
HgGYEeCxxZY;Comedy; {'23': 0.6, '22': 0.2, '24': 0.1, '10': 0.1}
ux5D3xesgd0;Comedy; {'23': 0.7999999999999999, '22': 0.1, '24': 0.05, '10': 0.05}
ccUfsoSSBi4;Comedy; {'23': 0.9999999999999999}
KgnCYty-koI;Comedy; {'23': 0.5, '25': 0.1, '24': 0.30000000000000004, '22': 0.1}
IEpBdUZ9jtA;Comedy; {'23': 0.6499999999999999, '10': 0.1, '22': 0.15000000000000002, '24': 0.1}
o6Gp2lQGCag;Entertainment; {'24': 0.6, '23': 0.4}
tnUQoZRXf1k;Comedy; {'22': 0.23333333333333336, '23': 0.7000000000000001, '24': 0.06666666666666667}
