Source,Target,weight
FbNT01-ORnU,xOkuaRNzFT8,2
FbNT01-ORnU,3KmOE2coQEQ,1
FbNT01-ORnU,-u_K7O9csuA,2
FbNT01-ORnU,dLbzeih-0wQ,1
pNgHL_CcO2I,FuP4-p7-EJY,1
pNgHL_CcO2I,aMdiWocAY5E,1
pNgHL_CcO2I,bh5DCiy7Rvg,1
cbKcpZ5JkBU,l_XY3fVw7kA,1
cbKcpZ5JkBU,eV2ldj7unMU,1
cbKcpZ5JkBU,alvEWiwKpEM,1
n69kV4gVoDw,TkR2HpkrJ2c,1
n69kV4gVoDw,kss0X8oaeow,1
n69kV4gVoDw,R89zNg3WYko,1
BwTOLL404JA,MYmVV_CH2eI,1
BwTOLL404JA,TP7mxDeiizY,1
BwTOLL404JA,AoQzjX3LOJo,1
96rJGbqYDGQ,hKzEt2MZQiM,1
96rJGbqYDGQ,rZiNFYVymHs,1
96rJGbqYDGQ,GEie7zueRR0,1
dKoCNC8hLeE,35yLWdYEbZQ,1
dKoCNC8hLeE,58lfaMFUQc0,1
cwHZbsr1YFA,-Z-QZRv3yBc,1
cwHZbsr1YFA,Ayc9STKjUX4,1
cwHZbsr1YFA,mewMBbbvRNI,1
LxkbHKNKMwk,QgNu241Han4,1
LxkbHKNKMwk,FbNT01-ORnU,1
LxkbHKNKMwk,xOkuaRNzFT8,1
zgDZ4BLk0Pw,Wlap9RgOUX8,1
zgDZ4BLk0Pw,JB56n7NxpOU,1
zgDZ4BLk0Pw,iaJOElP_6bU,1
8RYY_oW7I6w,Ntt98rTky-g,1
8RYY_oW7I6w,ZzUY5U84CAw,1
8RYY_oW7I6w,PeVq6wMbd1k,1
QgNu241Han4,B0952ajY0PM,1
QgNu241Han4,VgVfdAswkrc,1
QgNu241Han4,bQ-DPlT9lVk,1
N8yzzPgsidM,7Uu3XDmWTlQ,1
N8yzzPgsidM,sQASkQFt_ug,1
N8yzzPgsidM,sKeQe7oc2gk,1
rFUXshaaMQM,upvIDEzzV_4,1
rFUXshaaMQM,ap0TxiLMMoE,1
rFUXshaaMQM,g6aKFKIDbQw,1
dLbzeih-0wQ,BykhcdEe-fU,1
dLbzeih-0wQ,FbNT01-ORnU,1
xtMwHyNS5lE,N8yzzPgsidM,1
xtMwHyNS5lE,pYMN7ov7EG0,1
xtMwHyNS5lE,TVWXoQqs1Tw,1
HecyxhXDepU,Jb4prVsXkZU,1
HecyxhXDepU,zxRgfBXn6Mg,1
HecyxhXDepU,zikI2fazPLo,1
Jb4prVsXkZU,dNdDpc8HsaY,1
Jb4prVsXkZU,HqVGof2PHcE,1
Jb4prVsXkZU,8PLqBt4IZxw,1
dNdDpc8HsaY,zyb9jlbSFHA,1
dNdDpc8HsaY,Jb4prVsXkZU,1
dNdDpc8HsaY,1-pLGSINybk,1
1t-LHoe_WYA,25Y20pwAut8,1
1t-LHoe_WYA,UPYjueFLi28,1
1t-LHoe_WYA,YYmbgKvoppQ,1
FuP4-p7-EJY,aMdiWocAY5E,1
FuP4-p7-EJY,QrPcJovQJi4,1
FuP4-p7-EJY,CoftCRiuPCY,1
58lfaMFUQc0,7dEKRtmGDKs,1
58lfaMFUQc0,eI24zwFLcuU,1
58lfaMFUQc0,fkRJxgYgTVA,1
zxRgfBXn6Mg,dKoCNC8hLeE,1
zxRgfBXn6Mg,xtMwHyNS5lE,1
zxRgfBXn6Mg,Vki7L-Iw3NA,1
zxRgfBXn6Mg,i_O5bIsszGw,1
zxRgfBXn6Mg,4wsMjxESAY0,1
zxRgfBXn6Mg,RSqKx3FG0Lw,1
VN7hS58yYCI,eVOoncpD-X0,1
VN7hS58yYCI,FFhHTKcqj64,1
VN7hS58yYCI,Ta3R6oQOT1o,1
xOkuaRNzFT8,X2mVL_trjmo,2
xOkuaRNzFT8,Ucn2viZB5iY,1
xOkuaRNzFT8,vl7slVibMYo,1
xOkuaRNzFT8,tzoGTQXBATM,2
xOkuaRNzFT8,FbNT01-ORnU,1
xOkuaRNzFT8,-u_K7O9csuA,1
xOkuaRNzFT8,oQA7r17FyTk,1
aMdiWocAY5E,Fn4C-ziQJaQ,1
aMdiWocAY5E,3Ysci3O4nEQ,1
aMdiWocAY5E,1aBIGyCCKCI,2
aMdiWocAY5E,VDNm3CAKuKE,2
aMdiWocAY5E,Ta3R6oQOT1o,1
aMdiWocAY5E,VN7hS58yYCI,1
aMdiWocAY5E,fFO3Pny77Uw,1
DDfDnZ7FiZg,rFUXshaaMQM,1
DDfDnZ7FiZg,zxRgfBXn6Mg,1
DDfDnZ7FiZg,n69kV4gVoDw,1
