Id;Genre;Probabilities
c9K2Ab_pi-4;Education; {'25': 0.1, '22': 0.30000000000000004, '27': 0.30000000000000004, '29': 0.1, '1': 0.2}
IfT9Et7Ogxw;Science & Technology; {'28': 0.7999999999999999, '24': 0.1, '27': 0.1}
25Y20pwAut8;News & Politics; {'27': 0.4, '22': 0.2, '24': 0.1, '29': 0.2, '25': 0.1}
o-dfzSUlVVY;Nonprofits & Activism; {'1': 0.1, '29': 0.7999999999999999, '27': 0.1}
VDNm3CAKuKE;People & Blogs; {'22': 0.8999999999999999, '25': 0.1}
crvyqYibYLA;News & Politics; {'25': 0.2, '10': 0.30000000000000004, '27': 0.2, '1': 0.1, '22': 0.2}
YYmbgKvoppQ;Nonprofits & Activism; {'22': 0.2, '25': 0.30000000000000004, '29': 0.2, '24': 0.1, '27': 0.2}
fkRJxgYgTVA;Education; {'27': 0.8999999999999999, '17': 0.1}
upvIDEzzV_4;Science & Technology; {'28': 0.2, '24': 0.2, '27': 0.4, '17': 0.1, '25': 0.1}
YVCm1-toVFg;People & Blogs; {'22': 0.8999999999999999, '25': 0.1}
BwTOLL404JA;People & Blogs; {'27': 0.6, '22': 0.2, '24': 0.1, '19': 0.1}
z7nk3tpSTVA;Entertainment; {'24': 0.30000000000000004, '26': 0.1, '28': 0.1, '19': 0.2, '22': 0.1, '27': 0.1, '17': 0.1}
aMdiWocAY5E;News & Politics; {'22': 0.8833333333333333, '25': 0.11666666666666665}
-Z-QZRv3yBc;Nonprofits & Activism; {'29': 0.7999999999999999, '27': 0.1, '24': 0.1}
MYmVV_CH2eI;Travel & Events; {'25': 0.2, '27': 0.5, '22': 0.2, '29': 0.1}
l_XY3fVw7kA;Nonprofits & Activism; {'27': 0.30000000000000004, '19': 0.1, '10': 0.2, '22': 0.2, '29': 0.1, '1': 0.1}
sKeQe7oc2gk;Education; {'27': 0.7, '25': 0.1, '28': 0.2}
MdG4GO4WboE;Education; {'27': 0.6, '28': 0.30000000000000004, '2': 0.1}
3Ysci3O4nEQ;People & Blogs; {'22': 0.8999999999999999, '25': 0.1}
aXX6DfBIAY4;Film & Animation; {'1': 0.30000000000000004, '22': 0.30000000000000004, '28': 0.2, '19': 0.1, '24': 0.1}
f1ACJBDYTZ4;Education; {'25': 0.1, '27': 0.4, '1': 0.2, '22': 0.2, '29': 0.1}
kss0X8oaeow;Education; {'27': 0.9999999999999999}
R89zNg3WYko;Education; {'27': 0.8999999999999999, '2': 0.1}
CoftCRiuPCY;People & Blogs; {'22': 0.8333333333333334, '25': 0.16666666666666666}
1aBIGyCCKCI;People & Blogs; {'22': 0.75, '25': 0.25}
VN7hS58yYCI;News & Politics; {'22': 0.7999999999999999, '25': 0.1, '29': 0.1}
hAN0uJ3i0rQ;Gaming; {'1': 0.1, '20': 0.4, '28': 0.30000000000000004, '24': 0.1, '2': 0.1}
H0sWsG_ylxs;Education; {'22': 0.4, '27': 0.2, '25': 0.1, '29': 0.30000000000000004}
vknUpipM8DU;Education; {'22': 0.30000000000000004, '27': 0.30000000000000004, '24': 0.1, '29': 0.30000000000000004}
1-pLGSINybk;Science & Technology; {'1': 0.1, '28': 0.6, '27': 0.2, '22': 0.1}
M5EIFcNG9jU;People & Blogs; {'22': 0.8999999999999999, '25': 0.1}
4HzfwPgvVTg;Education; {'27': 0.5, '24': 0.10000000000000002, '29': 0.16666666666666666, '10': 0.06666666666666667, '22': 0.16666666666666666}
e9z-dMQjRBE;Music; {'29': 0.30000000000000004, '27': 0.4, '1': 0.1, '25': 0.1, '10': 0.1}
eVOoncpD-X0;People & Blogs; {'22': 0.8499999999999999, '25': 0.15000000000000002}
HecyxhXDepU;Travel & Events; {'24': 0.2, '27': 0.2, '28': 0.4, '2': 0.1, '22': 0.1}
sv0ZPnXU-9E;Nonprofits & Activism; {'29': 0.4, '22': 0.2, '25': 0.1, '24': 0.2, '27': 0.1}
LxkbHKNKMwk;News & Politics; {'25': 0.9999999999999999}
bE_0-D2F8Wc;Education; {'27': 0.5, '25': 0.1, '1': 0.1, '29': 0.2, '22': 0.1}
l9ERelVkBzQ;Nonprofits & Activism; {'29': 0.9999999999999999}
mTMFJdlkHk4;Science & Technology; {'28': 0.7, '2': 0.1, '27': 0.1, '19': 0.1}
GGp08YB4mao;News & Politics; {'25': 0.9999999999999999}
Jb4prVsXkZU;Science & Technology; {'28': 0.6, '27': 0.10000000000000002, '20': 0.10000000000000002, '1': 0.10000000000000002, '24': 0.10000000000000002}
tzoGTQXBATM;Comedy; {'23': 0.8999999999999999, '22': 0.1}
TCbnf3pryJo;People & Blogs; {'22': 0.7, '25': 0.30000000000000004}
V95SEYZseJU;People & Blogs; {'1': 0.6, '2': 0.1, '22': 0.2, '24': 0.1}
PYfnZB89no4;Science & Technology; {'20': 0.30000000000000004, '28': 0.30000000000000004, '22': 0.2, '24': 0.1, '1': 0.1}
4wsMjxESAY0;News & Politics; {'28': 0.30000000000000004, '27': 0.30000000000000004, '25': 0.2, '19': 0.2}
atXDPFEMDEM;People & Blogs; {'22': 0.7999999999999999, '25': 0.2}
zyb9jlbSFHA;People & Blogs; {'22': 0.5, '2': 0.1, '28': 0.2, '27': 0.1, '24': 0.1}
41HJ6BF6vJk;News & Politics; {'22': 0.7, '25': 0.2, '29': 0.1}
FFhHTKcqj64;People & Blogs; {'22': 0.7999999999999999, '25': 0.2}
35yLWdYEbZQ;Education; {'27': 0.9999999999999999}
JB56n7NxpOU;Gaming; {'20': 0.9999999999999999}
6az_5mGa3QA;Music; {'27': 0.30000000000000004, '10': 0.1, '29': 0.1, '1': 0.1, '24': 0.1, '22': 0.30000000000000004}
qnuJDfZIjtg;News & Politics; {'25': 0.4, '28': 0.2, '27': 0.2, '1': 0.1, '10': 0.1}
Vki7L-Iw3NA;Film & Animation; {'1': 0.30000000000000004, '24': 0.1, '22': 0.2, '27': 0.30000000000000004, '28': 0.1}
QgNu241Han4;News & Politics; {'27': 0.5, '25': 0.2, '29': 0.1, '22': 0.2}
TP7mxDeiizY;People & Blogs; {'29': 0.1, '26': 0.1, '10': 0.1, '22': 0.4, '23': 0.1, '27': 0.1, '24': 0.1}
eI24zwFLcuU;Education; {'27': 0.8999999999999999, '15': 0.1}
dgiYKfSuaVg;Education; {'27': 0.4, '19': 0.1, '22': 0.2, '29': 0.2, '24': 0.1}
8RYY_oW7I6w;News & Politics; {'29': 0.1, '1': 0.1, '24': 0.1, '22': 0.6, '19': 0.1}
alvEWiwKpEM;News & Politics; {'25': 0.4, '27': 0.2, '17': 0.1, '24': 0.1, '22': 0.2}
58lfaMFUQc0;Education; {'27': 0.8999999999999999, '2': 0.05, '22': 0.05}
aPEy3QwsKjQ;Science & Technology; {'24': 0.4, '17': 0.1, '28': 0.1, '27': 0.30000000000000004, '19': 0.1}
dJhAWeweT5o;Education; {'27': 0.5, '29': 0.30000000000000004, '24': 0.1, '22': 0.1}
D6fyH4J1tlE;People & Blogs; {'22': 0.8999999999999999, '25': 0.1}
zjie9xNr3vI;People & Blogs; {'27': 0.4, '1': 0.1, '29': 0.1, '25': 0.1, '22': 0.30000000000000004}
i_O5bIsszGw;Education; {'27': 0.8999999999999999, '28': 0.1}
5mHv284D3Pk;Education; {'22': 0.5, '24': 0.2, '1': 0.2, '27': 0.1}
BykhcdEe-fU;News & Politics; {'25': 0.9999999999999999}
vH4S0NCtBMc;Education; {'1': 0.1, '10': 0.2, '25': 0.1, '24': 0.2, '27': 0.30000000000000004, '22': 0.1}
hhdAiEVme0I;Nonprofits & Activism; {'22': 0.4, '27': 0.4, '1': 0.1, '29': 0.1}
iaJOElP_6bU;Gaming; {'20': 0.8999999999999999, '22': 0.1}
-u_K7O9csuA;News & Politics; {'25': 0.825, '27': 0.125, '24': 0.05}
cbKcpZ5JkBU;News & Politics; {'25': 0.4, '29': 0.30000000000000004, '27': 0.2, '19': 0.1}
OYCQZVIDAx8;People & Blogs; {'22': 0.8999999999999999, '25': 0.1}
fpHdjcCfrSg;Comedy; {'24': 0.6, '22': 0.2, '10': 0.1, '1': 0.1}
49lUuD3uN74;People & Blogs; {'25': 0.6, '22': 0.4}
SkiwWIIc5z4;Nonprofits & Activism; {'25': 0.1, '29': 0.30000000000000004, '10': 0.1, '27': 0.2, '22': 0.2, '24': 0.1}
mf0XvLvp12E;News & Politics; {'25': 0.1, '29': 0.30000000000000004, '10': 0.2, '27': 0.30000000000000004, '22': 0.1}
