Id;Genre;Probabilities
Yce2ZvGeanY;Education; {'26': 0.30000000000000004, '27': 0.7}
lOzSiOIipSM;Education; {'27': 0.6, '24': 0.1, '28': 0.1, '22': 0.1, '26': 0.1}
pZuPbRIBwrE;Education; {'27': 0.4, '28': 0.2, '26': 0.2, '10': 0.1, '22': 0.1}
yl_er-KCQU0;Gaming; {'20': 0.5, '27': 0.5}
s5uFTvtHVbQ;Education; {'28': 0.5, '1': 0.1, '22': 0.2, '27': 0.2}
bA6pj9la_kQ;Entertainment; {'27': 0.30000000000000004, '28': 0.2, '10': 0.2, '24': 0.2, '26': 0.1}
wEnh7u6lbaY;Education; {'27': 0.7, '28': 0.1, '24': 0.1, '1': 0.1}
nFrYZ3y3z9k;Gaming; {'27': 0.5, '26': 0.1, '20': 0.30000000000000004, '1': 0.1}
8APKcZ-OPpI;Science & Technology; {'27': 0.2, '28': 0.7, '22': 0.1}
ikg_yghD5Z4;Gaming; {'20': 0.7999999999999999, '1': 0.1, '27': 0.1}
ZWuJCvID9-o;Film & Animation; {'27': 0.5, '20': 0.2, '28': 0.1, '15': 0.1, '26': 0.1}
KZMLDHHK3_Y;Education; {'28': 0.4, '15': 0.1, '24': 0.1, '22': 0.30000000000000004, '2': 0.1}
OPWtTw4tFBY;Howto & Style; {'1': 0.2, '27': 0.4, '26': 0.4}
