Source,Target,weight
kQk3ls1DWiI,pHxgOChXH40,1
kQk3ls1DWiI,oAQ4BsFYqt4,1
kQk3ls1DWiI,1LJgmCzXxrU,1
hsmpQ8HAnXs,xxjT7nK0Q9k,1
hsmpQ8HAnXs,JIPIQ-Zyh1Q,1
hsmpQ8HAnXs,oAQ4BsFYqt4,1
ZH5ToNRxYlM,BowkWFFZKpE,1
ZH5ToNRxYlM,cPHBhd-PYeY,1
ZH5ToNRxYlM,X6BnQid-pCM,1
xxjT7nK0Q9k,05ZLdc42Pwk,1
xxjT7nK0Q9k,HGBZg4-2Zqg,1
xxjT7nK0Q9k,2p1pek2WT7o,1
oAQ4BsFYqt4,kQk3ls1DWiI,1
oAQ4BsFYqt4,XJp39G32jgE,1
oAQ4BsFYqt4,8puTATEDirE,1
HGBZg4-2Zqg,ZABN-p_4XBM,1
HGBZg4-2Zqg,RGGH5rgHWoM,1
HGBZg4-2Zqg,Wk9rRyJk0hk,1
ccrAcFvUQvA,pyi24FTtx90,1
ccrAcFvUQvA,vD706a_e7Xk,1
ccrAcFvUQvA,ZkVsFl98790,1
8puTATEDirE,hsmpQ8HAnXs,1
8puTATEDirE,vb_zwTK3nRE,1
8puTATEDirE,DnN6YdsqCRU,1
5cMVNtmbwyo,2G4f1kh0O2g,1
5cMVNtmbwyo,ZH5ToNRxYlM,1
5cMVNtmbwyo,X2t1ZzUOSNg,1
2G4f1kh0O2g,_Jblsl29OaQ,1
2G4f1kh0O2g,_xcoCKZF7rE,1
2G4f1kh0O2g,J68LCtht8yE,1
ByH5dUC2njU,vUr5L5trHjc,1
ByH5dUC2njU,gGINxhX5Y7A,1
ByH5dUC2njU,Fk-cl5jTjpg,1
3LQo-mOm5_A,rXWlEuCK4io,1
3LQo-mOm5_A,QlbpiuCXD1E,1
3LQo-mOm5_A,URo4SGcCzyE,1
2p1pek2WT7o,uWldKib5oRQ,1
2p1pek2WT7o,VWmcLw1HEBY,1
2p1pek2WT7o,hsmpQ8HAnXs,1
05ZLdc42Pwk,Gqcx-EYs19U,1
05ZLdc42Pwk,htDjVa0MSgY,1
05ZLdc42Pwk,arlMneoLl90,1
JIPIQ-Zyh1Q,XJp39G32jgE,1
JIPIQ-Zyh1Q,ccrAcFvUQvA,1
JIPIQ-Zyh1Q,3LQo-mOm5_A,1
XJp39G32jgE,SWAXUbqda_E,1
XJp39G32jgE,vUr5L5trHjc,2
XJp39G32jgE,0MM9nrsMzyM,1
XJp39G32jgE,dzi2BXNnV-g,1
XJp39G32jgE,X2t1ZzUOSNg,1
X2t1ZzUOSNg,NoCHxyxKBQM,1
X2t1ZzUOSNg,OkRIXyiy0DA,1
X2t1ZzUOSNg,BcAbcs65JUg,1
