Source,Target,weight
iiPEhihynpM,nap8c6kCZ60,1
iiPEhihynpM,_4ECreudnHQ,1
iiPEhihynpM,O2s2nL5a3dQ,1
N8klTinFr10,rdv9YLmuih0,1
N8klTinFr10,vDH7NrjiJV8,1
N8klTinFr10,L3ButkYt1CQ,1
L3ButkYt1CQ,SVoRXv50ITY,1
L3ButkYt1CQ,vDH7NrjiJV8,1
L3ButkYt1CQ,nap8c6kCZ60,1
X8DQTp_9dgU,RTQiB8S3wiY,1
X8DQTp_9dgU,HhAINaz5x9A,1
X8DQTp_9dgU,6jPTcgwAlI8,1
RTQiB8S3wiY,6Ue39SZX5T4,1
RTQiB8S3wiY,Yq4MC3J48uA,1
RTQiB8S3wiY,YvCjuF3Xg7w,1
4tYzB9kemhc,xsq679XIFk0,1
4tYzB9kemhc,2H18vCGTN7Q,1
4tYzB9kemhc,3pVta2JO9Hw,1
8HhCrucC-aI,e0WankLluHA,1
8HhCrucC-aI,NE4lDhDkTNU,1
8HhCrucC-aI,Jm0OG0FeMDg,1
2H18vCGTN7Q,o2jH0mD4ebQ,1
2H18vCGTN7Q,Qj9dJmTxz7o,1
2H18vCGTN7Q,xsq679XIFk0,1
kjwTrhIpwRw,lrlgUX-oKRg,1
kjwTrhIpwRw,Qj9dJmTxz7o,1
kjwTrhIpwRw,xRJfaCPkY7I,1
Qj9dJmTxz7o,X8DQTp_9dgU,1
Qj9dJmTxz7o,wwLYKFDMVC8,1
Qj9dJmTxz7o,LLmOfUet-fI,1
_VXKoNzTXhk,RK8ryjZY2c8,1
_VXKoNzTXhk,xsq679XIFk0,1
_VXKoNzTXhk,jMzcWIaDjC8,1
vDH7NrjiJV8,rdv9YLmuih0,1
vDH7NrjiJV8,psfP8kRJ-PQ,1
vDH7NrjiJV8,O2s2nL5a3dQ,1
vDH7NrjiJV8,N8klTinFr10,1
vDH7NrjiJV8,SVoRXv50ITY,1
vDH7NrjiJV8,5p1fBVkCXcs,1
3pVta2JO9Hw,kjwTrhIpwRw,1
3pVta2JO9Hw,X8DQTp_9dgU,1
3pVta2JO9Hw,XvgyAIghPhw,1
XvgyAIghPhw,BJlbQDzYD4s,1
XvgyAIghPhw,8U27uDWHl4M,1
XvgyAIghPhw,xd-vNoK9urY,1
5p1fBVkCXcs,zOYWeplwB9w,1
5p1fBVkCXcs,Pc6pTm8EO1o,1
5p1fBVkCXcs,iiPEhihynpM,1
SVoRXv50ITY,RTQiB8S3wiY,1
SVoRXv50ITY,S_T4mJgjxCU,1
SVoRXv50ITY,8HhCrucC-aI,1
rdv9YLmuih0,SqmTFuuVZAk,1
rdv9YLmuih0,YYRH5T_kAS4,1
rdv9YLmuih0,psfP8kRJ-PQ,1
xsq679XIFk0,TLzmvI-X9CQ,1
xsq679XIFk0,Py_rvqsmKwk,1
xsq679XIFk0,_VXKoNzTXhk,1
xsq679XIFk0,tZBGpEppVPM,1
xsq679XIFk0,Spl_EucFJqw,1
xsq679XIFk0,5XNeeulRC18,1
zOYWeplwB9w,NQhB_64E12I,1
zOYWeplwB9w,1VXeObS4mdY,1
zOYWeplwB9w,YYRH5T_kAS4,1
o2jH0mD4ebQ,uQAKqOweatE,1
o2jH0mD4ebQ,mH_2iYhZmcE,1
o2jH0mD4ebQ,R4i3Ch-Uo94,1
S_T4mJgjxCU,_nWPV9cpY4M,1
S_T4mJgjxCU,B5sef98DOJ4,1
S_T4mJgjxCU,roCcmF6g1jA,1
TLzmvI-X9CQ,Qj9dJmTxz7o,1
TLzmvI-X9CQ,QCHmp6NzzwY,1
TLzmvI-X9CQ,DjZvZduo6PU,1
Pc6pTm8EO1o,5p1fBVkCXcs,1
Pc6pTm8EO1o,A03SYLV_7XU,1
Pc6pTm8EO1o,YYRH5T_kAS4,1
Py_rvqsmKwk,5rdLslkcwXU,1
Py_rvqsmKwk,xsq679XIFk0,1
Py_rvqsmKwk,GDVEZmUCU2A,1
