Id;Genre;Probabilities
TLzmvI-X9CQ;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
LLmOfUet-fI;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
xd-vNoK9urY;Gaming; {'20': 0.6, '1': 0.4}
_VXKoNzTXhk;Film & Animation; {'1': 0.7999999999999999, '23': 0.1, '22': 0.1}
YYRH5T_kAS4;Film & Animation; {'1': 0.8333333333333334, '20': 0.06666666666666667, '24': 0.06666666666666667, '22': 0.03333333333333333}
Yq4MC3J48uA;Film & Animation; {'1': 0.7999999999999999, '28': 0.1, '27': 0.1}
rdv9YLmuih0;Film & Animation; {'1': 0.8999999999999999, '28': 0.05, '20': 0.05}
wwLYKFDMVC8;Film & Animation; {'1': 0.9999999999999999}
NQhB_64E12I;Film & Animation; {'1': 0.9999999999999999}
O2s2nL5a3dQ;Film & Animation; {'1': 0.7999999999999999, '24': 0.2}
L3ButkYt1CQ;Film & Animation; {'24': 0.1, '1': 0.8999999999999999}
NE4lDhDkTNU;Film & Animation; {'1': 0.9999999999999999}
Pc6pTm8EO1o;Film & Animation; {'24': 0.1, '20': 0.1, '1': 0.7999999999999999}
N8klTinFr10;Film & Animation; {'1': 0.9999999999999999}
vDH7NrjiJV8;Film & Animation; {'1': 0.8999999999999999, '28': 0.03333333333333333, '24': 0.06666666666666667}
xsq679XIFk0;Film & Animation; {'1': 0.8249999999999998, '20': 0.1, '22': 0.07500000000000001}
mH_2iYhZmcE;Film & Animation; {'1': 0.6, '15': 0.2, '22': 0.2}
psfP8kRJ-PQ;Film & Animation; {'1': 0.75, '28': 0.05, '24': 0.15000000000000002, '20': 0.05}
5p1fBVkCXcs;Film & Animation; {'1': 0.8499999999999999, '24': 0.05, '20': 0.1}
Jm0OG0FeMDg;Film & Animation; {'1': 0.6, '26': 0.4}
XvgyAIghPhw;Gaming; {'1': 0.4, '20': 0.6}
xRJfaCPkY7I;Film & Animation; {'20': 0.1, '1': 0.8999999999999999}
nap8c6kCZ60;Film & Animation; {'1': 0.7999999999999999, '24': 0.1, '20': 0.05, '2': 0.05}
3pVta2JO9Hw;Gaming; {'20': 0.7, '1': 0.30000000000000004}
iiPEhihynpM;Film & Animation; {'1': 0.8999999999999999, '24': 0.1}
DjZvZduo6PU;Film & Animation; {'20': 0.2, '1': 0.7999999999999999}
4tYzB9kemhc;Gaming; {'1': 0.30000000000000004, '20': 0.7}
e0WankLluHA;Film & Animation; {'1': 0.8999999999999999, '24': 0.1}
6Ue39SZX5T4;Film & Animation; {'1': 0.6, '24': 0.2, '22': 0.2}
Qj9dJmTxz7o;Film & Animation; {'1': 0.9999999999999999}
RTQiB8S3wiY;Film & Animation; {'1': 0.7999999999999999, '20': 0.1, '22': 0.05, '15': 0.05}
2H18vCGTN7Q;Gaming; {'20': 0.4, '1': 0.6}
Spl_EucFJqw;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
S_T4mJgjxCU;Film & Animation; {'1': 0.7999999999999999, '24': 0.1, '22': 0.1}
HhAINaz5x9A;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
8HhCrucC-aI;Film & Animation; {'1': 0.8999999999999999, '26': 0.1}
zOYWeplwB9w;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
kjwTrhIpwRw;Gaming; {'20': 0.4, '1': 0.6}
BJlbQDzYD4s;Film & Animation; {'1': 0.9999999999999999}
5rdLslkcwXU;Film & Animation; {'1': 0.8999999999999999, '22': 0.1}
SVoRXv50ITY;Film & Animation; {'1': 0.7999999999999999, '15': 0.1, '24': 0.05, '27': 0.05}
RK8ryjZY2c8;Film & Animation; {'1': 0.8999999999999999, '22': 0.1}
o2jH0mD4ebQ;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
Py_rvqsmKwk;Film & Animation; {'1': 0.9999999999999999}
roCcmF6g1jA;Entertainment; {'1': 0.2, '24': 0.7999999999999999}
uQAKqOweatE;Film & Animation; {'1': 0.7999999999999999, '26': 0.1, '15': 0.1}
5XNeeulRC18;Film & Animation; {'1': 0.9999999999999999}
6jPTcgwAlI8;Film & Animation; {'1': 0.9999999999999999}
jMzcWIaDjC8;Film & Animation; {'1': 0.7999999999999999, '24': 0.1, '22': 0.1}
tZBGpEppVPM;Film & Animation; {'20': 0.30000000000000004, '23': 0.1, '1': 0.6}
1VXeObS4mdY;Film & Animation; {'1': 0.5, '24': 0.4, '22': 0.1}
B5sef98DOJ4;Film & Animation; {'1': 0.8999999999999999, '24': 0.1}
_nWPV9cpY4M;Film & Animation; {'1': 0.8999999999999999, '24': 0.1}
QCHmp6NzzwY;Film & Animation; {'1': 0.7999999999999999, '23': 0.1, '20': 0.1}
R4i3Ch-Uo94;Film & Animation; {'1': 0.9999999999999999}
8U27uDWHl4M;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
_4ECreudnHQ;Entertainment; {'24': 0.1, '22': 0.6, '28': 0.2, '15': 0.1}
X8DQTp_9dgU;Film & Animation; {'1': 0.95, '20': 0.05}
A03SYLV_7XU;Film & Animation; {'1': 0.7999999999999999, '24': 0.2}
SqmTFuuVZAk;Film & Animation; {'1': 0.7, '20': 0.1, '24': 0.1, '28': 0.1}
YvCjuF3Xg7w;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
GDVEZmUCU2A;Film & Animation; {'1': 0.9999999999999999}
lrlgUX-oKRg;Gaming; {'20': 0.4, '1': 0.6}
