Source,Target,weight
JtnUmOF89t4,-KHrOGV50Hk,1
JtnUmOF89t4,CSldSwP_mnc,1
JtnUmOF89t4,jv4FIyBTDe0,2
JtnUmOF89t4,jlXXHxWxg08,1
JtnUmOF89t4,YZ4W964hocA,2
JtnUmOF89t4,54KyOW0naRE,1
JtnUmOF89t4,8kVXGfKIk9I,1
dbL-NSkXnl8,jJOwdrTA8Gw,1
dbL-NSkXnl8,xuCn8ux2gbs,1
dbL-NSkXnl8,sXOdn6vLCuU,2
dbL-NSkXnl8,w45Vc3uv1Yk,1
dbL-NSkXnl8,-VImXbxLlWo,1
dbL-NSkXnl8,vtkGtXtDlQA,1
dbL-NSkXnl8,9C_HReR_McQ,1
dbL-NSkXnl8,G9FGgwCQ22w,1
dLa7xe5GTWw,ua-ANnAVLjA,1
dLa7xe5GTWw,c-2Tjm2M2cg,1
dLa7xe5GTWw,BDJjfcRxfZI,1
Ih59SiVF0Ps,3IDN9gTAtjg,1
Ih59SiVF0Ps,cUzklzVXJwo,1
ThDYazipjSI,nNtR5da5LIE,1
ThDYazipjSI,wM00s5q6wJQ,1
ThDYazipjSI,xaQJbozY_Is,1
fo2Rb9h788s,BXpu6tbFCsI,1
fo2Rb9h788s,zqllxbPWKNI,1
fo2Rb9h788s,yLHPLWDyHio,1
DcxQjJfO_tM,FUYBNUwbmK4,1
DcxQjJfO_tM,-Ct7Kiblz-M,1
DcxQjJfO_tM,H3mnV97QgkU,1
1tlAoVLcaj8,uTP-8Vc3cME,1
1tlAoVLcaj8,alxVx9TR0Ts,1
1tlAoVLcaj8,Swqf1N9_vWc,1
U7RzoIEoSMY,MZ7qUswMsPA,1
U7RzoIEoSMY,wO1G7GkIrWE,1
U7RzoIEoSMY,dmLSJrA0n9w,1
zqllxbPWKNI,ewLpXw6uN28,2
zqllxbPWKNI,AAGIi62-sAU,2
zqllxbPWKNI,mY3SEMTROas,2
zqllxbPWKNI,91OmO2YMiDM,1
zqllxbPWKNI,26EivpCPHnQ,2
zqllxbPWKNI,BiDvLshi9CY,1
zqllxbPWKNI,c-2Tjm2M2cg,1
zqllxbPWKNI,8qRZcXIODNU,1
SFHgE8kuPTs,54KyOW0naRE,1
SFHgE8kuPTs,c-2Tjm2M2cg,1
SFHgE8kuPTs,Z7fBLEGKI1o,1
kZ3M6ko9pes,ZVPsNDonA84,1
kZ3M6ko9pes,0T--WC4D1C0,1
kZ3M6ko9pes,b_TkFhj9mgk,1
0jrkmjfiaIg,ccuRMW-fdfs,1
0jrkmjfiaIg,Fmec9TVVcLY,1
0jrkmjfiaIg,YtBOk27reBU,1
zwgaTYOx0RI,YU6aXDR997g,1
zwgaTYOx0RI,-k-V3ESHcfA,1
zwgaTYOx0RI,jnL7sJYblGY,1
