Id;Genre;Probabilities
rIaC_QEQQqg;Gaming; {'1': 0.1, '20': 0.5, '24': 0.30000000000000004, '22': 0.1}
JtnUmOF89t4;Gaming; {'20': 0.65, '24': 0.175, '1': 0.07500000000000001, '22': 0.1}
8pS1edpeGqI;News & Politics; {'26': 0.1, '1': 0.2, '25': 0.1, '28': 0.1, '27': 0.2, '24': 0.30000000000000004}
v3SL2_N6eME;Science & Technology; {'28': 0.5, '20': 0.1, '17': 0.2, '1': 0.2}
dbL-NSkXnl8;Film & Animation; {'1': 0.8749999999999999, '20': 0.05, '10': 0.025, '22': 0.125, '23': 0.07500000000000001, '27': 0.07500000000000001, '24': 0.025}
dLa7xe5GTWw;Film & Animation; {'24': 0.4, '1': 0.6}
OeHiVMvWR3I;Gaming; {'20': 0.9999999999999999}
o3KJdBXY16A;Education; {'27': 0.8, '20': 0.2}
Ih59SiVF0Ps;Science & Technology; {'28': 0.7666666666666666, '24': 0.10000000000000002, '27': 0.06666666666666667, '1': 0.06666666666666667}
oyx49MqQeZc;Gaming; {'20': 0.8999999999999999, '24': 0.1}
6_fORljSTc8;Gaming; {'20': 0.9999999999999999}
w0AOGeqOnFY;Entertainment; {'10': 0.2, '27': 0.1, '23': 0.2, '22': 0.4, '24': 0.1}
c_Ew5XvJ12A;Gaming; {'20': 0.9999999999999999}
e4lqaPaRWhM;Gaming; {'20': 0.8999999999999999, '24': 0.1}
0Zhdv5t35fs;Comedy; {'23': 0.30000000000000004, '1': 0.30000000000000004, '28': 0.1, '20': 0.1, '24': 0.1, '27': 0.1}
QJlqY1O4B00;Film & Animation; {'1': 0.5, '20': 0.2, '22': 0.1, '24': 0.2}
ThDYazipjSI;Music; {'10': 0.2, '24': 0.45000000000000007, '27': 0.05000000000000001, '25': 0.1, '28': 0.1, '19': 0.03333333333333333, '1': 0.06666666666666667}
fo2Rb9h788s;Education; {'27': 0.6, '24': 0.4}
DcxQjJfO_tM;Entertainment; {'10': 0.30000000000000004, '24': 0.5, '22': 0.1, '27': 0.1}
1tlAoVLcaj8;Gaming; {'20': 0.9999999999999999}
alxVx9TR0Ts;Gaming; {'20': 0.7999999999999999, '24': 0.1, '1': 0.1}
U7RzoIEoSMY;Gaming; {'20': 0.8999999999999999, '22': 0.1}
zqllxbPWKNI;Entertainment; {'24': 0.47500000000000003, '27': 0.38750000000000007, '22': 0.0875, '25': 0.0125, '1': 0.025, '20': 0.0125}
XpNgP9lnRqU;Gaming; {'20': 0.8999999999999999, '27': 0.1}
BROvBJnlwlo;Film & Animation; {'1': 0.30000000000000004, '20': 0.5, '27': 0.1, '24': 0.1}
SFHgE8kuPTs;Entertainment; {'24': 0.8666666666666666, '20': 0.05000000000000001, '1': 0.08333333333333333}
55QOYBIt5nk;Education; {'27': 0.8999999999999999, '24': 0.1}
W9ME-WBlkeM;Science & Technology; {'27': 0.30000000000000004, '28': 0.7}
kZ3M6ko9pes;Entertainment; {'28': 0.4, '27': 0.2, '10': 0.2, '24': 0.1, '22': 0.1}
zQ3yIt_ETa4;Education; {'27': 0.2, '23': 0.1, '20': 0.7}
r9sWv-3JK5k;Gaming; {'20': 0.9999999999999999}
0jrkmjfiaIg;Gaming; {'20': 0.8499999999999999, '23': 0.05, '22': 0.1}
aFPJf-wKTd0;Education; {'27': 0.35, '20': 0.05, '17': 0.25, '28': 0.25, '26': 0.05, '1': 0.05}
zwgaTYOx0RI;Science & Technology; {'28': 0.7, '24': 0.1, '1': 0.1, '26': 0.1}
C9gbEhZ977I;Gaming; {'20': 0.9999999999999999}
0T--WC4D1C0;Science & Technology; {'28': 0.355, '27': 0.3225, '24': 0.057499999999999996, '22': 0.23, '25': 0.01, '10': 0.025}
AFrQ1_2bbsI;Gaming; {'20': 0.9363636363636363, '22': 0.10454545454545455, '28': 0.004545454545454546}
kDluReuJDOk;Gaming; {'20': 0.8499999999999999, '24': 0.15000000000000002}
R6HA8lGJ1-w;Gaming; {'20': 0.9999999999999999}
dneEOotTETI;Entertainment; {'24': 0.7, '1': 0.30000000000000004}
eneOwgntJbg;Gaming; {'20': 0.8999999999999999, '24': 0.1}
