Id;Genre;Probabilities
xtZl35HN1ks;Howto & Style; {'26': 0.7999999999999999, '2': 0.1, '22': 0.1}
IgHM1FFcmI8;Entertainment; {'24': 0.7, '26': 0.2, '28': 0.1}
6G-8wdQTmdw;Howto & Style; {'26': 0.4, '24': 0.05, '22': 0.25, '19': 0.1, '28': 0.2}
oJUZh7qPmQk;Gaming; {'27': 0.1, '24': 0.1, '22': 0.4, '26': 0.30000000000000004, '20': 0.1}
-kqSl6Fynj4;People & Blogs; {'28': 0.05, '26': 0.8499999999999999, '17': 0.05, '22': 0.025, '24': 0.025}
TuB_H9ODs8E;People & Blogs; {'22': 0.6, '28': 0.4}
LxjOpV7OG8I;Science & Technology; {'28': 0.30000000000000004, '26': 0.1, '22': 0.4, '24': 0.2}
fyfxB_SqWtc;Science & Technology; {'28': 0.2, '22': 0.2, '2': 0.2, '26': 0.30000000000000004, '27': 0.1}
u3R_DZao-_o;Howto & Style; {'26': 0.8999999999999999, '22': 0.1}
2wEUtvi1RjY;People & Blogs; {'10': 0.7, '28': 0.2, '19': 0.1}
OdPmINrCtLg;Howto & Style; {'26': 0.5, '27': 0.1, '22': 0.2, '24': 0.1, '2': 0.1}
anRXrBPnvq8;Autos & Vehicles; {'2': 0.7, '24': 0.30000000000000004}
2tayhkR11oA;Howto & Style; {'26': 0.7200000000000001, '24': 0.07333333333333333, '22': 0.1466666666666667, '28': 0.12666666666666668}
U1udmic6Jfc;Howto & Style; {'22': 0.1, '26': 0.7, '27': 0.1, '28': 0.1}
MURPf_6r8z4;Travel & Events; {'26': 0.30000000000000004, '19': 0.30000000000000004, '22': 0.4}
lkdeZ4p1dlY;People & Blogs; {'22': 0.2, '26': 0.5, '24': 0.2, '28': 0.1}
V8OG2MZurdA;Education; {'28': 0.2, '26': 0.30000000000000004, '20': 0.1, '24': 0.30000000000000004, '25': 0.1}
AjDGzdW6AxI;People & Blogs; {'27': 0.2, '24': 0.1, '1': 0.2, '22': 0.5}
-LK9o4TesMI;Howto & Style; {'26': 0.8999999999999999, '22': 0.1}
jKsqvKf-l6U;Howto & Style; {'26': 0.7, '1': 0.05, '2': 0.05, '28': 0.1, '22': 0.1}
