Source,Target,weight
69ZyEw0T7Z8,wnF-zTrHvGs,1
69ZyEw0T7Z8,zrQHJM0rPvc,1
69ZyEw0T7Z8,8OvReJRAqmk,1
69ZyEw0T7Z8,Qp25FOn37nA,1
69ZyEw0T7Z8,rVIpY-r95w8,1
Qp25FOn37nA,69ZyEw0T7Z8,2
Qp25FOn37nA,UnW3xkHxIEQ,2
Qp25FOn37nA,sCF-mCeW7Ig,1
Qp25FOn37nA,z_MvHyAZ7xE,1
83I_rQUbw8c,R8UNzWphkDQ,1
83I_rQUbw8c,1c-3FQap7iw,1
83I_rQUbw8c,o6KYKKvs9C0,1
8vgpWyAcqO4,UnW3xkHxIEQ,1
8vgpWyAcqO4,6XSEi1jTR58,1
8vgpWyAcqO4,Qp25FOn37nA,1
3_9v-7rtVDk,U9DyHthJ6LA,1
3_9v-7rtVDk,ZgQMW4eVrzw,1
3_9v-7rtVDk,8Lvrikv6oPs,1
2AfMGTNMguQ,6TlaphtU8UA,1
2AfMGTNMguQ,yAq7wkzgOrI,1
2AfMGTNMguQ,x6UdnoWHK38,1
n6teAjGAhec,8OvReJRAqmk,1
n6teAjGAhec,uBJq-XCP27c,1
OwME93C4PdI,2AfMGTNMguQ,1
OwME93C4PdI,DoeMzaCu57Y,1
OwME93C4PdI,1IPuNMWW9hs,1
z_MvHyAZ7xE,LVDIIQAPmTw,1
z_MvHyAZ7xE,o6KYKKvs9C0,1
z_MvHyAZ7xE,rVIpY-r95w8,1
gWVHses2GCY,U9DyHthJ6LA,1
gWVHses2GCY,d7qqu9HC7V0,1
gWVHses2GCY,kS6IhBaE7Eo,1
DoeMzaCu57Y,sOnqjkJTMaA,1
DoeMzaCu57Y,NAeOzDhL6tc,1
d7qqu9HC7V0,3qrNRzkwlbU,1
d7qqu9HC7V0,X2zqiX6yL3I,1
d7qqu9HC7V0,U9DyHthJ6LA,1
T1-k7VYwsHg,VWeYDFpCZqM,1
T1-k7VYwsHg,FCXfezz4BB8,1
T1-k7VYwsHg,t69oHRPb4E8,1
rVIpY-r95w8,8vgpWyAcqO4,1
rVIpY-r95w8,n6teAjGAhec,1
rVIpY-r95w8,wnF-zTrHvGs,1
46Gk58jvB-I,VJeC0ChCuao,1
46Gk58jvB-I,mHTR-XF6MXU,1
46Gk58jvB-I,yKn3Ur6_w3c,1
1IPuNMWW9hs,x6UdnoWHK38,1
1IPuNMWW9hs,YneczbfFKM0,1
1IPuNMWW9hs,CfwANeweI54,1
wnF-zTrHvGs,Qp25FOn37nA,1
wnF-zTrHvGs,SVHAd3jwZy0,1
wnF-zTrHvGs,83I_rQUbw8c,2
wnF-zTrHvGs,69ZyEw0T7Z8,1
wnF-zTrHvGs,zTxTR_FU_4c,1
-6BvA4U1dLI,kDx5WNdbCSU,1
-6BvA4U1dLI,U9DyHthJ6LA,1
-6BvA4U1dLI,NAeOzDhL6tc,1
UnW3xkHxIEQ,LVDIIQAPmTw,1
UnW3xkHxIEQ,xrkPe-9rM1Q,1
Mh4DNPkKWdk,sGCKnuKH5dQ,1
Mh4DNPkKWdk,z6ZRyHXpVCg,1
Mh4DNPkKWdk,QulEM-Azzug,1
ZgQMW4eVrzw,Mh4DNPkKWdk,1
ZgQMW4eVrzw,46Gk58jvB-I,1
ZgQMW4eVrzw,3qrNRzkwlbU,1
3qrNRzkwlbU,mHTR-XF6MXU,1
3qrNRzkwlbU,Lc4hUSLN_-M,1
3qrNRzkwlbU,U9DyHthJ6LA,1
trRc1_CATfo,SFdR240qaXA,1
trRc1_CATfo,X2zqiX6yL3I,1
trRc1_CATfo,uh3Fd2I1Jgs,1
trRc1_CATfo,3_9v-7rtVDk,1
trRc1_CATfo,T1-k7VYwsHg,1
trRc1_CATfo,d7qqu9HC7V0,1
SVHAd3jwZy0,69ZyEw0T7Z8,1
SVHAd3jwZy0,jOVq_UL48o0,1
SVHAd3jwZy0,hYgZfMX2KTo,1
uBJq-XCP27c,-6BvA4U1dLI,1
uBJq-XCP27c,trRc1_CATfo,1
uBJq-XCP27c,gWVHses2GCY,1
mHTR-XF6MXU,3qrNRzkwlbU,1
mHTR-XF6MXU,TMfVEkfXEV8,1
mHTR-XF6MXU,uBJq-XCP27c,2
mHTR-XF6MXU,trRc1_CATfo,1
mHTR-XF6MXU,ZgQMW4eVrzw,1
