Source,Target,weight
TzF0Ih4jDCE,7INUfyJTMLs,1
TzF0Ih4jDCE,PgK-dIPMIp4,1
TzF0Ih4jDCE,KD_1Z8iUDho,1
gAT1qib_4A0,X4JAHvJckb8,1
gAT1qib_4A0,utjq6XAlPjs,1
gAT1qib_4A0,gv9MYuTKSRw,1
roRzmTmT5kU,-Hj3qK9_mns,1
roRzmTmT5kU,aM4DWITE8EU,1
roRzmTmT5kU,9EnXnFgnkUc,1
hDWPNgRNdHI,OOcH1oHz68c,1
hDWPNgRNdHI,qyIEZwInPOw,1
hDWPNgRNdHI,aEuaDcQDCgs,2
hDWPNgRNdHI,Tb6hllWrHM0,1
hDWPNgRNdHI,TZRqCdX1wjY,1
hDWPNgRNdHI,xDvz_786hHk,2
hDWPNgRNdHI,elY6xzQ8ejw,1
hDWPNgRNdHI,0pFYJ6-BScE,1
_6kbP_t_X3g,FZMrti8QcPA,1
_6kbP_t_X3g,S0t3JaJ4jw0,1
_6kbP_t_X3g,EXr-V5A-9yA,1
2zjLBWnZGTU,aLOnQmmmlkw,1
2zjLBWnZGTU,iLScicF9akI,1
2zjLBWnZGTU,IVJImYNGqwk,1
LAl1dRHdnBE,tOGnr_LgS6Q,1
LAl1dRHdnBE,7ioQa26gDc4,1
LAl1dRHdnBE,0O24DQzooR0,1
5WvbG7HlIa4,c5bBABOAQUs,1
5WvbG7HlIa4,S5LNVeznI24,1
5WvbG7HlIa4,F3oPgJso7ok,1
5ELel6m4H_U,3OpHGAy0Z7c,1
5ELel6m4H_U,sZ54mBZk-3g,1
5ELel6m4H_U,UyzbVqZr3TY,1
-qIy1DmGLWI,bQsoCjJfPcU,1
-qIy1DmGLWI,BeC0-tj_IMA,1
-qIy1DmGLWI,7S6uGe7p280,1
1G9TJk853ps,nDCMK2VPeBA,1
1G9TJk853ps,A2zOoi-GQH8,1
1G9TJk853ps,fiH9edd25Bc,1
PI4tJlStEIg,xsHl7o520yM,1
PI4tJlStEIg,YIbs6tQkJ6A,1
