Id;Genre;Probabilities
l-9VZZWtMfQ;Music; {'10': 0.8999999999999999, '24': 0.1}
N1pRCXp9yWM;People & Blogs; {'10': 0.5, '22': 0.5}
1yx1aV7Av2M;Music; {'10': 0.7999999999999999, '24': 0.2}
t1pqi8vjTLY;Music; {'22': 0.2, '10': 0.7, '24': 0.1}
sxIo28DzKGw;Music; {'10': 0.7, '22': 0.1, '24': 0.2}
l8KpjxesjsU;Music; {'24': 0.1, '10': 0.7999999999999999, '22': 0.1}
KaOC9danxNo;Science & Technology; {'28': 0.30000000000000004, '23': 0.1, '10': 0.5, '1': 0.1}
e4Ao-iNPPUc;Music; {'10': 0.7999999999999999, '1': 0.1, '22': 0.1}
HnC4-WtWivI;Music; {'25': 0.1, '22': 0.30000000000000004, '24': 0.4, '10': 0.2}
UCskpE9KGQU;Music; {'10': 0.9999999999999999}
yiaTqfE_qT4;Music; {'10': 0.8999999999999999, '20': 0.1}
v2AC41dglnM;Music; {'10': 0.8999999999999999, '24': 0.1}
xRQnJyP77tY;Music; {'10': 0.8999999999999999, '22': 0.1}
I_2D8Eo15wE;Music; {'10': 0.8999999999999999, '24': 0.1}
9IE3ReeXpAc;People & Blogs; {'22': 0.1, '24': 0.2, '10': 0.30000000000000004, '23': 0.1, '1': 0.2, '17': 0.1}
FU6ihZKbDEU;People & Blogs; {'24': 0.2, '22': 0.5, '10': 0.30000000000000004}
q6oTziHKM_c;Film & Animation; {'24': 0.30000000000000004, '10': 0.30000000000000004, '22': 0.1, '28': 0.1, '27': 0.1, '1': 0.1}
IPeo_X7hVe8;Music; {'10': 0.9999999999999999}
uT3SBzmDxGk;Music; {'10': 0.8999999999999999, '22': 0.1}
LG_YYN2m-2U;Music; {'10': 0.9999999999999999}
2cZ_EFAmj08;Music; {'10': 0.7, '24': 0.1, '27': 0.1, '25': 0.1}
iddFrfC0YoU;Music; {'10': 0.7999999999999999, '1': 0.1, '24': 0.1}
GsHZBisKwxg;Music; {'10': 0.7999999999999999, '24': 0.1, '22': 0.1}
mKtdTJP_GUI;Entertainment; {'27': 0.1, '10': 0.5, '22': 0.2, '24': 0.2}
V1bFr2SWP1I;Music; {'10': 0.7, '24': 0.1, '22': 0.15000000000000002, '1': 0.05}
B9FzVhw8_bY;Music; {'10': 0.7999999999999999, '22': 0.2}
jS826PwLHdQ;Music; {'10': 0.8999999999999999, '24': 0.1}
ERT_7u5L0dc;Entertainment; {'22': 0.30000000000000004, '17': 0.2, '10': 0.5}
tW_8Oe_8kj4;Music; {'10': 0.7999999999999999, '22': 0.1, '24': 0.1}
0fKoimS-Y2k;Music; {'22': 0.30000000000000004, '10': 0.7}
pAgnJDJN4VA;Music; {'10': 0.95, '24': 0.05}
lZaLZO61-gY;Music; {'10': 0.7999999999999999, '1': 0.1, '24': 0.1}
D8LTCr3BQW8;Music; {'10': 0.7999999999999999, '22': 0.2}
1ZG9U1HxNds;Music; {'10': 0.6, '22': 0.1, '24': 0.2, '29': 0.1}
L051v3NC0F4;Music; {'24': 0.1, '10': 0.8999999999999999}
gEPmA3USJdI;Music; {'10': 0.95, '22': 0.05}
Xj3gU3jACe8;Music; {'10': 0.8999999999999999, '22': 0.1}
nji5zvkuuFg;Music; {'10': 0.8999999999999999, '24': 0.1}
Lw_Qlu4Y1dk;Music; {'24': 0.1, '10': 0.6, '22': 0.30000000000000004}
