Id;Genre;Probabilities
TxscCFyYPto;Science & Technology; {'28': 0.6, '27': 0.2, '22': 0.1, '25': 0.1}
SqkZpXNBrhc;Education; {'27': 0.7999999999999999, '28': 0.1, '22': 0.1}
M8SQCDIVf1s;Education; {'27': 1.4999999999999998}
2fBhVvEOVhA;News & Politics; {'27': 0.6, '25': 0.2, '1': 0.1, '29': 0.1}
07jcjpyYEAI;Science & Technology; {'27': 0.35000000000000003, '28': 0.35000000000000003, '2': 0.15000000000000002, '1': 0.05, '22': 0.05, '24': 0.05}
RerKFYCVFVY;Education; {'27': 0.85, '22': 0.025, '25': 0.1, '29': 0.025}
Vg4VYq6k0NA;News & Politics; {'24': 0.2, '25': 0.7, '27': 0.1}
ojvGu98o1EI;Nonprofits & Activism; {'29': 0.7, '24': 0.1, '27': 0.1, '15': 0.1}
0E7tWodpLo8;Howto & Style; {'26': 0.6, '28': 0.2, '24': 0.1, '22': 0.1}
wLZKdkgB85k;Science & Technology; {'28': 0.6, '2': 0.30000000000000004, '22': 0.1}
_Ihltj9As7s;News & Politics; {'25': 0.55, '22': 0.15000000000000002, '27': 0.15000000000000002, '29': 0.15000000000000002}
n9R-qDcoKI4;Autos & Vehicles; {'2': 0.325, '22': 0.13333333333333333, '28': 0.2833333333333333, '27': 0.18333333333333335, '25': 0.058333333333333334, '24': 0.008333333333333333, '26': 0.008333333333333333}
2z3wUD3AZg4;Comedy; {'27': 0.1, '23': 0.8999999999999999}
M8-eBSkWcnk;Entertainment; {'29': 0.1, '25': 0.225, '24': 0.475, '1': 0.1, '23': 0.05, '28': 0.05}
_bggaA5AURA;Howto & Style; {'26': 0.2, '19': 0.2, '24': 0.2, '17': 0.1, '27': 0.2, '28': 0.1}
COTxChxsRWs;Music; {'10': 0.7999999999999999, '24': 0.1, '22': 0.1}
FVBzaTnDZKo;Education; {'27': 0.9999999999999999}
h-UNqNTORRs;People & Blogs; {'25': 0.2, '22': 0.4, '1': 0.2, '29': 0.2}
YJQSuUZdcV4;News & Politics; {'22': 0.1, '25': 0.42500000000000004, '27': 0.45, '29': 0.025}
b-Euxh4Zgjc;Education; {'28': 0.1, '22': 0.4, '29': 0.1, '25': 0.05, '27': 0.30000000000000004, '26': 0.05}
8WHVf578khs;Education; {'27': 0.9999999999999999, '24': 0.1, '28': 0.025, '25': 0.1, '22': 0.025}
FwKP4XsUbt0;People & Blogs; {'27': 0.2, '22': 0.7, '29': 0.1}
tDbOMKNg9uw;People & Blogs; {'25': 0.1, '22': 0.7, '27': 0.2}
VxMM4g2Sk8U;Education; {'28': 0.4, '22': 0.1, '27': 0.2, '2': 0.2, '25': 0.1}
ZsaKaWHDPAM;Science & Technology; {'2': 0.7, '1': 0.1, '28': 0.1, '27': 0.1}
-ZIbGCrgf1M;Autos & Vehicles; {'2': 0.7999999999999999, '28': 0.1, '26': 0.1}
IVNK5gkVq2Q;Education; {'27': 0.7999999999999999, '17': 0.1, '28': 0.1}
gYJEvWzYBTA;Nonprofits & Activism; {'29': 0.7, '27': 0.1, '1': 0.1, '22': 0.1}
7KuZCaWYc6A;News & Politics; {'28': 0.049999999999999996, '25': 0.8916666666666666, '22': 0.03333333333333333, '26': 0.016666666666666666, '20': 0.008333333333333333}
JsBdz1HTlLs;Science & Technology; {'28': 0.7, '29': 0.1, '2': 0.1, '25': 0.1}
mJVWX0vud-g;Howto & Style; {'26': 0.7, '24': 0.2, '27': 0.1}
DBLHaLhyo2w;Science & Technology; {'27': 0.4, '28': 0.5, '22': 0.1}
rY5jCvRHEFk;People & Blogs; {'22': 0.7666666666666667, '27': 0.5666666666666668}
ZWiaQA8J5zs;News & Politics; {'25': 0.6499999999999999, '27': 0.16666666666666666, '22': 0.05, '26': 0.06666666666666668, '24': 0.016666666666666666, '10': 0.03333333333333333, '28': 0.016666666666666666}
mJ0bVUPd6Mc;Education; {'27': 0.7875, '25': 0.025, '22': 0.0625, '24': 0.025, '1': 0.025, '17': 0.025, '28': 0.05}
xX51HUPIEno;Science & Technology; {'2': 0.7, '27': 0.1, '22': 0.1, '28': 0.1}
5xs2BSGe8Wg;News & Politics; {'2': 0.1, '25': 0.7, '28': 0.1, '22': 0.1}
Si1s0ggPdF0;News & Politics; {'25': 0.45, '26': 0.15000000000000002, '15': 0.1, '27': 0.15000000000000002, '10': 0.1, '22': 0.05}
D2ju5v4TAaQ;Education; {'27': 1.0535714285714284, '28': 0.14642857142857144, '25': 0.014285714285714287}
NuWC2d0mTbo;Science & Technology; {'27': 0.7, '22': 0.1, '24': 0.1, '28': 0.1}
1qhy8rsnOLk;Autos & Vehicles; {'2': 0.9999999999999999}
D8C3HZpWKAM;People & Blogs; {'22': 0.5, '27': 0.2, '29': 0.1, '25': 0.1, '10': 0.1}
0dZygS-MrYs;News & Politics; {'25': 0.9999999999999999}
UjqkWSwuGQU;News & Politics; {'25': 0.8999999999999999, '27': 0.1}
kfO3RWFupZk;Entertainment; {'2': 0.2, '24': 0.2, '22': 0.2, '1': 0.1, '28': 0.2, '27': 0.1}
7gSU_Xes3GQ;Education; {'25': 0.2, '27': 0.6, '1': 0.1, '28': 0.1}
y7Zea769qHk;Nonprofits & Activism; {'29': 0.575, '23': 0.025, '19': 0.1, '1': 0.1, '22': 0.07500000000000001, '25': 0.07500000000000001, '24': 0.05}
GCHhwQUeEYU;Education; {'27': 0.6, '24': 0.2, '25': 0.07500000000000001, '28': 0.05, '22': 0.025, '26': 0.05}
dPSxPASJP0k;News & Politics; {'25': 0.7999999999999999, '27': 0.2}
bPmkUrr0VaU;Autos & Vehicles; {'2': 0.8999999999999999, '28': 0.1}
eagZaryoxC4;People & Blogs; {'27': 0.25, '24': 0.25, '1': 0.05, '23': 0.05, '29': 0.05, '22': 0.2, '10': 0.15000000000000002}
M7IZhkQMmpA;Education; {'27': 0.6, '22': 0.30000000000000004, '24': 0.1}
-fJeBQk13uI;Science & Technology; {'28': 0.30000000000000004, '27': 0.1, '26': 0.2, '20': 0.1, '24': 0.1, '25': 0.1, '2': 0.1}
VdjR2r5ty5o;Education; {'27': 0.7999999999999999, '22': 0.1, '25': 0.1}
WW0JB-dxsgM;News & Politics; {'25': 0.6, '22': 0.15000000000000002, '24': 0.1, '1': 0.1, '28': 0.05}
Ywya1tvpAbw;Howto & Style; {'27': 0.1, '26': 0.6, '22': 0.2, '28': 0.1}
Gk88KXFLzTw;Education; {'2': 0.5, '28': 0.2, '27': 0.2, '26': 0.1}
WKIRfPjR-To;Science & Technology; {'2': 0.7, '28': 0.30000000000000004}
3Ys_E9tkG04;Science & Technology; {'28': 0.5, '2': 0.4, '24': 0.1}
pvHTr7sPIWY;Autos & Vehicles; {'2': 0.8999999999999999, '24': 0.1}
LHyUDihL_FQ;Science & Technology; {'28': 0.44999999999999996, '2': 0.25, '26': 0.05, '22': 0.05, '27': 0.2}
8Sup-HLjkpI;People & Blogs; {'27': 0.2, '26': 0.1, '22': 0.5, '28': 0.2}
C9TL-ACgvdY;Education; {'27': 0.30000000000000004, '2': 0.13333333333333333, '28': 0.30000000000000004, '22': 0.2333333333333333, '25': 0.03333333333333333}
POBZgSekJ8w;Howto & Style; {'26': 0.7, '22': 0.30000000000000004}
DtB8YhsUkkg;Entertainment; {'24': 0.9999999999999999}
_xPDPgC5yUo;News & Politics; {'25': 0.7, '24': 0.15000000000000002, '27': 0.05, '1': 0.05, '28': 0.05}
3-oiwjFJeAQ;News & Politics; {'22': 0.15000000000000002, '24': 0.1, '27': 0.25, '19': 0.1, '29': 0.1, '10': 0.1, '25': 0.1, '1': 0.1}
U5LKU6bWScc;Science & Technology; {'28': 0.2, '2': 0.7, '22': 0.025, '27': 0.07500000000000001}
r_Et4PUyS94;Education; {'27': 0.7999999999999999, '25': 0.1, '28': 0.1}
kRZz-cwvqYs;Education; {'22': 0.1, '28': 0.25, '27': 0.45, '25': 0.1, '24': 0.05, '17': 0.05}
zDjKGtTs-oc;News & Politics; {'26': 0.1, '25': 0.4, '22': 0.2, '24': 0.2, '27': 0.1}
ErE-UnQO-DE;Science & Technology; {'2': 0.7999999999999999, '27': 0.1, '28': 0.1}
h8iiVgFW2qk;Science & Technology; {'27': 0.3333333333333333, '28': 0.5, '24': 0.06666666666666667, '25': 0.03333333333333333, '2': 0.06666666666666667}
h1GzqhSC8OI;News & Politics; {'27': 0.2, '28': 0.1, '25': 0.2, '22': 0.1, '24': 0.30000000000000004, '26': 0.1}
6TLcaJdsRr0;Education; {'20': 0.1, '27': 0.4, '24': 0.1, '10': 0.1, '28': 0.2, '26': 0.1}
Fq8D6yMHUaE;Education; {'2': 0.7, '27': 0.1, '28': 0.1, '24': 0.1}
g9yg5cDagJ0;Education; {'26': 0.1, '27': 0.7999999999999999, '22': 0.1}
TVrlbMrEcCY;Education; {'22': 0.25, '2': 0.1, '27': 0.15000000000000002, '28': 0.45, '24': 0.05}
