Source,Target,weight
xwED4v5G3HA,dfH0hoc_HyY,1
xwED4v5G3HA,IporlmXXDeY,1
xwED4v5G3HA,Xp202GZzD9Q,1
SsoVhKo4UvQ,2AMu-G51yTY,1
SsoVhKo4UvQ,MnUfXYGtT5Q,1
SsoVhKo4UvQ,IUWpr0gR81A,1
MnUfXYGtT5Q,-5RCmu-HuTg,1
MnUfXYGtT5Q,VIANLddo-ec,1
rEdGnIIOdeo,J2XFfh6BDv8,1
rEdGnIIOdeo,UvM8grMYPEA,1
rEdGnIIOdeo,S5vOKKMipSA,2
rEdGnIIOdeo,-RS_BtLB3QE,1
rEdGnIIOdeo,6F3EJh6V1cw,1
hKUffHXOb8U,syP-OtdCIho,1
hKUffHXOb8U,-5RCmu-HuTg,1
_iudkPi4_sY,kasiov0ytEc,1
_iudkPi4_sY,-5RCmu-HuTg,1
_iudkPi4_sY,dvBbxbjFRw4,1
Axkvo0PHIa0,e3aJxy9tA-w,1
Axkvo0PHIa0,J2XFfh6BDv8,1
Axkvo0PHIa0,KLfO-2t1qPQ,1
s6MFNaQkTuc,iNLOdRMgaDY,1
s6MFNaQkTuc,pnoLAMHwf2I,1
s6MFNaQkTuc,qbQEPjH5XFE,1
s6MFNaQkTuc,9nhw85_JZ1g,1
s6MFNaQkTuc,66XvoY_HO5g,1
s6MFNaQkTuc,O_LkMWP2Q2A,1
yZYQpge1W5s,SsoVhKo4UvQ,1
yZYQpge1W5s,hKUffHXOb8U,1
9Xc7DN-noAc,fXvgZF01OTk,2
9Xc7DN-noAc,23dArPpXgCM,1
9Xc7DN-noAc,TmNSlF7lcaw,1
9Xc7DN-noAc,MnUfXYGtT5Q,1
qsHJ3LvUWTs,qH1U9k0dwzI,1
qsHJ3LvUWTs,545x4EldHlg,1
qsHJ3LvUWTs,QmOF0crdyRU,1
qsHJ3LvUWTs,AscPHmLWo-M,2
qsHJ3LvUWTs,f1x9lgX8GaE,1
qsHJ3LvUWTs,lsWndfzuOc4,1
qsHJ3LvUWTs,MNjYSns0op0,1
qsHJ3LvUWTs,vdHJjbHwR38,1
qsHJ3LvUWTs,fFFSKedy9f4,1
qsHJ3LvUWTs,MnUfXYGtT5Q,1
qsHJ3LvUWTs,fIEKfr9CaZA,1
iNLOdRMgaDY,9bgkBrFoOOo,1
iNLOdRMgaDY,Azck1jY79cA,1
iNLOdRMgaDY,rEdGnIIOdeo,1
66XvoY_HO5g,yAuLUJx73f0,1
66XvoY_HO5g,J2XFfh6BDv8,1
66XvoY_HO5g,Azck1jY79cA,1
6G59zsjM2UI,9Xc7DN-noAc,1
6G59zsjM2UI,qsHJ3LvUWTs,1
6G59zsjM2UI,jey_CzIOfYE,1
9nhw85_JZ1g,nmxFt5F97CM,1
9nhw85_JZ1g,XDHu9RoQsec,1
9nhw85_JZ1g,yqq_0tP60W4,1
fFFSKedy9f4,_wbS_todg9w,1
fFFSKedy9f4,MnUfXYGtT5Q,1
fFFSKedy9f4,IporlmXXDeY,1
fFFSKedy9f4,hKUffHXOb8U,1
fFFSKedy9f4,NGIP-3Q-p_s,1
Y_sjfchNsiM,sGhJyAYZj9o,1
qbQEPjH5XFE,Axkvo0PHIa0,1
qbQEPjH5XFE,bCWk_mKoYdI,1
qbQEPjH5XFE,QCu-XnVxhfk,1
IporlmXXDeY,VFKlbYeXBQ8,1
IporlmXXDeY,KJinipl0w0E,1
bCWk_mKoYdI,cCA68U3P_Z8,1
bCWk_mKoYdI,CJCKTixMb70,1
bCWk_mKoYdI,s6MFNaQkTuc,1
vdHJjbHwR38,dwW1fs9wpSM,1
vdHJjbHwR38,syP-OtdCIho,1
vdHJjbHwR38,o6Xy5EP77to,1
Xp202GZzD9Q,lncYsLvSROk,1
Xp202GZzD9Q,aR_0zCBdI2k,1
Xp202GZzD9Q,DpJvln-Flco,1
O_LkMWP2Q2A,npp2G3EzNR4,1
O_LkMWP2Q2A,q-rpkZe2OEo,1
O_LkMWP2Q2A,qsHJ3LvUWTs,1
pnoLAMHwf2I,Y_sjfchNsiM,1
pnoLAMHwf2I,rEdGnIIOdeo,1
pnoLAMHwf2I,9bgkBrFoOOo,1
9bgkBrFoOOo,s7uScWHcTzk,1
9bgkBrFoOOo,pLoNd8qMfvY,1
9bgkBrFoOOo,Mbn9DSr-ynI,1
9bgkBrFoOOo,qsHJ3LvUWTs,1
9bgkBrFoOOo,b1HWNcLDK88,1
9bgkBrFoOOo,e9T28lWxc74,1
Azck1jY79cA,lxw5ODtOC-Q,1
Azck1jY79cA,RF0TPbCt6pQ,1
Azck1jY79cA,aFd7-AbwwBA,1
_wbS_todg9w,I2EmHpYrHs4,1
_wbS_todg9w,fFFSKedy9f4,1
_wbS_todg9w,-US3LtdhKSQ,1
jey_CzIOfYE,fFFSKedy9f4,1
jey_CzIOfYE,m0-oC_49fq4,1
QCu-XnVxhfk,zzDdMa-VRGY,1
QCu-XnVxhfk,iNLOdRMgaDY,1
QCu-XnVxhfk,q-rpkZe2OEo,1
dfH0hoc_HyY,5YQ-LZlJCD8,1
dfH0hoc_HyY,mfD4xmQCIhw,1
dfH0hoc_HyY,qsHJ3LvUWTs,1
