Id;Genre;Probabilities
oELD9L8ddHg;News & Politics; {'27': 0.30000000000000004, '22': 0.1, '25': 0.6}
876ig2COw_U;Education; {'27': 0.5, '22': 0.1, '28': 0.1, '25': 0.2, '24': 0.1}
AIYPu4MFLl4;News & Politics; {'25': 0.5, '27': 0.30000000000000004, '1': 0.1, '22': 0.1}
peUrLZ24GfM;News & Politics; {'27': 0.4, '22': 0.1, '25': 0.4, '1': 0.1}
zgE7pIfEesw;News & Politics; {'19': 0.1, '25': 0.30000000000000004, '2': 0.15000000000000002, '28': 0.25, '24': 0.1, '22': 0.05, '27': 0.05}
S9HgIGzOENA;Education; {'1': 0.1, '22': 0.30000000000000004, '27': 0.30000000000000004, '25': 0.30000000000000004}
e2ukdn23lgk;Science & Technology; {'28': 0.7999999999999999, '27': 0.2}
zukVJ5pt40k;News & Politics; {'27': 0.2, '28': 0.2, '22': 0.30000000000000004, '10': 0.1, '29': 0.2}
2hdDE7XYr30;News & Politics; {'25': 0.7, '27': 0.30000000000000004}
eEkXPgGGtvQ;Education; {'27': 0.5, '22': 0.4, '24': 0.1}
sAUk8E97-UE;Science & Technology; {'25': 0.4, '28': 0.5, '24': 0.1}
JwvZvb0lP0c;News & Politics; {'25': 0.8999999999999999, '27': 0.1}
PX5-XyBNi00;Education; {'27': 0.7999999999999999, '25': 0.1, '29': 0.05, '17': 0.05}
0dWhcggL3dU;News & Politics; {'25': 0.7, '27': 0.2, '26': 0.1}
s9ovOwl5Cns;News & Politics; {'25': 0.7666666666666666, '22': 0.10000000000000002, '10': 0.06666666666666667, '27': 0.03333333333333333, '26': 0.03333333333333333}
CVWAxZU89Ys;Science & Technology; {'27': 0.2, '28': 0.4, '1': 0.1, '22': 0.2, '25': 0.1}
X4HC6XASnTQ;People & Blogs; {'22': 0.2, '28': 0.1, '1': 0.2, '10': 0.1, '27': 0.1, '19': 0.1, '25': 0.2}
DUHmPRcw_Rk;News & Politics; {'25': 0.7999999999999999, '24': 0.1, '10': 0.1}
NBVDqAHQ4-M;News & Politics; {'25': 0.6, '27': 0.4}
wbjDccuIGyA;People & Blogs; {'22': 0.6, '27': 0.1, '2': 0.2, '25': 0.1}
RFxXl9eAWV4;News & Politics; {'25': 0.6499999999999999, '1': 0.1, '22': 0.15000000000000002, '29': 0.05, '27': 0.05}
ldPh0_zEykU;Music; {'19': 0.1, '27': 0.4, '25': 0.2, '22': 0.2, '26': 0.1}
_mfgndk-CJM;Nonprofits & Activism; {'25': 0.6, '29': 0.1, '22': 0.1, '27': 0.2}
6RiPHBpphdU;Science & Technology; {'28': 0.7999999999999999, '25': 0.1, '27': 0.1}
Kx7515qZu74;News & Politics; {'25': 0.7999999999999999, '27': 0.2}
Vmh10WtC7ws;People & Blogs; {'25': 0.1, '24': 0.30000000000000004, '29': 0.1, '27': 0.4, '28': 0.1}
fuX1L5Hq_r4;Education; {'27': 0.30000000000000004, '29': 0.1, '25': 0.6}
lhKzZipUXuU;Film & Animation; {'19': 0.1, '22': 0.4, '27': 0.2, '15': 0.1, '28': 0.1, '25': 0.1}
2a9Lx9J8uSs;Education; {'1': 0.1, '25': 0.45, '27': 0.2, '19': 0.1, '22': 0.15000000000000002}
p7MR04YFdGU;Science & Technology; {'27': 0.1, '28': 0.7999999999999999, '25': 0.1}
vvQhbN-NpJM;Science & Technology; {'28': 0.7999999999999999, '25': 0.1, '22': 0.1}
xzRlY5c5XGM;News & Politics; {'27': 0.4, '28': 0.1, '29': 0.1, '25': 0.4}
Smr7TShAaJc;Science & Technology; {'28': 0.5, '25': 0.30000000000000004, '24': 0.1, '27': 0.1}
