Source,Target,weight
02EJ1IdC6tE,p_ylzGfHKOs,1
02EJ1IdC6tE,L9UIF852Boo,1
02EJ1IdC6tE,jOJLx4Du3vU,1
9vJRopau0g0,A5dE25ANU0k,5
9vJRopau0g0,Hu4Yvq-g7_Y,3
9vJRopau0g0,8s3bdVxuFBs,5
9vJRopau0g0,RlSwsE22nX0,5
9vJRopau0g0,u9hauSrihYQ,6
9vJRopau0g0,_VB39Jo8mAQ,2
9vJRopau0g0,jOJLx4Du3vU,5
9vJRopau0g0,hqKafI7Amd8,2
9vJRopau0g0,M7hOpT0lPGI,5
9vJRopau0g0,4-079YIasck,1
9vJRopau0g0,79zra755WgA,2
9vJRopau0g0,L1kbrlZRDvU,2
9vJRopau0g0,7TXEZ4tP06c,1
9vJRopau0g0,JsC9ZHi79jo,1
0sYguTPLpHE,RlSwsE22nX0,1
0sYguTPLpHE,0Sn_UhcXZm4,1
0sYguTPLpHE,gQGjAp4GXU4,1
HfuZJVpNWR4,k53LUZxUF50,1
HfuZJVpNWR4,PJy8vTu66tE,1
HfuZJVpNWR4,hqKafI7Amd8,1
Mo_mgcxGYYE,36m1o-tM05g,1
Mo_mgcxGYYE,6qkSMkiGWdg,1
Mo_mgcxGYYE,Jb_1IklnhaU,1
dbYWKVAeu6Y,79zra755WgA,1
dbYWKVAeu6Y,4-079YIasck,1
dbYWKVAeu6Y,RlSwsE22nX0,1
xbagFzcyNiM,S8bJ3YlgL1Q,2
xbagFzcyNiM,QzPbY9ufnQY,1
xbagFzcyNiM,Rg6xCRemYw4,1
xbagFzcyNiM,hqKafI7Amd8,2
xbagFzcyNiM,gR4-ittuZi8,1
xbagFzcyNiM,iPGd6l76l9A,2
xbagFzcyNiM,GrxJ-9_qXeM,1
xbagFzcyNiM,PClG8GS1dLc,1
xbagFzcyNiM,gZpcTVqpaPw,1
aoRHq0TQnZM,Na8m4GPqA30,1
aoRHq0TQnZM,9vJRopau0g0,1
aoRHq0TQnZM,kARkOdRHaj8,1
zESeeaFDVSw,36m1o-tM05g,1
zESeeaFDVSw,8QTP-QOsC0o,1
zESeeaFDVSw,zTZjAk6yqfY,1
GOZOhpx_AFI,AurW2bsepY8,1
GOZOhpx_AFI,xk0-yebNA_o,1
GOZOhpx_AFI,4-079YIasck,1
3aP3IZbefkw,jOJLx4Du3vU,1
3aP3IZbefkw,esPRsT-lmw8,1
3aP3IZbefkw,A5dE25ANU0k,1
c_X_sPNUDes,lo0X2ZdElQ4,1
c_X_sPNUDes,7c5t6FkvUG0,1
c_X_sPNUDes,zPB2EC0Z9z4,1
c_X_sPNUDes,oDJ0dRb4-XY,1
c_X_sPNUDes,L9UIF852Boo,1
c_X_sPNUDes,2f04YNvslkM,1
LBvHI1awWaI,2paoNvG5Nmo,1
LBvHI1awWaI,3E7hkPZ-HTk,1
LBvHI1awWaI,4-079YIasck,1
LBvHI1awWaI,vj-91dMvQQo,2
LBvHI1awWaI,cmN4xOGkxGo,2
LBvHI1awWaI,jOJLx4Du3vU,1
LBvHI1awWaI,VaRO5-V1uK0,1
LBvHI1awWaI,xp0O2vi8DX4,1
LBvHI1awWaI,L9UIF852Boo,1
LBvHI1awWaI,esPRsT-lmw8,1
S05PBOIdSeE,hqoWYb6D-J4,1
S05PBOIdSeE,fC2z69q3L0o,1
S05PBOIdSeE,uU6o2_UFSEY,1
uqp9sAM3bYI,36m1o-tM05g,1
uqp9sAM3bYI,jOJLx4Du3vU,2
uqp9sAM3bYI,4-079YIasck,1
uqp9sAM3bYI,u-kJ4XD5xQk,1
uqp9sAM3bYI,esPRsT-lmw8,1
eDqpWJ-Zcw0,4-079YIasck,1
eDqpWJ-Zcw0,dcySuzHPCWM,1
eDqpWJ-Zcw0,_KRsyx3IJ94,1
4CNRmhleJmk,46dDvcTXxxo,1
4CNRmhleJmk,kARkOdRHaj8,1
4CNRmhleJmk,V5deCFfjxUs,1
vj-91dMvQQo,9vJRopau0g0,1
vj-91dMvQQo,LBvHI1awWaI,1
vj-91dMvQQo,1EHZAQmw2JA,1
A9UmdY0E8hU,f6nxcfbDfZo,1
A9UmdY0E8hU,36m1o-tM05g,1
A9UmdY0E8hU,OuvYfJVHruQ,1
AxiZC50IjCM,9ebJlcZMx3c,1
AxiZC50IjCM,JsC9ZHi79jo,1
AxiZC50IjCM,_gA2lcNWloU,1
W3P3rT0j2gQ,fLaslONQAKM,1
W3P3rT0j2gQ,esPRsT-lmw8,1
W3P3rT0j2gQ,t_CEXuoSEZU,1
Jb_1IklnhaU,xyIQFI865_w,1
Jb_1IklnhaU,azRl1dI-Cts,2
Jb_1IklnhaU,ihp1_szQlM8,2
Jb_1IklnhaU,Rg6xCRemYw4,1
Jb_1IklnhaU,S8bJ3YlgL1Q,1
Jb_1IklnhaU,OKIyDMaxh4w,2
Jb_1IklnhaU,36m1o-tM05g,1
Jb_1IklnhaU,RlSwsE22nX0,1
Jb_1IklnhaU,JPYHh7Ascrk,1
59sQsGjndKg,L9UIF852Boo,1
59sQsGjndKg,veEQQ-N9xWU,1
59sQsGjndKg,36m1o-tM05g,1
--mY5ruEhqI,L9UIF852Boo,1
--mY5ruEhqI,-94Ql0UphdA,1
--mY5ruEhqI,kARkOdRHaj8,1
