Id;Genre;Probabilities
xluStDQp9yE;News & Politics; {'25': 0.2, '28': 0.1, '29': 0.2, '27': 0.4, '22': 0.1}
q2kdk9yQjQc;News & Politics; {'22': 0.30000000000000004, '29': 0.30000000000000004, '27': 0.30000000000000004, '25': 0.1}
IozZsuCfiZo;People & Blogs; {'27': 0.7, '1': 0.1, '22': 0.1, '10': 0.1}
mFxc6nbnI20;Nonprofits & Activism; {'29': 0.4, '27': 0.4, '25': 0.2}
IquO_TcMZIQ;Education; {'27': 0.2, '22': 0.5, '25': 0.2, '29': 0.1}
VqBhz-qleyU;News & Politics; {'29': 0.2, '25': 0.6, '27': 0.1, '22': 0.1}
Yts-cZ7Fzv0;Nonprofits & Activism; {'29': 0.5, '25': 0.5}
8rCLvc_kI3I;Nonprofits & Activism; {'29': 0.4, '27': 0.1, '25': 0.4, '24': 0.1}
t6bC5JSBuGg;Nonprofits & Activism; {'27': 0.7, '22': 0.1, '29': 0.1, '10': 0.1}
_bHQXQRDn6Q;Nonprofits & Activism; {'29': 0.30000000000000004, '25': 0.30000000000000004, '27': 0.1, '24': 0.1, '10': 0.1, '22': 0.1}
dnHJBUczgE0;Nonprofits & Activism; {'25': 0.30000000000000004, '27': 0.30000000000000004, '28': 0.1, '29': 0.30000000000000004}
