Source,Target,weight
rz9SoKO4q_w,F89-K4IRG8A,1
rz9SoKO4q_w,v0i3cspYFVY,1
rz9SoKO4q_w,oMY4yr_w0nI,1
XKe5Ok-9j2w,CwK1qtxDTeY,1
XKe5Ok-9j2w,rbSFMUcabnU,1
XKe5Ok-9j2w,ydoRAbpWfCU,1
XKe5Ok-9j2w,ZiWktltpcSM,1
XKe5Ok-9j2w,72owaA_K_-k,1
XKe5Ok-9j2w,mS7RDoiXv_s,1
Wvgt_HTQrik,q7Zz0ad-uGs,1
Wvgt_HTQrik,E8I0EI0jUnM,1
Wvgt_HTQrik,G7E0y30M9yk,1
jFIApliDvec,HpHbv4-YB6c,1
jFIApliDvec,gOAv19a5uzQ,1
jFIApliDvec,sOX3ZMXrZXM,1
8IIPQ4appwc,ij0M8zr68NQ,1
8IIPQ4appwc,np8_JVYE-sY,1
8IIPQ4appwc,deQwqOStOp0,1
FCJW4YBGdqM,_vfGjnfN5vc,1
FCJW4YBGdqM,HOmwm82E7Gc,1
FCJW4YBGdqM,xl9RaHE9ZpI,1
FCJW4YBGdqM,mS7RDoiXv_s,1
FCJW4YBGdqM,TU9ZKiQm8IE,1
FCJW4YBGdqM,k0pddroJqt8,1
CdKok8CqN_o,wgUkjbMhF18,2
CdKok8CqN_o,py4zetCEYzA,1
CdKok8CqN_o,Rps6YpKURU8,1
CdKok8CqN_o,8EEVPVNJHjM,1
CdKok8CqN_o,t_QRzed7WzQ,1
4o8CTWxMyUY,8kwLktfhVyc,1
4o8CTWxMyUY,9mucUSUu1Xk,1
0b3xj-4gcLk,xgJUT3C5OFg,1
0b3xj-4gcLk,QbWfchyeBr8,1
bRPOAtHq5kU,PFn-XYwVteE,1
bRPOAtHq5kU,mKd3qnoWYc8,1
bRPOAtHq5kU,Qj9uxk0ASsk,1
EDeQkttORoc,XKe5Ok-9j2w,1
EDeQkttORoc,hIO8chsH_7U,1
EDeQkttORoc,FCJW4YBGdqM,1
w0I2VKFe7yI,Z_cFG6RukCw,1
w0I2VKFe7yI,mS7RDoiXv_s,1
w0I2VKFe7yI,SrF-Qu3CrGI,1
rbSFMUcabnU,w0I2VKFe7yI,1
rbSFMUcabnU,aYBR0-iVDnI,1
rbSFMUcabnU,jFIApliDvec,1
wgUkjbMhF18,Us8mDKUaX2M,1
wgUkjbMhF18,lk83N2u1ZmY,1
wgUkjbMhF18,CkHTvr0b_Wg,1
iUiyPz5ERdE,VGHAR2SK_5s,1
iUiyPz5ERdE,g3UGBzQkYcI,1
iUiyPz5ERdE,ixpdjv_jscM,1
8EEVPVNJHjM,W6WjiupbVHI,1
8EEVPVNJHjM,0bp8fk5rosI,1
8EEVPVNJHjM,nNp21zTeCDc,1
1AZXXKj0p0s,U54HRmglYEA,1
1AZXXKj0p0s,c7p-o0dblK0,1
iHNYMpTMV1U,P7P45ZNCmdo,1
rBXHK4SpoHk,h_ObetGxRZ4,1
rBXHK4SpoHk,oP_5iGc0X2w,1
rBXHK4SpoHk,5eCytLfHaPw,1
UU2_LFVVpsM,G7E0y30M9yk,1
UU2_LFVVpsM,YIb85SxQFTI,1
UU2_LFVVpsM,C78yGKNv52s,1
4-l13UMBlkM,ZpXnEvW0XD0,1
4-l13UMBlkM,eQWpD_Qr6Jc,1
4-l13UMBlkM,8IIPQ4appwc,1
p5ygcGv0TrE,_f8dyZC9nO0,1
p5ygcGv0TrE,psRV8VkY2hA,1
p5ygcGv0TrE,AWxflQxPBis,1
hIO8chsH_7U,09meiYkTsBo,1
hIO8chsH_7U,eJeF7hDB0UA,1
hIO8chsH_7U,f29CABLueFA,1
0YeMC5h7Gc8,iHNYMpTMV1U,1
0YeMC5h7Gc8,HgLS1pPu9YA,1
0YeMC5h7Gc8,jtLgwVAzo7A,1
Qj9uxk0ASsk,hTA2SizR6sk,1
Qj9uxk0ASsk,_i1_3IFjFuk,1
Qj9uxk0ASsk,YSMNBrzJWGA,1
ZpXnEvW0XD0,dj95Q-7qIyk,1
ZpXnEvW0XD0,elHK6hlnuc0,1
ZpXnEvW0XD0,0KsJi0UPoH4,1
PVFuxE6NwsY,G_HQr1WacDw,1
PVFuxE6NwsY,HgLS1pPu9YA,1
PVFuxE6NwsY,p5ygcGv0TrE,1
GvvA12oTQ94,JfxyakPvWvA,1
GvvA12oTQ94,lSt96KFFHxA,1
GvvA12oTQ94,2v7XfCHuecI,1
6cuoZlXaT3g,IT-BR40X_ZA,1
6cuoZlXaT3g,Xi3eeSZFfCw,1
6cuoZlXaT3g,aorx3dtsZ3k,2
6cuoZlXaT3g,jtLgwVAzo7A,1
6cuoZlXaT3g,vGTrD2GUm5Q,1
mDXrIPTYfTs,LVi4NrXfxUQ,1
mDXrIPTYfTs,99hk9G0e9Hw,1
mDXrIPTYfTs,a4LeeuIJrbI,2
mDXrIPTYfTs,vMZiEsRuQlw,1
mDXrIPTYfTs,5eCytLfHaPw,1
6uX2EUzQroM,8SjIOrzCYgI,1
6uX2EUzQroM,BG1Z5dn3Hg4,1
6uX2EUzQroM,V4vWZo3aOXg,1
4ATRA5yRyV8,YZwmj0Z6g58,1
4ATRA5yRyV8,CdKok8CqN_o,1
4ATRA5yRyV8,1BfvaChLC24,1
OEYasMYO76M,qMqSgEPatvc,1
OEYasMYO76M,1YYSqeJzDjc,1
OEYasMYO76M,uCryQtJme-s,1
pzehE5A1Oi4,z8A0LpX7_yM,1
pzehE5A1Oi4,JN11JClxdA4,1
pzehE5A1Oi4,gD89hfPh4vY,1
vGTrD2GUm5Q,Pwk9MX9-02c,1
vGTrD2GUm5Q,H0bA72fjHMQ,1
vGTrD2GUm5Q,4-l13UMBlkM,1
YIb85SxQFTI,CdKok8CqN_o,1
YIb85SxQFTI,UU2_LFVVpsM,1
YIb85SxQFTI,MeGb7vtVnYI,1
eQWpD_Qr6Jc,sZX9i24skyE,1
E8I0EI0jUnM,Wvgt_HTQrik,1
E8I0EI0jUnM,OEYasMYO76M,1
E8I0EI0jUnM,aorx3dtsZ3k,1
-2ai9qxIPsI,ygMRl2ObFtc,1
-2ai9qxIPsI,fhpA1uT8W28,1
-2ai9qxIPsI,yEcgkhckO7M,1
ygMRl2ObFtc,mDXrIPTYfTs,2
ygMRl2ObFtc,-2ai9qxIPsI,1
ygMRl2ObFtc,lSt96KFFHxA,1
lSt96KFFHxA,U54HRmglYEA,1
lSt96KFFHxA,ypxduP9Hl0s,1
lSt96KFFHxA,E8Bq4DbMaRU,1
lSt96KFFHxA,LVoeaKCEd2o,1
lSt96KFFHxA,e3kxNsm3vWw,1
Xi3eeSZFfCw,VmxxwicpJaI,1
Xi3eeSZFfCw,l7l3T1bEACo,1
Xi3eeSZFfCw,2ch9i8J9dTg,1
2QTGiHOZZFU,CYUlzC8Znok,1
2QTGiHOZZFU,9AMbKpeJRoU,1
