Id;Genre;Probabilities
31BoOBTuZb4;Education; {'27': 0.7999999999999999, '22': 0.1, '10': 0.1}
3O9FFrLpinQ;Education; {'22': 0.4, '27': 0.35000000000000003, '29': 0.05, '28': 0.1, '24': 0.05, '26': 0.05}
p2sCb__wRz8;People & Blogs; {'27': 0.30000000000000004, '22': 0.5, '1': 0.2}
eUWNYsDpP8E;Education; {'27': 0.5, '22': 0.15000000000000002, '1': 0.30000000000000004, '15': 0.05}
Kam9kdcN_Ig;Education; {'22': 0.1, '1': 0.2, '28': 0.1, '27': 0.4, '24': 0.1, '15': 0.1}
yCvR5PT4_h0;Science & Technology; {'2': 0.30000000000000004, '27': 0.2, '22': 0.30000000000000004, '28': 0.2}
Z1nmYDF19ZY;Film & Animation; {'27': 0.6, '1': 0.30000000000000004, '20': 0.1}
M9clqW57AQo;People & Blogs; {'27': 0.175, '22': 0.825}
75pQflBTkNY;People & Blogs; {'27': 0.6499999999999999, '28': 0.1, '24': 0.05, '26': 0.2}
nCgUfQS1-Fw;People & Blogs; {'22': 0.8999999999999999, '27': 0.1}
XalMgqFVFpo;People & Blogs; {'22': 0.9999999999999999}
HsE9aJblB5M;People & Blogs; {'22': 0.8833333333333332, '27': 0.11666666666666668}
wiu3Ctsji68;People & Blogs; {'22': 0.8333333333333331, '27': 0.16666666666666666}
iJyweEcpsGc;Education; {'27': 0.4, '28': 0.6}
lhJJsnUORhk;People & Blogs; {'22': 0.8333333333333334, '27': 0.10000000000000002, '28': 0.06666666666666667}
Y9Kg8WEVkgA;Education; {'24': 0.1, '26': 0.2, '22': 0.2, '28': 0.30000000000000004, '27': 0.2}
Bb90Kod7agY;People & Blogs; {'22': 0.8999999999999999, '27': 0.1}
3mPLo5GnqPo;People & Blogs; {'22': 0.8999999999999999, '24': 0.1}
m4gEZBz7e78;Education; {'28': 0.2, '22': 0.30000000000000004, '25': 0.30000000000000004, '27': 0.2}
XibF3ln8d2g;People & Blogs; {'22': 0.7999999999999999, '28': 0.05, '27': 0.13333333333333333, '24': 0.016666666666666666}
kNv2PlqmsAc;Science & Technology; {'27': 0.6, '28': 0.2, '22': 0.2}
U93NR-t9ZH4;People & Blogs; {'27': 0.05, '22': 0.95}
XYmwwfZh_ZQ;People & Blogs; {'22': 0.5375, '27': 0.3041666666666667, '24': 0.13333333333333333, '26': 0.0125, '28': 0.0125}
UDuDQUrOQtI;Science & Technology; {'27': 0.25, '28': 0.7, '22': 0.05}
VR19h_X0B9w;People & Blogs; {'27': 0.30000000000000004, '22': 0.6, '10': 0.05, '24': 0.05}
SUYVXT3A_xo;People & Blogs; {'22': 0.7999999999999999, '27': 0.2}
m515z9Yh3DY;Science & Technology; {'28': 0.7, '27': 0.2, '1': 0.1}
H_QbVL5uBqY;People & Blogs; {'27': 0.4, '29': 0.1, '1': 0.1, '22': 0.2, '26': 0.1, '28': 0.1}
