Source,Target,weight
BIHSLFQWwHU,mFxJIGEgXzg,2
BIHSLFQWwHU,OrJMUNEyZsE,1
BIHSLFQWwHU,WwMchL5_z7g,1
BIHSLFQWwHU,zKVy6dRcSDY,1
BIHSLFQWwHU,WnfAeqNoB5w,1
I1uRoZvhlNE,sGxw7ipTrq8,1
I1uRoZvhlNE,hRsaUYWOVuU,1
I1uRoZvhlNE,pc8-8KfIW5c,1
I1uRoZvhlNE,00GzpZnWKF0,2
I1uRoZvhlNE,e_FhYUyLNlc,1
I1uRoZvhlNE,Zcf-OcvT03Y,1
I1uRoZvhlNE,WwMchL5_z7g,1
I1uRoZvhlNE,mFxJIGEgXzg,1
u-2GJxXVyJc,eYY5l5yTDhQ,3
u-2GJxXVyJc,nkzqvxqZ3HI,2
u-2GJxXVyJc,jGRt3cWY6hY,1
u-2GJxXVyJc,YOsVpoe5tzY,1
u-2GJxXVyJc,sGxw7ipTrq8,2
u-2GJxXVyJc,2HFSaxIsJCE,2
u-2GJxXVyJc,ud6SY1_QVb4,1
u-2GJxXVyJc,NGC8IS4gjpM,1
u-2GJxXVyJc,zKVy6dRcSDY,1
u-2GJxXVyJc,qjYWsqEh_r8,1
2ZiKYOuXZIs,-g8mxTu-4KQ,1
2ZiKYOuXZIs,x5Q2n_RLgGY,1
2ZiKYOuXZIs,wn8c_z4MSPI,1
2d3dOam9Hg4,hfATurG-xAo,1
2d3dOam9Hg4,LW_O5VWIOZE,1
2d3dOam9Hg4,2HFSaxIsJCE,1
hY7m5jjJ9mM,bCVkOqSDywI,1
hY7m5jjJ9mM,5188ubfogDU,1
hY7m5jjJ9mM,sGxw7ipTrq8,1
HrQ-ka7MbBs,1mczYjVgWQ0,1
HrQ-ka7MbBs,BwKe0lqinzg,1
HrQ-ka7MbBs,OGmhBgPdcCk,1
zoXM00Soj8U,uP-T7CtSiPU,1
zoXM00Soj8U,7vHVnIKvON8,2
zoXM00Soj8U,OSgYQl6GZbU,1
zoXM00Soj8U,sGxw7ipTrq8,1
zoXM00Soj8U,iAsbV1oAkDc,1
1QuQBnv3R_Y,KqSbDcks_uA,1
1QuQBnv3R_Y,60g7D6QF1xM,1
1QuQBnv3R_Y,1Ja-ox_U9Z4,1
LcwuT8fqMvo,o68lK0HwJEA,1
LcwuT8fqMvo,TnqYnojgfnI,1
LcwuT8fqMvo,2HFSaxIsJCE,1
RLgJfEt1OYM,qMJ2c8kszmg,1
RLgJfEt1OYM,o4wZ_SBom88,1
RLgJfEt1OYM,2M8TnLxfyNs,1
RLgJfEt1OYM,OrJMUNEyZsE,1
RLgJfEt1OYM,bgxFHfNZID0,1
RLgJfEt1OYM,mFxJIGEgXzg,1
LOMP7_O19YM,UZmvnG4R6f0,1
LOMP7_O19YM,s70eFaLeS0M,1
LOMP7_O19YM,r2VZ-qNp7Ys,1
KqSbDcks_uA,48JdwW7XG30,1
KqSbDcks_uA,eYY5l5yTDhQ,1
KqSbDcks_uA,TCRwQikQbxs,1
KqSbDcks_uA,q5l3A3vH880,1
KqSbDcks_uA,60Zg9sGnQf8,1
KqSbDcks_uA,Zk5bGqOhMHI,1
KqSbDcks_uA,eStXV_TYFFw,1
KqSbDcks_uA,dW-AiN2lKDM,1
KqSbDcks_uA,tmJtd9BLCuc,1
KqSbDcks_uA,rokxoxFsWPU,1
KqSbDcks_uA,W_tFcjMgyec,1
qjYWsqEh_r8,bwDQzTTbsd8,1
qjYWsqEh_r8,gtyCQG-_lgQ,1
qjYWsqEh_r8,1V2n2kqppvA,1
qjYWsqEh_r8,0F9V8SixMbA,1
qjYWsqEh_r8,r6yy6r3rL2U,1
qjYWsqEh_r8,pc8-8KfIW5c,2
qjYWsqEh_r8,HUqgLYaV0v4,2
qjYWsqEh_r8,P60k0AUGHRs,1
qjYWsqEh_r8,n00JRqeJD9g,1
qjYWsqEh_r8,sGxw7ipTrq8,1
qjYWsqEh_r8,cMeKz8Aulog,1
1V2n2kqppvA,JxS5E-kZc2s,4
1V2n2kqppvA,WnfAeqNoB5w,2
1V2n2kqppvA,BsVojXDSrQM,1
1V2n2kqppvA,ywRdHEwlm90,2
1V2n2kqppvA,9PbMX0l9t84,2
1V2n2kqppvA,2M8TnLxfyNs,1
1V2n2kqppvA,I1uRoZvhlNE,1
1V2n2kqppvA,mFxJIGEgXzg,1
1V2n2kqppvA,WSG7M0naPYs,1
1V2n2kqppvA,WGxQ1mNTkhQ,2
1V2n2kqppvA,YOsVpoe5tzY,1
jXeF8mQ3gj0,x5vnu-L2C6s,1
jXeF8mQ3gj0,Hcuqsc3Cw_s,1
jXeF8mQ3gj0,L8sQ9auLlWU,1
kimLAYrHaeQ,uW7S9menPE8,1
kimLAYrHaeQ,847XYqnBhbc,1
kimLAYrHaeQ,7Kj4rceBPPQ,1
bf2ASh5vS-s,IuZKkCYD8xg,1
bf2ASh5vS-s,zoXM00Soj8U,1
bf2ASh5vS-s,JB3MqIpNXhA,1
bf2ASh5vS-s,gdqOcVC4UfE,1
bf2ASh5vS-s,253DiiFjVak,1
bf2ASh5vS-s,BqZIldZCneE,1
hRsaUYWOVuU,mFxJIGEgXzg,1
hRsaUYWOVuU,MVjD3CVlRDs,1
hRsaUYWOVuU,zKVy6dRcSDY,1
OrJMUNEyZsE,V9sC3iZip08,1
OrJMUNEyZsE,pc8-8KfIW5c,1
OrJMUNEyZsE,mFxJIGEgXzg,1
OrJMUNEyZsE,ywRdHEwlm90,1
OrJMUNEyZsE,sGxw7ipTrq8,1
OrJMUNEyZsE,uodFAqscjgk,1
34HXF0I3wH8,UZmvnG4R6f0,1
