Id;Genre;Probabilities
42MVi6Fel-E;Autos & Vehicles; {'2': 0.6499999999999999, '22': 0.15000000000000002, '27': 0.2}
Nd82bIfix_0;Science & Technology; {'28': 0.8999999999999999, '27': 0.1}
mErdVnlmERM;News & Politics; {'25': 0.30000000000000004, '2': 0.6, '28': 0.1}
kGP77V206Gc;Howto & Style; {'26': 0.30000000000000004, '19': 0.4, '24': 0.2, '27': 0.1}
jpaHRQl6wG0;Science & Technology; {'24': 0.2, '28': 0.6, '27': 0.2}
WKUf0CppDw4;Science & Technology; {'28': 0.6, '25': 0.2, '24': 0.1, '26': 0.1}
MWgFeCSvsmI;Autos & Vehicles; {'2': 0.55, '25': 0.25, '28': 0.15000000000000002, '22': 0.05}
pmXSi6_vFAI;News & Politics; {'25': 0.2, '27': 0.4, '24': 0.30000000000000004, '26': 0.1}
P0XxdPyW9Uc;Entertainment; {'24': 0.8999999999999999, '1': 0.1}
VWrfjUzYvPo;Nonprofits & Activism; {'25': 0.6, '1': 0.1, '27': 0.1, '24': 0.1, '22': 0.1}
BOd6H8R9DH4;Film & Animation; {'22': 0.1, '1': 0.6, '10': 0.2, '24': 0.1}
FR8iIMPNqYk;Autos & Vehicles; {'2': 0.7999999999999999, '24': 0.1, '28': 0.1}
EcMKLwVlpJk;Science & Technology; {'27': 0.23333333333333334, '28': 0.31666666666666665, '26': 0.13333333333333333, '22': 0.16666666666666669, '25': 0.08333333333333334, '24': 0.06666666666666667}
dBnniua6-oM;Education; {'28': 0.30000000000000004, '27': 0.6, '29': 0.1}
Ut82bMaHwiM;Science & Technology; {'27': 0.1, '28': 0.7999999999999999, '15': 0.1}
6eS17F7nuTM;News & Politics; {'25': 0.2, '28': 0.30000000000000004, '27': 0.4, '22': 0.1}
lGdhI2gTVdM;Entertainment; {'10': 0.2, '24': 0.30000000000000004, '22': 0.1, '27': 0.1, '25': 0.1, '2': 0.1, '19': 0.1}
CaELQS5kTso;News & Politics; {'28': 0.2, '25': 0.30000000000000004, '24': 0.1, '1': 0.1, '27': 0.1, '22': 0.1, '29': 0.1}
658xlubwnDc;Science & Technology; {'28': 0.5, '27': 0.5}
Qb4iwPr5-EY;Howto & Style; {'26': 0.6, '22': 0.1, '27': 0.1, '24': 0.2}
JQIV7GkQiqc;News & Politics; {'25': 0.7, '28': 0.2, '22': 0.1}
eY8ZZvynij0;People & Blogs; {'17': 0.1, '22': 0.4, '23': 0.1, '25': 0.2, '27': 0.2}
BQSjO5-sSOY;News & Politics; {'25': 0.5, '28': 0.15000000000000002, '27': 0.30000000000000004, '29': 0.05}
5GoAGuTIbVY;News & Politics; {'1': 0.1, '25': 0.6, '29': 0.1, '27': 0.1, '22': 0.1}
DPuH-OjilW0;News & Politics; {'25': 0.6, '27': 0.1, '10': 0.1, '22': 0.2}
4u_LBoLpJuY;Autos & Vehicles; {'2': 0.6, '27': 0.2, '26': 0.2}
xpUcZXiKtfU;Science & Technology; {'27': 0.2, '24': 0.1, '28': 0.6499999999999999, '10': 0.05}
UaCY-pp-LGg;Entertainment; {'24': 0.7999999999999999, '1': 0.2}
fHEsGKZm4C8;Education; {'27': 0.9999999999999999}
q0mljE9K-gY;Education; {'25': 0.2, '27': 0.30000000000000004, '28': 0.30000000000000004, '29': 0.2}
jb_GatJWV6E;People & Blogs; {'25': 0.1, '22': 0.7, '27': 0.2}
