Source,Target,weight
ugRc5jx80yg,DPZzrlFCD_I,1
ugRc5jx80yg,E5Nfe9N25dk,1
ugRc5jx80yg,W4DnuQOtA8E,1
ugRc5jx80yg,Q5kNSlwlJBQ,1
ugRc5jx80yg,NZlClr_ivb4,1
ugRc5jx80yg,TOcGSwJBPMQ,1
2A6UeNL1ZVk,wKFnk4R54ZQ,1
2A6UeNL1ZVk,8HEfIJlcFbs,1
2A6UeNL1ZVk,_fQZfFy9cFs,1
NTJAhzRzlRw,R74eJFUUPnk,1
NTJAhzRzlRw,-AG-uKoru_Q,1
NTJAhzRzlRw,LYJFgapz_5U,1
8HEfIJlcFbs,kRNL9TKDjcE,1
8HEfIJlcFbs,x_qSdnjhbw4,1
8HEfIJlcFbs,DPZzrlFCD_I,1
6qZWMNW7GmE,S32y9aYEzzo,1
6qZWMNW7GmE,Qf-D1Upn-KU,1
hFZFjoX2cGg,ugRc5jx80yg,1
hFZFjoX2cGg,DPZzrlFCD_I,1
hFZFjoX2cGg,NTJAhzRzlRw,1
wKFnk4R54ZQ,5NxTmHc27Hw,1
wKFnk4R54ZQ,d6L5btPRHq8,1
wKFnk4R54ZQ,-v-II1FPFSU,1
DPZzrlFCD_I,6qZWMNW7GmE,1
DPZzrlFCD_I,oZhs772-_qk,1
DPZzrlFCD_I,vp5sSqyZ5Go,1
_fQZfFy9cFs,wTZL8mCF6b8,1
