Source,Target,weight
L7B7csYZUuU,Tfp4ZQoYiZs,1
L7B7csYZUuU,K8JXjgLoFR8,1
L7B7csYZUuU,UrA8wINIxXk,1
L7B7csYZUuU,W0xBjNPwAbY,1
L7B7csYZUuU,xiwrpXTURY4,1
L7B7csYZUuU,2THMsVjq5gY,1
X_N-BgQW58E,G4sbfz-iXJI,1
X_N-BgQW58E,fM3MrPi39co,1
X_N-BgQW58E,B8v7x8ctFRs,1
2THMsVjq5gY,MyW9FZskhko,1
2THMsVjq5gY,2qJFOFGUW98,2
2THMsVjq5gY,gBWNd0TMjZg,1
2THMsVjq5gY,-lhHNMFamco,1
2THMsVjq5gY,AWACAnGNWO4,1
008fbUYJ4Vw,VPIF9XrecbE,1
008fbUYJ4Vw,zH74g3l7eH4,1
008fbUYJ4Vw,ufdTuRqhpjQ,1
008fbUYJ4Vw,uRDB-WcVbKM,1
008fbUYJ4Vw,JhWMaYfG7fg,1
008fbUYJ4Vw,jF9H7x4-DQU,1
tLsmuHk1QTU,_yd0v9fcBik,1
tLsmuHk1QTU,ujEc4uqut9Y,1
tLsmuHk1QTU,P4nBRe4uA9s,1
8uCLXSYBzT8,hhcH4DZurQA,1
8uCLXSYBzT8,QWBoyvGTFV4,1
8uCLXSYBzT8,lu-lkFgUNPk,1
05XlDhCF-Tc,k_AB87LWMGE,1
05XlDhCF-Tc,sXGmIhK2cbo,1
05XlDhCF-Tc,5fP38dHmImI,1
fhlya7Ya4ZE,beZI0jm3b4Y,1
fhlya7Ya4ZE,opX0Pa-3B7M,1
fhlya7Ya4ZE,M6a2JnIzPrE,1
G8buQemtPrw,TJ3M-2z_FVo,1
G8buQemtPrw,FR3kYWZ-274,2
G8buQemtPrw,bYJPswt6S8g,2
G8buQemtPrw,kzcHEt_Z6cg,1
G8buQemtPrw,3Qiz6HjxiKk,1
G8buQemtPrw,hTaGHblq3cQ,1
G8buQemtPrw,SjdnpAT96yI,1
G8buQemtPrw,ZN7q59HFK1g,1
G8buQemtPrw,mvf829N9vTk,1
G8buQemtPrw,P19UieRRv60,1
DbgGFxYcmZ0,6yq1sO8hTQ0,1
DbgGFxYcmZ0,9e3KJnHBboE,1
ZWlFqWoD_3c,_yd0v9fcBik,1
ZWlFqWoD_3c,Tfp4ZQoYiZs,1
ZWlFqWoD_3c,1j1C3dlwh7E,1
