Id;Genre;Probabilities
aWDay77WTO0;People & Blogs; {'22': 0.7, '24': 0.1, '26': 0.2}
_o_fD1EgMx8;Travel & Events; {'10': 0.4, '19': 0.30000000000000004, '22': 0.30000000000000004}
b6WpDm7S7K8;Travel & Events; {'19': 0.5, '27': 0.5}
wKSZwIYeAKs;Travel & Events; {'22': 0.2, '24': 0.1, '19': 0.6, '10': 0.1}
S8M-_ZOjbrs;People & Blogs; {'22': 0.9999999999999999}
GNumkY8mS6A;People & Blogs; {'22': 0.2, '26': 0.7, '24': 0.1}
rDBSVeKfTYs;People & Blogs; {'22': 0.4, '1': 0.05, '15': 0.05, '19': 0.5}
ul14Qs24-s8;Travel & Events; {'19': 0.7999999999999999, '22': 0.2}
k6f8xezkWo0;Travel & Events; {'19': 0.9399999999999998, '26': 0.04, '22': 0.02}
avHJTu5upNE;Travel & Events; {'19': 0.7, '22': 0.2, '10': 0.1}
MD7mK_bx7UE;Travel & Events; {'19': 0.7999999999999999, '1': 0.1, '22': 0.1}
eH9wHivA-OM;Entertainment; {'26': 0.1, '22': 0.1, '24': 0.5, '19': 0.30000000000000004}
h0Gm3dI0X_s;Travel & Events; {'22': 0.2, '28': 0.1, '19': 0.4, '27': 0.2, '25': 0.1}
tMI3jcgtEas;Travel & Events; {'10': 0.1, '24': 0.30000000000000004, '27': 0.4, '22': 0.1, '19': 0.1}
IuTDuvYr7f0;Travel & Events; {'19': 0.7, '24': 0.2, '26': 0.1}
niERMc0zb1A;People & Blogs; {'22': 0.5, '19': 0.30000000000000004, '26': 0.1, '24': 0.1}
l-MOffD3K2M;Travel & Events; {'19': 0.6499999999999999, '22': 0.25, '26': 0.1}
Tyyedw6FKZY;People & Blogs; {'22': 0.6, '19': 0.4}
yqOlY5uBBbo;Travel & Events; {'19': 0.7999999999999999, '24': 0.1, '22': 0.1}
3ZYPeiJkuaY;Travel & Events; {'19': 0.7666666666666666, '22': 0.2111111111111111, '26': 0.022222222222222223}
DSKoIywwY5U;Travel & Events; {'19': 0.7, '27': 0.30000000000000004}
eP93PQMmXsc;Entertainment; {'19': 0.2, '24': 0.5, '22': 0.1, '27': 0.2}
opx2kKoumPE;Travel & Events; {'19': 0.8499999999999999, '10': 0.1, '20': 0.05}
kkNGdzo_3EA;Science & Technology; {'28': 0.1, '24': 0.1, '25': 0.1, '22': 0.2, '19': 0.30000000000000004, '27': 0.1, '26': 0.1}
OhnydLHX_u4;Travel & Events; {'19': 0.30000000000000004, '27': 0.2, '22': 0.30000000000000004, '24': 0.1, '10': 0.1}
At8r8kgSDLg;Travel & Events; {'19': 0.7999999999999999, '24': 0.1, '22': 0.1}
PRllH5vPfXw;Travel & Events; {'19': 0.475, '22': 0.42500000000000004, '10': 0.07500000000000001, '27': 0.025}
k5DzJBFu0io;Travel & Events; {'19': 0.5, '22': 0.4, '26': 0.05, '24': 0.05}
kd0QDD1pvlM;Education; {'19': 0.9666666666666665, '24': 0.016666666666666666, '10': 0.016666666666666666}
NCU2Gcw5o1o;Travel & Events; {'19': 0.75, '10': 0.05, '27': 0.2}
-X5m5OKtWxg;Travel & Events; {'19': 0.8499999999999999, '22': 0.1, '10': 0.05}
blK3IF51B0M;Film & Animation; {'19': 0.5, '24': 0.30000000000000004, '22': 0.2}
L8O1FdhJz3Y;Entertainment; {'24': 0.8999999999999999, '26': 0.1}
craLbaqM4xQ;Education; {'27': 0.7999999999999999, '19': 0.2}
s6kSXHy_Siw;Travel & Events; {'19': 0.9999999999999999}
riZWEoGKyuU;Travel & Events; {'19': 0.6, '10': 0.2, '24': 0.2}
_KnAsQ3q-uc;Entertainment; {'24': 0.6, '22': 0.30000000000000004, '19': 0.1}
i16zMSJCE-8;Education; {'27': 0.4, '19': 0.4, '24': 0.05, '10': 0.05, '1': 0.05, '29': 0.05}
8qR6l8mgb6o;People & Blogs; {'22': 0.6, '25': 0.1, '19': 0.2, '10': 0.1}
KFS-YtwgX1s;People & Blogs; {'22': 0.8999999999999999, '24': 0.1}
O37yJBFRrfg;Education; {'27': 0.8999999999999999, '22': 0.1}
DINc3A9mtSk;Entertainment; {'24': 0.7999999999999999, '22': 0.2}
mAM3Ke9-IVo;Travel & Events; {'19': 0.8666666666666666, '22': 0.13333333333333333}
7gdUlBGDXhg;Travel & Events; {'19': 0.7999999999999999, '22': 0.2}
BJrj_OUNLVo;Travel & Events; {'22': 0.6, '19': 0.4}
EZiiD-hQJ50;Travel & Events; {'19': 0.7999999999999999, '22': 0.2}
wj2aKwCIa9s;Education; {'27': 0.5, '19': 0.1, '22': 0.30000000000000004, '10': 0.1}
