Source,Target,weight
VR84-Aa1JVY,jZ7Bu_SDJgM,1
VR84-Aa1JVY,komNxpcGDNU,1
VR84-Aa1JVY,mjkFrqPejyU,1
Ebx4rtpG4lo,7HdbUliH470,1
Ebx4rtpG4lo,ZxCT_D6HBd8,1
Ebx4rtpG4lo,YDQpyQ8wsrc,1
6fZ1LsDAi1c,RmmRlztXETI,1
6fZ1LsDAi1c,fXOaWevi6f8,1
6fZ1LsDAi1c,aD0EdxN3-Cg,1
I-wB0moRpMw,nEhnFb3CZ30,1
I-wB0moRpMw,kEQRSKkLVbk,1
I-wB0moRpMw,ne7Rf52SClI,1
V2xVSmzPzW4,ETHMzJmgz1k,1
V2xVSmzPzW4,UKjjBgfZG5Q,1
V2xVSmzPzW4,J_3DFTm8ioA,1
cG4aYsvgchA,gLJy5njInoc,1
cG4aYsvgchA,-4kzBmmGyhA,1
cG4aYsvgchA,qGSfK55Ggs4,1
ivXAB1LKngc,3U78hOvw7wE,1
ivXAB1LKngc,saRQYXtu1j0,1
ivXAB1LKngc,xs15rpbhd9I,1
FDv6LYX3EXA,L7fSlH-yB3A,1
FDv6LYX3EXA,0owALqNF_4o,1
FDv6LYX3EXA,l0aWrfeoy2c,1
-4kzBmmGyhA,cG4aYsvgchA,1
-4kzBmmGyhA,zTGd8TxWfDg,2
-4kzBmmGyhA,2bNzjBJF_G0,2
-4kzBmmGyhA,BC7Oe0jB3dA,1
5kVnrqBb6y4,ROozLTYm_OQ,1
5kVnrqBb6y4,qKFZMULHKcg,2
5kVnrqBb6y4,wnDxHTaeNX0,1
5kVnrqBb6y4,potBE03tDCE,1
5kVnrqBb6y4,50pQHccrlHg,1
2bNzjBJF_G0,1ltZR9IWXaE,1
2bNzjBJF_G0,PgzwGjaTr98,1
2bNzjBJF_G0,qGSfK55Ggs4,1
zTGd8TxWfDg,uDH_o8RqR0Y,1
zTGd8TxWfDg,potBE03tDCE,1
zTGd8TxWfDg,1ltZR9IWXaE,1
zTGd8TxWfDg,50pQHccrlHg,1
zTGd8TxWfDg,qGSfK55Ggs4,1
zTGd8TxWfDg,f2d7kJPimyE,1
PgzwGjaTr98,BUl6vXvAa8I,1
PgzwGjaTr98,wa35Vx_07fQ,1
potBE03tDCE,-4kzBmmGyhA,1
potBE03tDCE,vdkQWgZLrYA,1
potBE03tDCE,f2d7kJPimyE,1
-eg2Ew_c2XQ,xEYMaL6-3ls,1
-eg2Ew_c2XQ,1ltZR9IWXaE,1
-eg2Ew_c2XQ,V2xVSmzPzW4,1
017c4FA2zjM,ivXAB1LKngc,1
017c4FA2zjM,32axwRwe4dk,1
oaletsYICyI,-4kzBmmGyhA,1
oaletsYICyI,JOrjRU091Hk,1
aD0EdxN3-Cg,yiNQq_f_LzA,1
aD0EdxN3-Cg,017c4FA2zjM,2
aD0EdxN3-Cg,0dsNRlh-JrY,1
aD0EdxN3-Cg,BYVMxVcsRZM,1
aD0EdxN3-Cg,jcKJwq8z8Hw,1
50pQHccrlHg,JOrjRU091Hk,1
50pQHccrlHg,5kVnrqBb6y4,1
50pQHccrlHg,NszXuvBWMsU,2
50pQHccrlHg,q37qWA2cL5w,1
50pQHccrlHg,ISToBIkSNbM,1
xEYMaL6-3ls,4J-kEU-bICI,1
xEYMaL6-3ls,I8CyY3Vbnk4,1
xEYMaL6-3ls,yiNQq_f_LzA,1
NszXuvBWMsU,-4kzBmmGyhA,1
NszXuvBWMsU,-eg2Ew_c2XQ,1
NszXuvBWMsU,YpCSXFZa0JQ,1
NszXuvBWMsU,75LFkGVJgtg,1
NszXuvBWMsU,j_UAkHQFcgA,1
NszXuvBWMsU,50pQHccrlHg,1
gacYUUd-Rho,CTUt26n9k_8,1
gacYUUd-Rho,AqUtAkGA8Ow,1
gacYUUd-Rho,EiHdMJejTPU,1
32axwRwe4dk,23jRAsydwYs,1
32axwRwe4dk,3U78hOvw7wE,1
32axwRwe4dk,saRQYXtu1j0,1
KY2Bx2PKECQ,NS0_6Ka8zlU,1
KY2Bx2PKECQ,aNykjvVVo7Y,1
KY2Bx2PKECQ,yiNQq_f_LzA,1
az1jMn2sVPw,UQ3GHs9PBIQ,1
az1jMn2sVPw,WCNhceHw2RQ,1
az1jMn2sVPw,vW4tyQ5XD_Q,1
ay96S8aKWpA,mJ_5v0tRz-0,1
ay96S8aKWpA,Gt_ejgm9qao,1
ay96S8aKWpA,eoccx5FO7UU,1
97iOxxH_64s,YifcG9EX9Ng,1
97iOxxH_64s,VZq6njz_5pc,1
97iOxxH_64s,DAzPfiLG5og,1
foy5WPVawSI,-t28bE6vw_8,1
foy5WPVawSI,r_wfAQNiHwI,1
foy5WPVawSI,mmJG1imtPpg,1
JOrjRU091Hk,rSoFDivGIdc,1
