Id;Genre;Probabilities
9lFkNHn8dYQ;Gaming; {'20': 0.0195}
xRmbFCFEOKc;Gaming; {'20': 0.0004}
6fxLOz16mvo;Gaming; {'20': 0.0029}
g9o0xve8nfI;Gaming; {'20': 0.0019}
ip-2UhFr1pg;Gaming; {'20': 0.0009}
D1tpDxdbxp8;Gaming; {'20': 0.9999}
7WsEDQeoFlI;Gaming; {'20': 0.0002, '22': 0.0}
EYK9j7ZvFr8;Gaming; {'20': 0.1249}
dMizE7kj4Ok;Gaming; {'20': 0.9999}
foUD4nMCrqw;Gaming; {'20': 0.0156}
EY1H31iSguo;Gaming; {'20': 0.9999}
0bD71-L99YY;Gaming; {'20': 0.9999}
z0XeGO7nSxg;Gaming; {'20': 0.037}
18WjEBpmEGE;People & Blogs; {'20': 0.7, '22': 0.2, '1': 0.1}
uLeC-hLQ2G0;Gaming; {'20': 0.0076, '1': 0.0001, '22': 0.0001}
Tg7OVSIP6cg;Gaming; {'20': 0.0046}
eTmx23Euu7Y;Gaming; {'20': 0.0152, '22': 0.0003}
adu5L0rD3to;Gaming; {'20': 0.032, '24': 0.0012, '27': 0.0037}
gZaiAr408Zs;Gaming; {'20': 0.1249}
n1DLqPQ_JAc;Gaming; {'20': 0.037}
bJVGlrkgT6c;Gaming; {'20': 0.0009, '22': 0.0}
KWWs8J_BPtQ;Gaming; {'20': 0.1249}
wiYwsWR2crk;Gaming; {'20': 0.1249}
-RcFSiQrmg8;Gaming; {'20': 0.0333, '22': 0.0037}
NdJ53CmONuw;Gaming; {'20': 0.1249}
0mIagHycicE;Gaming; {'20': 0.0029}
SELEQGX89eQ;Gaming; {'20': 0.9999}
oC_ZHFiueCc;Gaming; {'20': 0.0019}
y1mz5E8IAW0;Gaming; {'20': 0.9, '22': 0.1}
D5SODc2UUk0;Gaming; {'20': 0.1249}
ksb_-y9W1vQ;Gaming; {'20': 0.9999}
3WKeQgHvTQU;Gaming; {'20': 0.037}
nhjucF9Td9w;Gaming; {'20': 0.9999}
HzlqVbXU6po;Gaming; {'22': 0.1, '20': 0.9}
IFKNur_8LVQ;Gaming; {'20': 0.9, '22': 0.1}
m0J9PsHjGjc;Gaming; {'20': 0.9, '22': 0.1}
N4P6U8A3U40;Gaming; {'20': 0.1249}
mDZjJ0OREaA;Gaming; {'20': 0.1187, '22': 0.0062}
L5aQzCJW5-s;People & Blogs; {'20': 0.0148, '17': 0.0007}
Nb0twM0c_l4;Gaming; {'20': 0.1187, '23': 0.0062}
6HZ-nfMfu8o;Gaming; {'20': 0.1249}
CGa2CR9-q5s;Gaming; {'20': 0.9999}
7zvFjesUu50;Gaming; {'22': 0.1, '20': 0.9}
3V7CVimRCRw;Gaming; {'20': 0.9, '10': 0.1}
4le6BgsyjPQ;Gaming; {'20': 0.9, '22': 0.1}
mDu30sX4K3g;Gaming; {'20': 0.9, '22': 0.1}
ahyd-tw2s0Q;Gaming; {'20': 0.9999}
xurNjWulIo0;Gaming; {'20': 0.9, '24': 0.1}
Ia6fUErG8qI;Gaming; {'20': 0.9999}
RvC667FIGXE;Gaming; {'20': 0.1187, '22': 0.0062}
dD3CGghskeM;Gaming; {'20': 0.1249}
XTqxaMORK9M;Gaming; {'20': 0.9, '1': 0.1}
8VG_P5fwpqg;Gaming; {'20': 0.9, '22': 0.1}
Q-VZG0H4M8M;Gaming; {'20': 0.1062, '1': 0.0062, '22': 0.0125}
zsGavaxHm1Q;Gaming; {'20': 0.9999}
6WFNlsj3h3M;Gaming; {'20': 0.9, '22': 0.1}
SKBlyYj3W5o;Gaming; {'20': 0.1187, '22': 0.0062}
KfV_Chbb7oY;Gaming; {'20': 0.037}
qakVKpJ5Jtc;Gaming; {'20': 0.1062, '23': 0.0125, '24': 0.0062}
QDk5qKc9vjQ;Gaming; {'20': 0.1249}
S12BqBXK2FQ;Gaming; {'20': 0.037}
Sb0-I8FkUWU;Gaming; {'20': 0.7999, '28': 0.2}
TPXgh-AQ2Lw;Gaming; {'20': 0.1249}
1ao-eTy1pSM;Gaming; {'20': 0.9999}
5Wr1OkisWLM;Gaming; {'20': 0.037}
mLS0MCuqBkM;Gaming; {'20': 0.9999}
9qNIWb6AEJo;Gaming; {'20': 0.037}
ssRvBqYujyE;Gaming; {'20': 0.9999}
KgROJZ55GL0;Gaming; {'20': 0.9999}
3qGen2IMsAQ;Gaming; {'20': 0.9, '22': 0.1}
g__r0WrMRAU;Gaming; {'20': 0.0333, '1': 0.0037}
vphR8z-Y7b8;Gaming; {'20': 0.1062, '23': 0.0062, '1': 0.0125}
as6a0gKVGog;Gaming; {'20': 0.9999}
FQOFpDdg5rQ;Gaming; {'20': 0.1062, '27': 0.0125, '24': 0.0062}
