Source,Target,{weight}
ME92WaNDGVM,GgOE64kgjjo,{1}
ME92WaNDGVM,R_wscUcbynk,{1}
ME92WaNDGVM,kpk2tdsPh0A,{1}
ME92WaNDGVM,QKsRNoLyXO8,{2}
ME92WaNDGVM,ACuk2TXoNhc,{1}
ME92WaNDGVM,OxXZkYsthzM,{1}
ME92WaNDGVM,xlQ0psr7Th4,{1}
ME92WaNDGVM,xgnqURzfuOI,{1}
GgOE64kgjjo,7u1tVD7UEqw,{1}
GgOE64kgjjo,_XkKufyIiAY,{2}
GgOE64kgjjo,D6cpa-TvKn8,{1}
GgOE64kgjjo,AtDUnJCoTb8,{1}
GgOE64kgjjo,vfFbui-9du8,{1}
R_wscUcbynk,UuzUKT2Shn8,{4}
R_wscUcbynk,mAh4IJysiLU,{1}
R_wscUcbynk,Y99Wj-NStok,{1}
R_wscUcbynk,l7ePi38LnrA,{1}
R_wscUcbynk,u0aRVjtjmB4,{1}
R_wscUcbynk,D6cpa-TvKn8,{3}
R_wscUcbynk,AtDUnJCoTb8,{1}
R_wscUcbynk,TBR9ypSOTGQ,{1}
R_wscUcbynk,7u1tVD7UEqw,{1}
R_wscUcbynk,UeMgDs6CtT0,{1}
QKsRNoLyXO8,GgOE64kgjjo,{1}
QKsRNoLyXO8,oudZMniib08,{1}
QKsRNoLyXO8,ACuk2TXoNhc,{1}
ACuk2TXoNhc,U7RzoIEoSMY,{1}
ACuk2TXoNhc,aVFq0H6D6_M,{1}
ACuk2TXoNhc,kDluReuJDOk,{2}
ACuk2TXoNhc,4WoMl-fEPtc,{1}
ACuk2TXoNhc,iOVyNobXTxw,{1}
OxXZkYsthzM,YUfMeUr4Cb4,{1}
OxXZkYsthzM,OwBIrIItMN4,{1}
OxXZkYsthzM,ME92WaNDGVM,{1}
xlQ0psr7Th4,ACuk2TXoNhc,{1}
xlQ0psr7Th4,EPrrFQSZFwk,{2}
xlQ0psr7Th4,2_uRIyAgtpE,{2}
xlQ0psr7Th4,ME92WaNDGVM,{1}
xgnqURzfuOI,R_wscUcbynk,{1}
xgnqURzfuOI,oYvg2yf7Xeg,{1}
xgnqURzfuOI,wLjmSdmWd-g,{1}
7u1tVD7UEqw,iZT6JEOC3D8,{1}
7u1tVD7UEqw,kDluReuJDOk,{1}
7u1tVD7UEqw,Ktr9dYUumAs,{1}
_XkKufyIiAY,7rIJNT7dCmE,{1}
_XkKufyIiAY,Y99Wj-NStok,{1}
_XkKufyIiAY,UuzUKT2Shn8,{1}
D6cpa-TvKn8,R-0F5l5vUQA,{1}
D6cpa-TvKn8,JCRKUuhGC1A,{2}
D6cpa-TvKn8,V1RO2DUAQ2U,{1}
D6cpa-TvKn8,u0aRVjtjmB4,{1}
D6cpa-TvKn8,mAh4IJysiLU,{1}
iZT6JEOC3D8,Y99Wj-NStok,{1}
iZT6JEOC3D8,v4HnZ4-_HzI,{1}
iZT6JEOC3D8,7rIJNT7dCmE,{1}
iZT6JEOC3D8,bt1DFNSNbRk,{1}
iZT6JEOC3D8,_XkKufyIiAY,{2}
iZT6JEOC3D8,ywpmvj5o4hs,{1}
iZT6JEOC3D8,dmLSJrA0n9w,{1}
iZT6JEOC3D8,Nwq8OOuYmfI,{1}
kDluReuJDOk,KS0AwoEYHZU,{1}
kDluReuJDOk,Y99Wj-NStok,{1}
kDluReuJDOk,dNL8rdn00IU,{1}
kDluReuJDOk,4WoMl-fEPtc,{1}
kDluReuJDOk,V5HfJD4aKlA,{1}
kDluReuJDOk,oudZMniib08,{1}
Ktr9dYUumAs,u0aRVjtjmB4,{1}
Ktr9dYUumAs,OW_SyxTuszQ,{1}
Ktr9dYUumAs,JCRKUuhGC1A,{1}
Y99Wj-NStok,7rIJNT7dCmE,{2}
Y99Wj-NStok,SLgms78JVo0,{3}
Y99Wj-NStok,JCRKUuhGC1A,{2}
Y99Wj-NStok,kDluReuJDOk,{1}
Y99Wj-NStok,i1AHCaokqhg,{1}
Y99Wj-NStok,pXSwCC4Vwxg,{1}
Y99Wj-NStok,dNL8rdn00IU,{1}
Y99Wj-NStok,7k-UaBIr1mI,{1}
v4HnZ4-_HzI,iZT6JEOC3D8,{1}
v4HnZ4-_HzI,52bXJDoJeig,{1}
v4HnZ4-_HzI,4tnPH1AxSxw,{1}
7rIJNT7dCmE,1cAlXqHAqXw,{4}
7rIJNT7dCmE,Y99Wj-NStok,{1}
7rIJNT7dCmE,UuzUKT2Shn8,{3}
7rIJNT7dCmE,HfGkxTi9ZEY,{1}
7rIJNT7dCmE,oudZMniib08,{1}
7rIJNT7dCmE,V1RO2DUAQ2U,{2}
7rIJNT7dCmE,iZT6JEOC3D8,{2}
7rIJNT7dCmE,kDluReuJDOk,{1}
7rIJNT7dCmE,U7RzoIEoSMY,{2}
7rIJNT7dCmE,AFrQ1_2bbsI,{1}
