Id;Genre;Probabilities
ME92WaNDGVM;Gaming;  {'20': 1.4, '10': 0.05, '28': 0.05}
GgOE64kgjjo;Gaming;  {'20': 0.9999}
R_wscUcbynk;Gaming;  {'20': 0.9857, '22': 0.0142}
kpk2tdsPh0A;Gaming;  {'20': 0.9999}
QKsRNoLyXO8;Gaming;  {'20': 0.9999}
ACuk2TXoNhc;Gaming;  {'20': 0.9999}
OxXZkYsthzM;Gaming;  {'20': 0.9999}
xlQ0psr7Th4;Gaming;  {'20': 0.8499, '28': 0.1, '27': 0.05}
xgnqURzfuOI;Gaming;  {'20': 0.9, '17': 0.1}
7u1tVD7UEqw;Gaming;  {'20': 0.9999}
_XkKufyIiAY;Gaming;  {'20': 0.74, '27': 0.1099, '22': 0.15}
D6cpa-TvKn8;Gaming;  {'20': 0.9999}
AtDUnJCoTb8;Gaming;  {'20': 0.95, '22': 0.05}
vfFbui-9du8;Gaming;  {'20': 0.9999}
iZT6JEOC3D8;Gaming;  {'20': 0.9999}
kDluReuJDOk;Gaming;  {'20': 0.9857, '24': 0.0142}
Ktr9dYUumAs;Gaming;  {'20': 0.9999}
Y99Wj-NStok;Gaming;  {'20': 0.9272, '22': 0.0545, '10': 0.0181}
v4HnZ4-_HzI;Gaming;  {'20': 0.9999}
7rIJNT7dCmE;Gaming;  {'20': 0.9999}
bt1DFNSNbRk;Gaming;  {'20': 0.9999}
ywpmvj5o4hs;Gaming;  {'20': 0.9, '23': 0.1}
dmLSJrA0n9w;Gaming;  {'1': 0.2333, '27': 0.1, '20': 0.4, '28': 0.1, '17': 0.1666}
Nwq8OOuYmfI;Gaming;  {'20': 0.9, '10': 0.1}
SLgms78JVo0;Gaming;  {'20': 0.6999, '10': 0.3}
JCRKUuhGC1A;Gaming;  {'20': 0.9999}
i1AHCaokqhg;Gaming;  {'20': 0.9, '22': 0.075, '1': 0.025}
pXSwCC4Vwxg;Gaming;  {'24': 0.1, '20': 0.5, '28': 0.1, '10': 0.2, '22': 0.1}
dNL8rdn00IU;Gaming;  {'20': 0.9, '1': 0.1}
7k-UaBIr1mI;Gaming;  {'20': 0.9999}
1cAlXqHAqXw;Science & Technology;  {'27': 0.15, '20': 0.15, '17': 0.175, '1': 0.15, '24': 0.175, '28': 0.075, '22': 0.075, '23': 0.05}
UuzUKT2Shn8;Gaming;  {'20': 0.9999}
HfGkxTi9ZEY;Gaming;  {'20': 0.9, '10': 0.1}
oudZMniib08;Gaming;  {'20': 0.9, '19': 0.0999}
V1RO2DUAQ2U;Gaming;  {'20': 0.9, '10': 0.1}
U7RzoIEoSMY;Gaming;  {'20': 0.9999}
AFrQ1_2bbsI;Gaming;  {'20': 0.9999}
X_eXSzyZudM;Gaming;  {'20': 0.9999}
q_9t1I3g6xg;Gaming;  {'20': 0.7, '10': 0.3}
q0jwDR4rbCM;Music;  {'10': 0.7999, '22': 0.2}
DJ_wEoW8Qcg;Gaming;  {'20': 0.5, '10': 0.4, '1': 0.1}
52bXJDoJeig;Gaming;  {'22': 0.3, '20': 0.7}
4tnPH1AxSxw;Gaming;  {'20': 0.9, '1': 0.1}
gds7tj0yYmg;Gaming;  {'20': 0.9, '22': 0.1}
oHg4oTMu5Yc;Gaming;  {'20': 0.9999}
KS0AwoEYHZU;Gaming;  {'20': 0.9999}
4WoMl-fEPtc;Gaming;  {'20': 0.9999}
V5HfJD4aKlA;Gaming;  {'20': 0.9999}
yzqq8I3JFz4;Gaming;  {'20': 0.9999}
0a4pxBpkJ8Q;Gaming;  {'20': 0.9999}
mfLRBS3RYW0;Gaming;  {'20': 0.9999}
E6qRbk5Cscw;Gaming;  {'20': 0.9999}
XuyPIGFstws;People & Blogs;  {'20': 0.7999, '22': 0.1, '1': 0.1}
shNyq0TfHBs;Gaming;  {'20': 0.9999}
Crlxv5EwkuE;Gaming;  {'20': 0.9, '22': 0.1}
