Id;Genre;Probabilities
ME92WaNDGVM;Gaming; {'20': 0.35, '10': 0.0125, '28': 0.0125}
GgOE64kgjjo;Gaming; {'20': 0.1111}
7u1tVD7UEqw;Gaming; {'20': 0.2499}
iZT6JEOC3D8;Gaming; {'20': 0.0156}
Y99Wj-NStok;Gaming; {'20': 0.0076, '22': 0.0004, '10': 0.0001}
7rIJNT7dCmE;Gaming; {'20': 0.009, '28': 0.0006, '1': 0.0001, '10': 0.0002}
SLgms78JVo0;Gaming; {'20': 0.0777, '10': 0.0333}
JCRKUuhGC1A;Gaming; {'20': 0.0277}
v4HnZ4-_HzI;Gaming; {'20': 0.9999}
52bXJDoJeig;Gaming; {'22': 0.3, '20': 0.7}
4tnPH1AxSxw;Gaming; {'20': 0.9, '1': 0.1}
1cAlXqHAqXw;Science & Technology; {'27': 0.0093, '20': 0.0093, '17': 0.0109, '1': 0.0093, '24': 0.0109, '28': 0.0046, '22': 0.0046, '23': 0.0031}
UuzUKT2Shn8;Gaming; {'20': 0.0038, '22': 0.0}
kDluReuJDOk;Gaming; {'20': 0.0201, '24': 0.0002}
KS0AwoEYHZU;Gaming; {'20': 0.9999}
yzqq8I3JFz4;Gaming; {'20': 0.9999}
0a4pxBpkJ8Q;Gaming; {'20': 0.9999}
mfLRBS3RYW0;Gaming; {'20': 0.9999}
i1AHCaokqhg;Gaming; {'20': 0.0562, '22': 0.0046, '1': 0.0015}
dNL8rdn00IU;Gaming; {'20': 0.0999, '1': 0.0111}
shNyq0TfHBs;Gaming; {'20': 0.9999}
Crlxv5EwkuE;Gaming; {'20': 0.9, '22': 0.1}
Ktr9dYUumAs;Gaming; {'20': 0.1111}
u0aRVjtjmB4;Gaming; {'20': 0.0624}
_XkKufyIiAY;Gaming; {'20': 0.0074, '27': 0.001, '22': 0.0015}
OW_SyxTuszQ;Gaming; {'20': 0.9999}
AS0CdFEZ98s;Gaming; {'20': 0.9999}
i6oUU6GN5C8;Gaming; {'20': 0.9999}
u4ThAzHxpHo;Gaming; {'20': 0.9, '24': 0.1}
HfGkxTi9ZEY;Gaming; {'20': 0.9, '10': 0.1}
IqqTl8L55-U;Music; {'10': 0.1, '20': 0.7999, '22': 0.1}
g3KGH1urH7Y;Gaming; {'20': 0.9, '24': 0.1}
hlRKje-OCYA;Gaming; {'20': 0.9, '24': 0.1}
oudZMniib08;Gaming; {'20': 0.0249, '19': 0.0027}
lWaCqqgmn0U;Gaming; {'20': 0.9, '22': 0.1}
bENhRluxwuM;Gaming; {'20': 0.9, '22': 0.1}
HD5EUpsZNCA;Gaming; {'20': 0.225, '24': 0.025}
V1RO2DUAQ2U;Gaming; {'20': 0.0391, '1': 0.0008}
FM4YBoUmK6s;Film & Animation; {'1': 0.1, '10': 0.5, '22': 0.2, '20': 0.1, '25': 0.1}
Uaiu949aSGU;Gaming; {'20': 0.9999}
U7RzoIEoSMY;Gaming; {'20': 0.0201, '22': 0.0002}
pXSwCC4Vwxg;Gaming; {'24': 0.1, '20': 0.5, '28': 0.1, '10': 0.2, '22': 0.1}
Ojbpe2ZXxss;Gaming; {'20': 0.7, '22': 0.1, '19': 0.1, '1': 0.1}
whxwrEDJEuQ;Gaming; {'20': 0.9999}
wO61D9x6lNY;Science & Technology; {'23': 0.1, '27': 0.3, '28': 0.4, '26': 0.1, '10': 0.1}
YcppnDs2Rz8;Gaming; {'20': 0.9999}
3QtK0MB_PDE;Gaming; {'20': 0.225, '22': 0.0125, '19': 0.0125}
vBdHFz9gTtM;Gaming; {'20': 0.7, '22': 0.3}
R_wscUcbynk;Gaming; {'20': 0.0201, '22': 0.0002}
mAh4IJysiLU;Gaming; {'20': 0.2499}
bt1DFNSNbRk;Gaming; {'20': 0.9999}
ywpmvj5o4hs;Gaming; {'20': 0.9, '23': 0.1}
D6cpa-TvKn8;Gaming; {'20': 0.0624}
R-0F5l5vUQA;Gaming; {'20': 0.0399}
6P0tY4uOz-g;Gaming; {'20': 0.9999}
Q7V0Xl5L6jc;Gaming; {'20': 0.9999}
WCU8v9VQ6Hc;Gaming; {'20': 0.9999}
Dxz-AzyI1tI;Gaming; {'20': 0.9999}
iOVyNobXTxw;Gaming; {'20': 0.0245, '22': 0.0032}
JWux0udX7X0;Gaming; {'20': 0.9999}
bzcdvNslKhc;Gaming; {'20': 0.2375, '22': 0.0125}
N3cX2EJG5lU;Gaming; {'20': 0.9999}
dmLSJrA0n9w;Gaming; {'1': 0.0259, '27': 0.0111, '20': 0.0444, '28': 0.0111, '17': 0.0185}
Nwq8OOuYmfI;Gaming; {'20': 0.9, '10': 0.1}
E6qRbk5Cscw;Gaming; {'20': 0.9999}
XuyPIGFstws;People & Blogs; {'20': 0.7999, '22': 0.1, '1': 0.1}
yEA5nz6oPbU;Gaming; {'20': 0.7999, '17': 0.1, '24': 0.1}
AFrQ1_2bbsI;Gaming; {'20': 0.1037, '23': 0.0074}
4WoMl-fEPtc;Gaming; {'20': 0.1111}
V5HfJD4aKlA;Gaming; {'20': 0.9999}
JXnK66cL0gE;Gaming; {'20': 0.9999}
xlQ0psr7Th4;Gaming; {'20': 0.2124, '28': 0.025, '27': 0.0125}
2_uRIyAgtpE;Gaming; {'20': 0.1111}
ACuk2TXoNhc;Gaming; {'20': 0.1111}
aVFq0H6D6_M;Gaming; {'20': 0.9, '24': 0.1}
EPrrFQSZFwk;Gaming; {'20': 0.0578, '22': 0.0046}
Rq5I5hZBKSE;Gaming; {'20': 0.2499}
FNWNdf4dgAE;Gaming; {'20': 0.2499}
y1mz5E8IAW0;Gaming; {'20': 0.9, '22': 0.1}
X_eXSzyZudM;Gaming; {'20': 0.9999}
7k-UaBIr1mI;Gaming; {'20': 0.2499}
h12LV3xRIpM;Gaming; {'20': 0.9999}
SUDi7Z4P7Xc;Gaming; {'20': 0.9999}
Xzee5huzhUs;Gaming; {'20': 0.9999}
q_9t1I3g6xg;Gaming; {'20': 0.7, '10': 0.3}
q0jwDR4rbCM;Music; {'10': 0.7999, '22': 0.2}
DJ_wEoW8Qcg;Gaming; {'20': 0.5, '10': 0.4, '1': 0.1}
Bgq3aiulecM;Gaming; {'20': 0.9, '19': 0.1}
wdRJWDKb5Bo;Gaming; {'20': 0.9, '19': 0.1}
SPi_d0zhNFc;Gaming; {'20': 0.9999}
QKsRNoLyXO8;Gaming; {'20': 0.1111}
YYFNYInT1mk;Gaming; {'20': 0.2499}
GmT7xR6_Cw0;Gaming; {'20': 0.9999}
VPJfga2XQrw;Gaming; {'20': 0.9999}
d5LHiV6awv4;Gaming; {'20': 0.9999}
95jyuyLMSH8;Gaming; {'20': 0.9999}
HFl7dJQbDiA;Gaming; {'20': 0.9999}
xRmbFCFEOKc;Gaming; {'20': 0.9999}
9lFkNHn8dYQ;Gaming; {'20': 0.9999}
oC_ZHFiueCc;Gaming; {'20': 0.9999}
KfV_Chbb7oY;Gaming; {'20': 0.9999}
