Source,Target,weight
-6DLT9MHO4M,EJMGihBTUJs,1
-6DLT9MHO4M,5RdOwUFNyR0,1
-6DLT9MHO4M,eU-AkeOyiOQ,1
-6DLT9MHO4M,XlhFMa4t28A,1
-6DLT9MHO4M,TZU3wfjtIJY,1
-6DLT9MHO4M,IiEmfXECD9k,1
EJMGihBTUJs,KYElgSiuhzE,1
EJMGihBTUJs,rIEZMB2FVzI,3
EJMGihBTUJs,YJQSuUZdcV4,1
EJMGihBTUJs,0T--WC4D1C0,1
EJMGihBTUJs,-6DLT9MHO4M,3
EJMGihBTUJs,RwGjXtj4bkQ,1
EJMGihBTUJs,ynbgMKclWWc,1
EJMGihBTUJs,IiEmfXECD9k,1
KYElgSiuhzE,q4zZ2ker1iI,2
KYElgSiuhzE,o3WurTUvCZA,1
KYElgSiuhzE,WW0JB-dxsgM,1
KYElgSiuhzE,pbp66UGcxhQ,1
KYElgSiuhzE,ebqMtFIyOsM,2
KYElgSiuhzE,-KEwkWjADEA,1
KYElgSiuhzE,6nnz0YRy6So,1
q4zZ2ker1iI,_jlXQ7aNEb8,1
q4zZ2ker1iI,Ucn2viZB5iY,1
q4zZ2ker1iI,fIEKfr9CaZA,1
q4zZ2ker1iI,fFFSKedy9f4,1
q4zZ2ker1iI,osUTMnDFV30,1
q4zZ2ker1iI,DTvS9lvRxZ8,1
fFFSKedy9f4,_wbS_todg9w,1
fFFSKedy9f4,q4zZ2ker1iI,1
fFFSKedy9f4,MnUfXYGtT5Q,1
_wbS_todg9w,I2EmHpYrHs4,1
_wbS_todg9w,fFFSKedy9f4,1
_wbS_todg9w,-US3LtdhKSQ,1
MnUfXYGtT5Q,q4zZ2ker1iI,1
MnUfXYGtT5Q,-5RCmu-HuTg,1
MnUfXYGtT5Q,VIANLddo-ec,1
osUTMnDFV30,sLqXFF8mlEU,1
osUTMnDFV30,SjJulcvTA7Y,1
osUTMnDFV30,52d0TmmQ5yI,1
sLqXFF8mlEU,1-KbvsSNZm8,1
sLqXFF8mlEU,dS8TuTRJZ2A,1
sLqXFF8mlEU,4fxdCOtPs-0,1
SjJulcvTA7Y,1MkrNVic7pw,1
SjJulcvTA7Y,u7JnoRy2vng,1
SjJulcvTA7Y,osUTMnDFV30,1
52d0TmmQ5yI,GTxb6KaJOSI,1
52d0TmmQ5yI,oTCal8LjYTk,1
52d0TmmQ5yI,_4TGb3MsSjE,1
DTvS9lvRxZ8,VrKW58MS12g,1
DTvS9lvRxZ8,vePc5V4h_kg,1
DTvS9lvRxZ8,wyBimQmMZMo,1
VrKW58MS12g,h4T_LlK1VE4,1
VrKW58MS12g,Bo3JAkjnLyk,1
VrKW58MS12g,T1KRQ3RcvXA,1
vePc5V4h_kg,VrKW58MS12g,1
vePc5V4h_kg,qhSrSeiUXkQ,1
vePc5V4h_kg,J-sMBdJyclo,1
wyBimQmMZMo,tqQyGLe68KM,1
wyBimQmMZMo,UqycqI89sAo,1
wyBimQmMZMo,hx0UmbytucA,1
o3WurTUvCZA,5AcwcdSVvVc,1
o3WurTUvCZA,XUXwaXB34PA,1
o3WurTUvCZA,QabAtYBnqro,1
5AcwcdSVvVc,W_aMJgOhuu8,1
5AcwcdSVvVc,Z-FwBFhufBA,1
5AcwcdSVvVc,ixFow0YEn7c,1
W_aMJgOhuu8,zEAQflv98uA,1
W_aMJgOhuu8,H7inaTiDKaU,1
W_aMJgOhuu8,77k75TDadtQ,2
W_aMJgOhuu8,p8nx62vBfrQ,1
W_aMJgOhuu8,QabAtYBnqro,1
H7inaTiDKaU,MXcddiS32s0,1
H7inaTiDKaU,9bamaEMftg4,1
H7inaTiDKaU,tU5mSkFitL8,1
Z-FwBFhufBA,DhLsh1a8a4c,1
Z-FwBFhufBA,cuA9hfR3jFo,1
Z-FwBFhufBA,HvoJGviRRXA,1
ixFow0YEn7c,BnoAFbvN6KQ,1
ixFow0YEn7c,FMfiSapDSE0,1
ixFow0YEn7c,5AcwcdSVvVc,1
XUXwaXB34PA,oxILDc2JeX0,1
XUXwaXB34PA,06zryY65Qac,1
XUXwaXB34PA,HlXNdtue1Lg,1
oxILDc2JeX0,kdB6RDwL2e8,1
oxILDc2JeX0,KOsgl5GPgjE,1
oxILDc2JeX0,Ba8A9rAlU8U,1
06zryY65Qac,qnvNDUpJ5sA,1
06zryY65Qac,tz_YdLf2BkU,1
06zryY65Qac,Ba8A9rAlU8U,1
HlXNdtue1Lg,b6RM3cOlBMA,1
HlXNdtue1Lg,POREmUXZWBs,1
HlXNdtue1Lg,0Vvip7DbE-4,1
QabAtYBnqro,_dGzZhbHeAo,1
QabAtYBnqro,W_aMJgOhuu8,1
QabAtYBnqro,uMlcnmS46SA,2
QabAtYBnqro,ih5qIjD0caM,1
QabAtYBnqro,HB-Ud24-Hs8,1
_dGzZhbHeAo,3VEzeLHbRoE,1
_dGzZhbHeAo,K-YUYX33VsM,1
_dGzZhbHeAo,Ro86-LOuzI8,1
uMlcnmS46SA,CemT3WzxmKI,1
uMlcnmS46SA,COTxChxsRWs,1
uMlcnmS46SA,ylq8UGfLa0s,1
WW0JB-dxsgM,RwGjXtj4bkQ,1
WW0JB-dxsgM,gVx57ilss2Q,1
WW0JB-dxsgM,63wCfqSQp8c,1
RwGjXtj4bkQ,M2K3ypt3VFc,1
RwGjXtj4bkQ,gVx57ilss2Q,1
RwGjXtj4bkQ,rcKGjULLHgs,1
M2K3ypt3VFc,4THv2qQjLhc,1
M2K3ypt3VFc,yePIn0zwGCc,1
M2K3ypt3VFc,79ExQWKb2vA,1
