Id;Genre;Probabilities
-6DLT9MHO4M;Education; {'29': 0.2, '27': 0.75, '24': 0.1, '25': 0.8500000000000001, '22': 0.05, '28': 0.05}
EJMGihBTUJs;News & Politics; {'27': 0.19999999999999998, '25': 0.6285714285714284, '24': 0.07142857142857142, '29': 0.12857142857142856, '28': 0.05714285714285715, '22': 0.05714285714285715}
KYElgSiuhzE;News & Politics; {'25': 0.7999999999999998, '17': 0.06666666666666667, '22': 0.03333333333333333, '28': 0.03333333333333333, '27': 0.06666666666666667}
q4zZ2ker1iI;News & Politics; {'22': 0.12000000000000002, '27': 0.64, '25': 0.12000000000000002, '28': 0.08, '29': 0.04}
fFFSKedy9f4;Education; {'27': 0.5, '25': 0.30000000000000004, '22': 0.1, '24': 0.05, '28': 0.05}
_wbS_todg9w;Entertainment; {'24': 0.6, '23': 0.1, '27': 0.2, '22': 0.1}
I2EmHpYrHs4;Entertainment; {'24': 0.9999999999999999}
-US3LtdhKSQ;Entertainment; {'24': 0.5, '27': 0.1, '23': 0.30000000000000004, '1': 0.1}
_jlXQ7aNEb8;Education; {'27': 0.7999999999999999, '22': 0.1, '24': 0.1}
Ucn2viZB5iY;News & Politics; {'25': 0.5, '28': 0.2, '27': 0.1, '22': 0.1, '26': 0.1}
fIEKfr9CaZA;Education; {'27': 0.7999999999999999, '26': 0.1, '25': 0.1}
MnUfXYGtT5Q;Education; {'26': 0.1, '25': 0.15000000000000002, '27': 0.6, '22': 0.1, '28': 0.05}
-5RCmu-HuTg;Howto & Style; {'27': 0.7999999999999999, '25': 0.2}
VIANLddo-ec;Education; {'25': 0.1, '27': 0.7, '26': 0.1, '22': 0.1}
osUTMnDFV30;Science & Technology; {'28': 0.6, '27': 0.35000000000000003, '2': 0.05}
sLqXFF8mlEU;Education; {'27': 0.4, '20': 0.1, '28': 0.30000000000000004, '17': 0.1, '26': 0.1}
1-KbvsSNZm8;Sports; {'17': 0.5, '1': 0.1, '27': 0.1, '2': 0.1, '22': 0.1, '28': 0.1}
dS8TuTRJZ2A;Education; {'27': 0.30000000000000004, '20': 0.6, '28': 0.1}
4fxdCOtPs-0;Gaming; {'20': 0.9999999999999999}
SjJulcvTA7Y;Science & Technology; {'28': 0.8999999999999999, '2': 0.1}
1MkrNVic7pw;Science & Technology; {'28': 0.7999999999999999, '17': 0.1, '24': 0.1}
u7JnoRy2vng;Science & Technology; {'28': 0.7999999999999999, '27': 0.1, '24': 0.1}
52d0TmmQ5yI;Science & Technology; {'28': 0.6, '2': 0.30000000000000004, '26': 0.1}
