Id;Genre;Probabilities
2HFSaxIsJCE;Pets & Animals; {'15': 0.9937500000000001, '24': 0.0375, '22': 0.08125, '27': 0.0375, '23': 0.0125, '1': 0.00625, '2': 0.00625, '17': 0.00625, '26': 0.00625}
qjYWsqEh_r8;Pets & Animals; {'24': 0.06923076923076923, '17': 0.007692307692307693, '22': 0.5307692307692308, '15': 0.4923076923076923, '1': 0.015384615384615385, '26': 0.015384615384615385, '20': 0.007692307692307693, '27': 0.007692307692307693, '25': 0.007692307692307693}
0F9V8SixMbA;Pets & Animals; {'15': 0.7999999999999999, '22': 0.2}
ZyJKE3j7op8;Pets & Animals; {'15': 0.6666666666666666, '23': 0.06666666666666667, '24': 0.06666666666666667, '1': 0.03333333333333333, '22': 0.06666666666666667, '10': 0.06666666666666667, '28': 0.03333333333333333}
ZWuJCvID9-o;Film & Animation; {'27': 0.5, '20': 0.2, '28': 0.1, '15': 0.1, '26': 0.1}
nFrYZ3y3z9k;Gaming; {'27': 0.5, '26': 0.1, '20': 0.30000000000000004, '1': 0.1}
OPWtTw4tFBY;Howto & Style; {'1': 0.2, '27': 0.4, '26': 0.4}
yl_er-KCQU0;Gaming; {'20': 0.5, '27': 0.5}
ikg_yghD5Z4;Gaming; {'20': 0.7999999999999999, '1': 0.1, '27': 0.1}
s5uFTvtHVbQ;Education; {'28': 0.5, '1': 0.1, '22': 0.2, '27': 0.2}
8APKcZ-OPpI;Science & Technology; {'27': 0.2, '28': 0.7, '22': 0.1}
wEnh7u6lbaY;Education; {'27': 0.7, '28': 0.1, '24': 0.1, '1': 0.1}
KZMLDHHK3_Y;Education; {'28': 0.4, '15': 0.1, '24': 0.1, '22': 0.30000000000000004, '2': 0.1}
lOzSiOIipSM;Education; {'27': 0.6, '24': 0.1, '28': 0.1, '22': 0.1, '26': 0.1}
pZuPbRIBwrE;Education; {'27': 0.4, '28': 0.2, '26': 0.2, '10': 0.1, '22': 0.1}
Yce2ZvGeanY;Education; {'26': 0.30000000000000004, '27': 0.7}
bA6pj9la_kQ;Entertainment; {'27': 0.30000000000000004, '28': 0.2, '10': 0.2, '24': 0.2, '26': 0.1}
zKVy6dRcSDY;Comedy; {'28': 0.0125, '15': 0.3375, '22': 0.3875, '23': 0.1875, '24': 0.05, '2': 0.025}
pc8-8KfIW5c;People & Blogs; {'15': 0.1733333333333334, '24': 0.22666666666666674, '22': 0.6866666666666666, '2': 0.006666666666666667, '23': 0.02666666666666667, '27': 0.013333333333333334}
Sa0d53MHgPc;Entertainment; {'24': 0.8999999999999999, '1': 0.1}
k9t1aQa_2Bw;Entertainment; {'24': 1.3499999999999999, '22': 0.05, '2': 0.05, '15': 0.05}
BxJuzJ9H2fI;People & Blogs; {'15': 0.5, '22': 0.45, '24': 0.05}
ozllTiMbtyk;Comedy; {'15': 0.4, '28': 0.1, '22': 0.30000000000000004, '23': 0.1, '24': 0.1}
bwDQzTTbsd8;People & Blogs; {'15': 0.35000000000000003, '2': 0.025, '23': 0.025, '22': 0.42500000000000004, '24': 0.1, '27': 0.05, '17': 0.025}
WnfAeqNoB5w;Pets & Animals; {'10': 0.018181818181818184, '15': 0.890909090909091, '22': 0.0909090909090909, '1': 0.009090909090909092, '24': 0.018181818181818184, '23': 0.06363636363636363}
E2XCepwaYDc;Pets & Animals; {'15': 0.8166666666666665, '20': 0.09999999999999999, '22': 0.2166666666666667, '28': 0.008333333333333333, '24': 0.016666666666666666, '26': 0.008333333333333333}
u-2GJxXVyJc;Pets & Animals; {'15': 0.825, '23': 0.125, '22': 0.30000000000000004}
eYY5l5yTDhQ;Pets & Animals; {'15': 0.6684210526315788, '24': 0.15263157894736845, '27': 0.021052631578947368, '22': 0.3631578947368421, '1': 0.005263157894736842}
nkzqvxqZ3HI;Pets & Animals; {'22': 0.30000000000000004, '15': 0.6, '23': 0.05, '24': 0.05}
