Source,Target,weight
9C_HReR_McQ,9Ux2ZxSXePs,1
9C_HReR_McQ,ehin5H3gheo,1
9C_HReR_McQ,zGGA74Ie0aQ,1
9Ux2ZxSXePs,dop4MTlf_zc,1
9Ux2ZxSXePs,G9FGgwCQ22w,1
9Ux2ZxSXePs,40R49TvD_FM,1
9Ux2ZxSXePs,fCu3XMT2ncU,2
9Ux2ZxSXePs,VAa4aI5wKLo,1
9Ux2ZxSXePs,-VImXbxLlWo,2
9Ux2ZxSXePs,3cRoSQYjp0w,1
dop4MTlf_zc,U3XxZ7d4lLE,1
dop4MTlf_zc,nv99gj1xxWw,1
dop4MTlf_zc,x7SQaDTSrVg,1
U3XxZ7d4lLE,jEfDqfMYEoA,1
U3XxZ7d4lLE,SNQ9yX9YjFc,1
U3XxZ7d4lLE,YZSgK9vrYdA,1
jEfDqfMYEoA,rPZ7IsayFXY,1
jEfDqfMYEoA,lB8-mjgprzM,1
jEfDqfMYEoA,RyHo15EyGcE,1
SNQ9yX9YjFc,gno_P6RCTjg,1
SNQ9yX9YjFc,w79L-OzhYu0,1
SNQ9yX9YjFc,iB7dJWZq2So,1
YZSgK9vrYdA,ZEQ-zlni4hc,1
YZSgK9vrYdA,hcfTbYEgFas,1
YZSgK9vrYdA,zFYFMuxpPlM,1
nv99gj1xxWw,AAk1Dqk8iJM,1
nv99gj1xxWw,xc8e0ASIZyQ,1
nv99gj1xxWw,lOG_UtLxh58,1
AAk1Dqk8iJM,7yKjkCFQM0g,1
AAk1Dqk8iJM,xUu7cY1tg0c,1
AAk1Dqk8iJM,sLbhLsbZ7kw,1
xc8e0ASIZyQ,r8-jDt0opDQ,1
xc8e0ASIZyQ,XgZFUaY_kq0,1
xc8e0ASIZyQ,6byUUq2UplM,1
lOG_UtLxh58,dop4MTlf_zc,1
lOG_UtLxh58,YZSgK9vrYdA,1
lOG_UtLxh58,0p8LESE9Vns,1
x7SQaDTSrVg,mPZkdNFkNps,1
x7SQaDTSrVg,c1XOgrBz6sU,1
x7SQaDTSrVg,pD2YLmkcXrE,1
mPZkdNFkNps,b_U3i7cbCxM,1
mPZkdNFkNps,lenbvHiQ5s4,1
mPZkdNFkNps,zCpjiujt3_8,1
c1XOgrBz6sU,P3Wg0QKsb-M,1
c1XOgrBz6sU,7JyE47-Ykjo,1
c1XOgrBz6sU,AMNyQds2ABQ,1
pD2YLmkcXrE,hwsEjtlr9yw,1
pD2YLmkcXrE,QHYYm3LTZOQ,1
pD2YLmkcXrE,q0n-7XWYxhs,1
VAa4aI5wKLo,xVaToJSLA2Y,1
VAa4aI5wKLo,9Ux2ZxSXePs,1
VAa4aI5wKLo,-dGkkMdIwOc,1
xVaToJSLA2Y,JcpboMScfIY,1
xVaToJSLA2Y,afCRuGS5zJo,1
xVaToJSLA2Y,q1CrYYF58RA,1
JcpboMScfIY,NU4MgeOb-cc,1
JcpboMScfIY,NGbuZ-65Qz8,1
JcpboMScfIY,mTn_rmpDCV8,1
afCRuGS5zJo,XqrhWGLUkZ4,1
afCRuGS5zJo,c-2Tjm2M2cg,1
afCRuGS5zJo,54avjfIu1OI,1
q1CrYYF58RA,ARoP4GNgKVg,1
q1CrYYF58RA,WHMfxoTQ96Y,1
q1CrYYF58RA,m-_GFcWr0lI,1
G9FGgwCQ22w,vtkGtXtDlQA,3
G9FGgwCQ22w,9Ux2ZxSXePs,1
G9FGgwCQ22w,TnQ_VkHj7jU,1
G9FGgwCQ22w,VAa4aI5wKLo,1
G9FGgwCQ22w,sXOdn6vLCuU,1
G9FGgwCQ22w,dbL-NSkXnl8,1
G9FGgwCQ22w,w45Vc3uv1Yk,1
40R49TvD_FM,VEe_yIbW64w,1
40R49TvD_FM,INKv3X2qlGI,1
40R49TvD_FM,K3Qzzggn--s,1
fCu3XMT2ncU,cvgzy-PiAIk,1
fCu3XMT2ncU,fOzvI3x8eko,1
fCu3XMT2ncU,9Ux2ZxSXePs,2
fCu3XMT2ncU,h2Vr9Hx12Zk,1
fCu3XMT2ncU,G9FGgwCQ22w,1
-dGkkMdIwOc,eZXf3p1S5Tk,1
-dGkkMdIwOc,HzzCmQin7Mk,1
-dGkkMdIwOc,kHTcoPoAnys,1
eZXf3p1S5Tk,TiYEKDQZ5sk,1
eZXf3p1S5Tk,gaFdVG503rw,1
eZXf3p1S5Tk,7Ri8PK0oaQE,1
HzzCmQin7Mk,kHTcoPoAnys,1
HzzCmQin7Mk,TQtf15j7Mug,1
HzzCmQin7Mk,5jh9JSzNbOA,1
kHTcoPoAnys,CqdE2EKhJG4,1
kHTcoPoAnys,6WV-Y8CeluQ,1
kHTcoPoAnys,HzzCmQin7Mk,1
-VImXbxLlWo,fCu3XMT2ncU,1
-VImXbxLlWo,n9wOS-EvGaw,1
-VImXbxLlWo,UTlGQDF4aTQ,1
h2Vr9Hx12Zk,Edaj8u_44n4,1
h2Vr9Hx12Zk,6BOLT6I1nYU,1
h2Vr9Hx12Zk,DTbfw8_SMmI,1
n9wOS-EvGaw,MIDRPnUumaM,1
n9wOS-EvGaw,XYZolVGULg8,1
n9wOS-EvGaw,rmcnhYW-ImE,1
MIDRPnUumaM,ScF3tf2DgTM,1
MIDRPnUumaM,_SJn60t6bfI,1
MIDRPnUumaM,ILGED2zO8fw,1
XYZolVGULg8,VD2g6KD1cmg,1
XYZolVGULg8,HdVRyOX6S4A,1
XYZolVGULg8,_7X6Yeydgyg,1
rmcnhYW-ImE,giVk_2aqzLY,1
rmcnhYW-ImE,biwGYg7GwmA,1
rmcnhYW-ImE,lVJSMjWx8uA,1
UTlGQDF4aTQ,G9FGgwCQ22w,1
UTlGQDF4aTQ,w45Vc3uv1Yk,1
UTlGQDF4aTQ,cPDN9CwhhAM,1
w45Vc3uv1Yk,fCu3XMT2ncU,1
w45Vc3uv1Yk,n9wOS-EvGaw,1
w45Vc3uv1Yk,VAa4aI5wKLo,1
cPDN9CwhhAM,y08pbpn98rs,1
cPDN9CwhhAM,Kf2-86o5S1o,1
cPDN9CwhhAM,pe3KSYqPIgo,1
