Id;Genre;Probabilities
5xs2BSGe8Wg;News & Politics; {'2': 0.1, '25': 0.7, '28': 0.1, '22': 0.1}
WUupTMljhyA;News & Politics; {'25': 0.75, '26': 0.07500000000000001, '27': 0.1, '17': 0.025, '29': 0.05}
h5xqP-aPwOU;Education; {'27': 0.6399999999999999, '25': 0.16, '17': 0.16, '22': 0.02, '28': 0.02}
apuygXKOnpI;Education; {'25': 0.2, '24': 0.1, '27': 0.5, '28': 0.1, '22': 0.1}
yZYQpge1W5s;Entertainment; {'25': 0.1, '27': 0.6, '26': 0.1, '24': 0.1, '22': 0.1}
SsoVhKo4UvQ;Education; {'27': 0.7999999999999999, '1': 0.1, '24': 0.1}
2AMu-G51yTY;Film & Animation; {'27': 0.7, '25': 0.1, '22': 0.1, '24': 0.1}
MnUfXYGtT5Q;Education; {'27': 0.7, '25': 0.1, '22': 0.2}
IUWpr0gR81A;Entertainment; {'27': 0.7, '22': 0.1, '10': 0.1, '1': 0.1}
wTdRiedQJPI;People & Blogs; {'17': 0.30000000000000004, '22': 0.5, '24': 0.2}
kabsFD3X4Gs;Sports; {'17': 0.7999999999999999, '22': 0.1, '24': 0.1}
XDd7z6RG_ko;People & Blogs; {'22': 0.4, '17': 0.5, '24': 0.1}
4OlWr8LoUXQ;Entertainment; {'25': 0.26666666666666666, '28': 0.20000000000000004, '27': 0.20000000000000004, '24': 0.2333333333333333, '26': 0.03333333333333333, '22': 0.06666666666666667}
hKUffHXOb8U;Education; {'27': 0.4, '23': 0.1, '22': 0.2, '25': 0.2, '26': 0.1}
cUzklzVXJwo;Education; {'28': 0.36666666666666675, '27': 0.6499999999999998, '26': 0.041666666666666664, '22': 0.008333333333333333, '24': 0.008333333333333333, '2': 0.008333333333333333}
syP-OtdCIho;People & Blogs; {'25': 0.30000000000000004, '27': 0.5, '24': 0.1, '26': 0.1}
-5RCmu-HuTg;Howto & Style; {'27': 0.5, '22': 0.2, '25': 0.30000000000000004}
TXnHT1aRD7k;Education; {'27': 0.8999999999999999, '28': 0.025, '25': 0.05, '22': 0.025}
khLlpu-qJuM;Education; {'27': 0.6333333333333333, '25': 0.10000000000000002, '26': 0.13333333333333333, '24': 0.10000000000000002, '1': 0.03333333333333333}
gmEc7_jV3j0;News & Politics; {'27': 0.9999999999999999}
E8Bq4DbMaRU;Howto & Style; {'26': 0.4, '22': 0.2, '28': 0.1, '19': 0.1, '24': 0.2}
wgUkjbMhF18;Entertainment; {'19': 0.30000000000000004, '22': 0.2, '26': 0.2, '2': 0.1, '1': 0.1, '27': 0.1}
mD-ioJM8v64;Education; {'27': 0.7, '28': 0.1, '22': 0.1, '25': 0.1}
xvzz1IxUaNg;People & Blogs; {'22': 0.7, '24': 0.1, '29': 0.1, '28': 0.1}
Zdv06jXloD4;Education; {'27': 0.8999999999999999, '25': 0.1}
UGgvgKE0n8o;Education; {'27': 0.7, '25': 0.2, '29': 0.1}
79ExQWKb2vA;Education; {'27': 0.5, '25': 0.2, '1': 0.1, '22': 0.1, '28': 0.1}
mJ0bVUPd6Mc;Education; {'27': 0.5, '24': 0.1, '1': 0.1, '17': 0.1, '28': 0.1, '22': 0.1}
9bamaEMftg4;Education; {'27': 0.9749999999999999, '22': 0.025}
zTtzGhYd0Po;Education; {'27': 0.7999999999999999, '17': 0.1, '25': 0.1}
u4taz6dfPQc;Sports; {'22': 0.6, '27': 0.4}
AGELqqSx_TU;Education; {'27': 0.6, '22': 0.2, '24': 0.1, '26': 0.1}
N1F-vckyQfY;Sports; {'17': 0.7999999999999999, '1': 0.05, '24': 0.1, '20': 0.05}
Jozh3R2YLXA;Sports; {'17': 0.7, '28': 0.1, '22': 0.1, '24': 0.1}
MiJR7VKTHc4;Sports; {'17': 0.9999999999999999}
CTLKe2KhWPc;Entertainment; {'17': 0.6, '24': 0.30000000000000004, '27': 0.1}
nGXNnONA_WU;Education; {'25': 0.25, '27': 0.55, '2': 0.05, '28': 0.05, '22': 0.1}
5U2UoR-oB1M;News & Politics; {'25': 0.75, '28': 0.05, '27': 0.05, '23': 0.05, '19': 0.05, '17': 0.05}
xMiug2sZ4Io;Education; {'27': 0.46666666666666673, '1': 0.16666666666666666, '24': 0.10000000000000002, '23': 0.10000000000000002, '25': 0.13333333333333333, '22': 0.03333333333333333}
VoGJ-Ni7D-g;Education; {'27': 0.8999999999999999, '1': 0.1}
63wCfqSQp8c;Science & Technology; {'26': 0.09, '28': 0.45999999999999996, '22': 0.15000000000000002, '27': 0.07999999999999999, '2': 0.21000000000000002, '1': 0.01}
mspqm8E9nGc;Science & Technology; {'28': 0.6, '2': 0.4}
yjtWWCKF4rY;Autos & Vehicles; {'28': 0.2, '2': 0.7999999999999999}
1VkcKo1cotg;Autos & Vehicles; {'27': 0.2, '1': 0.1, '2': 0.6, '22': 0.1}
FRie5t9GHLw;Autos & Vehicles; {'2': 0.7999999999999999, '22': 0.1, '28': 0.1}
kdQ2Ig1GVOw;Autos & Vehicles; {'2': 0.7, '28': 0.2, '27': 0.1}
RxiCx_PQylU;Autos & Vehicles; {'2': 0.8999999999999999, '28': 0.1}
WHIG-3xLFIg;Autos & Vehicles; {'2': 0.8999999999999999, '28': 0.1}
lunINRmLm4I;Science & Technology; {'28': 0.4, '2': 0.6}
f76u51Mc-Qo;Autos & Vehicles; {'2': 0.7999999999999999, '24': 0.1, '28': 0.1}
C4nS_tSQiVQ;Science & Technology; {'2': 0.65, '28': 0.47500000000000003, '27': 0.175, '22': 0.2}
vYQJatWpBXY;Education; {'27': 0.5, '2': 0.25, '28': 0.2, '22': 0.05}
3jyZKoifTRo;Autos & Vehicles; {'22': 0.15000000000000002, '2': 0.45, '28': 0.30000000000000004, '15': 0.05, '1': 0.05}
3kJqK5aIDlA;Autos & Vehicles; {'2': 0.8500000000000001, '22': 0.2, '28': 0.15000000000000002, '1': 0.15000000000000002, '25': 0.05, '26': 0.1}
AWkFrWvmbbk;Autos & Vehicles; {'1': 0.1, '2': 0.7999999999999999, '28': 0.1}
aKIaFUO8HPo;Autos & Vehicles; {'2': 0.5, '28': 0.25, '22': 0.25}
VDSQMvANp3w;Autos & Vehicles; {'2': 0.5, '25': 0.1, '1': 0.1, '28': 0.2, '22': 0.1}
utDVUNUC474;Education; {'27': 0.8999999999999999, '28': 0.1}
9komTDz8TdM;Autos & Vehicles; {'2': 0.9999999999999999}
5lg6yC5_-Bs;Education; {'27': 0.8999999999999999, '2': 0.1}
eg4X9U4FcDI;News & Politics; {'25': 0.6999999999999998, '28': 0.03333333333333333, '24': 0.10000000000000002, '27': 0.06666666666666667, '26': 0.10000000000000002}
u6D0PjOU3wk;Film & Animation; {'28': 0.2, '27': 0.1, '1': 0.1, '2': 0.30000000000000004, '22': 0.30000000000000004}
Gnw0VGnlRBo;People & Blogs; {'2': 0.2, '28': 0.30000000000000004, '27': 0.2, '22': 0.30000000000000004}
kHL-PPop5NQ;People & Blogs; {'28': 0.30000000000000004, '22': 0.30000000000000004, '2': 0.4}
P6srdwaOtec;People & Blogs; {'22': 0.7, '28': 0.1, '1': 0.1, '25': 0.1}
hXW7nwNUPrg;Science & Technology; {'25': 0.05, '2': 0.35, '28': 0.4, '22': 0.15000000000000002, '1': 0.05}
07jcjpyYEAI;Science & Technology; {'27': 0.4, '28': 0.30000000000000004, '2': 0.1, '1': 0.1, '22': 0.1}
DOBBwx3Cbbk;Science & Technology; {'28': 0.5, '27': 0.2, '1': 0.1, '22': 0.1, '2': 0.1}
1vvq2KaAB6o;Science & Technology; {'24': 0.1, '28': 0.30000000000000004, '2': 0.4, '27': 0.2}
ZRyo0Nr7CrY;People & Blogs; {'28': 0.4, '2': 0.1, '24': 0.2, '22': 0.2, '27': 0.1}
QgQPRs8-3sw;People & Blogs; {'28': 0.6, '2': 0.1, '22': 0.1, '27': 0.2}
mi5ukytnOrM;Science & Technology; {'27': 0.2, '2': 0.4, '22': 0.1, '28': 0.2, '1': 0.1}
G01xv1RyRVw;Science & Technology; {'28': 0.30000000000000004, '27': 0.1, '2': 0.5, '1': 0.1}
e0zAJfbP3gg;Education; {'27': 0.5, '22': 0.13333333333333333, '25': 0.3, '23': 0.03333333333333333, '24': 0.03333333333333333}
ZSu4rCizyUM;News & Politics; {'22': 0.2, '25': 0.30000000000000004, '27': 0.2, '28': 0.1, '24': 0.1, '26': 0.1}
14XESFFx46M;Science & Technology; {'28': 0.4, '1': 0.1, '2': 0.30000000000000004, '27': 0.1, '22': 0.1}
S-eND8-AZFI;Science & Technology; {'28': 0.6, '24': 0.1, '22': 0.1, '27': 0.2}
P2AUat93a8Q;People & Blogs; {'24': 0.2, '27': 0.35000000000000003, '29': 0.15000000000000002, '22': 0.15000000000000002, '26': 0.1, '28': 0.05}
QFwWvr1YUjA;Education; {'29': 0.2, '22': 0.2, '27': 0.2, '24': 0.1, '25': 0.2, '28': 0.1}
RmiKAoAmYSg;Entertainment; {'24': 0.30000000000000004, '26': 0.1, '27': 0.30000000000000004, '22': 0.1, '29': 0.1, '1': 0.1}
k0GQSJrpVhM;People & Blogs; {'28': 0.1, '24': 0.1, '22': 0.2, '27': 0.30000000000000004, '29': 0.2, '26': 0.1}
gWbaUfFfhlY;Education; {'27': 0.30000000000000004, '28': 0.30000000000000004, '25': 0.2, '22': 0.2}
y5vdybjMMrk;Education; {'27': 0.6, '24': 0.30000000000000004, '22': 0.1}
Qqc0t8ghvis;Science & Technology; {'29': 0.1, '25': 0.2, '28': 0.4, '27': 0.30000000000000004}
