Source,Target,weight
63wCfqSQp8c,s7mkRjkeCXk,2
63wCfqSQp8c,Sbsqqtpu-_M,1
63wCfqSQp8c,UvzRfUGAB_s,1
63wCfqSQp8c,U5LKU6bWScc,1
63wCfqSQp8c,14XESFFx46M,1
63wCfqSQp8c,sftp-GPp62Y,1
63wCfqSQp8c,VDSQMvANp3w,1
63wCfqSQp8c,jclSYJb8oa0,1
sftp-GPp62Y,C9TL-ACgvdY,1
sftp-GPp62Y,BUhAKO6Tudg,1
sftp-GPp62Y,UvzRfUGAB_s,1
C9TL-ACgvdY,bdY6n0Qg5Pw,1
C9TL-ACgvdY,a8dE3MCQZm8,1
C9TL-ACgvdY,fdSqibMhBwg,1
C9TL-ACgvdY,UDjgSSO98VI,1
C9TL-ACgvdY,DOBBwx3Cbbk,2
C9TL-ACgvdY,ucdNG6QgECE,1
C9TL-ACgvdY,Gnw0VGnlRBo,1
C9TL-ACgvdY,w5Qu_4xHObo,1
bdY6n0Qg5Pw,YJwx0fVFfQA,1
bdY6n0Qg5Pw,n9R-qDcoKI4,1
bdY6n0Qg5Pw,v0KeUZi3oh0,2
bdY6n0Qg5Pw,UhJae9JKqmQ,1
bdY6n0Qg5Pw,dv2tymkLJns,1
bdY6n0Qg5Pw,kgW8sLbVqzE,1
bdY6n0Qg5Pw,lI2_eyIq4fo,1
bdY6n0Qg5Pw,z1tHCHichzI,2
bdY6n0Qg5Pw,MBLcUFmBkCc,1
bdY6n0Qg5Pw,CO8ZAZGLpfY,1
YJwx0fVFfQA,h8iiVgFW2qk,1
YJwx0fVFfQA,nv505702ZGo,1
YJwx0fVFfQA,bHZRoghtpZg,1
h8iiVgFW2qk,SkNVdEDC5S8,2
h8iiVgFW2qk,w5Qu_4xHObo,2
h8iiVgFW2qk,-KEwkWjADEA,1
h8iiVgFW2qk,lgZBlD-TCFE,1
SkNVdEDC5S8,dSvzUlVL-CQ,1
SkNVdEDC5S8,n9R-qDcoKI4,1
SkNVdEDC5S8,RMo9pwp6Pa4,1
w5Qu_4xHObo,IZEaYjo4ZJU,1
w5Qu_4xHObo,XgItFZaJnBM,1
w5Qu_4xHObo,R9zCNdY809o,1
w5Qu_4xHObo,I9D4ifGzndY,2
w5Qu_4xHObo,IhgQxCVlaYQ,2
w5Qu_4xHObo,V59tgbrDkDE,1
w5Qu_4xHObo,QariFZ-EjSk,1
w5Qu_4xHObo,0G1b4gOsrRE,2
w5Qu_4xHObo,tLcnJEMnlTs,2
w5Qu_4xHObo,bHZRoghtpZg,1
w5Qu_4xHObo,1WVCdg3e0Eg,1
w5Qu_4xHObo,h8iiVgFW2qk,1
w5Qu_4xHObo,bdY6n0Qg5Pw,1
w5Qu_4xHObo,uMlcnmS46SA,1
-KEwkWjADEA,tG8gRoaCczQ,1
-KEwkWjADEA,TOko1mG2DGI,1
-KEwkWjADEA,JxGP9cYbwdk,2
-KEwkWjADEA,5L-D4F7gnQM,1
-KEwkWjADEA,Xvuf-gjFKY4,1
-KEwkWjADEA,m8751tkBU_Q,1
-KEwkWjADEA,hsuCQRQ6W4Y,1
-KEwkWjADEA,ozyS4Ryvzmk,1
-KEwkWjADEA,EoBPayAyCu0,1
-KEwkWjADEA,LJ4W1g-6JiY,1
-KEwkWjADEA,tu8DYG9UYTY,1
nv505702ZGo,tJMZwbrQkJg,1
nv505702ZGo,dv2tymkLJns,1
nv505702ZGo,snqBKk4Rpjw,1
dv2tymkLJns,BkDk_a_TS60,1
dv2tymkLJns,oZFdx0zoW2Y,1
dv2tymkLJns,bPzRcG9e2a4,1
bHZRoghtpZg,dv2tymkLJns,1
bHZRoghtpZg,a15475RrAfY,1
bHZRoghtpZg,-pz6AXt41vo,1
bHZRoghtpZg,w5Qu_4xHObo,1
bHZRoghtpZg,Pm-AO3CdpKs,1
bHZRoghtpZg,b9b36haJGi0,1
n9R-qDcoKI4,Gk88KXFLzTw,1
n9R-qDcoKI4,Sf6H8kSunRA,1
n9R-qDcoKI4,xX51HUPIEno,1
n9R-qDcoKI4,DWqTkJBiV5s,1
n9R-qDcoKI4,UBmcCRno35A,1
n9R-qDcoKI4,-KEwkWjADEA,1
Gk88KXFLzTw,A1uYhkMRLWg,1
Gk88KXFLzTw,ePt3Kj1OIfk,1
Gk88KXFLzTw,KS1HdnKG0YY,1
Sf6H8kSunRA,7OpM_zKGE4o,1
Sf6H8kSunRA,lapFQl6RezA,1
Sf6H8kSunRA,59A8-rKRs-0,1
xX51HUPIEno,tn6-6U-XN7M,1
xX51HUPIEno,z1tHCHichzI,1
xX51HUPIEno,n9R-qDcoKI4,1
z1tHCHichzI,XCb17q2xxwQ,1
z1tHCHichzI,wJ_NAyszU00,1
z1tHCHichzI,bdY6n0Qg5Pw,2
z1tHCHichzI,1VkcKo1cotg,1
z1tHCHichzI,k3sMND1j_Xo,1
z1tHCHichzI,FRie5t9GHLw,1
z1tHCHichzI,loUsRGW9z-I,1
z1tHCHichzI,fEcpNcQomFs,2
z1tHCHichzI,w5Qu_4xHObo,1
z1tHCHichzI,rq48Yu0EWQk,1
v0KeUZi3oh0,aAk8oE5-_V4,1
v0KeUZi3oh0,SkNVdEDC5S8,1
v0KeUZi3oh0,94ZQrr3dlM8,1
aAk8oE5-_V4,4ExCyU_wIcI,1
aAk8oE5-_V4,XgItFZaJnBM,3
aAk8oE5-_V4,cegPfXAsLn8,1
aAk8oE5-_V4,4bPsdX9rnvk,1
aAk8oE5-_V4,seVyLzgp4Ow,3
aAk8oE5-_V4,wrb703xBwhg,1
aAk8oE5-_V4,tG8gRoaCczQ,1
aAk8oE5-_V4,7TTOKG-Y3aM,1
aAk8oE5-_V4,08CXI3L72wM,1
aAk8oE5-_V4,Ebk_vPIUbR8,2
aAk8oE5-_V4,XCb17q2xxwQ,1
aAk8oE5-_V4,z1tHCHichzI,1
aAk8oE5-_V4,Fq8D6yMHUaE,1
XgItFZaJnBM,n9R-qDcoKI4,1
XgItFZaJnBM,bdY6n0Qg5Pw,1
XgItFZaJnBM,CO8ZAZGLpfY,1
dSvzUlVL-CQ,fQltP8iiE1Q,1
dSvzUlVL-CQ,fEcpNcQomFs,1
dSvzUlVL-CQ,gIuxq2LHQLU,1
94ZQrr3dlM8,jKLS-QYaawM,1
94ZQrr3dlM8,dwprZSR_gR8,1
94ZQrr3dlM8,d7bn_H4XtSA,1
dwprZSR_gR8,Ui9qjDgVXco,1
dwprZSR_gR8,68n4RjGhvRw,1
dwprZSR_gR8,0nXQHjEPfnQ,1
DOBBwx3Cbbk,u2coZWGhmOw,1
DOBBwx3Cbbk,KwW-U816KNE,1
DOBBwx3Cbbk,C9TL-ACgvdY,1
u2coZWGhmOw,hEND8dlUp1Y,1
u2coZWGhmOw,-KEwkWjADEA,1
u2coZWGhmOw,eerwNciwvrM,1
hEND8dlUp1Y,YZ7I9XgaW3A,1
hEND8dlUp1Y,LfGT_thyKXc,1
hEND8dlUp1Y,qd_hEja6bzE,1
LfGT_thyKXc,sM0O9ASGbxU,1
LfGT_thyKXc,Q8QTg74kUho,1
LfGT_thyKXc,GfKJx6pFZPc,1
qd_hEja6bzE,Q8QTg74kUho,1
qd_hEja6bzE,KMAtkjy_YK4,1
qd_hEja6bzE,So3vH9FY2H4,1
tG8gRoaCczQ,-EogHCFd7w0,1
tG8gRoaCczQ,XkL-KzaYxuw,1
tG8gRoaCczQ,LIoIn2He8kA,1
JxGP9cYbwdk,w5Qu_4xHObo,1
JxGP9cYbwdk,xCzKQbukL1E,1
JxGP9cYbwdk,GFCsYictPFo,1
eerwNciwvrM,IKm5S76iJSw,1
eerwNciwvrM,zMrt6ALaio0,1
eerwNciwvrM,aR5N2Jl8k14,1
KwW-U816KNE,ZRyo0Nr7CrY,1
KwW-U816KNE,wke4O8JqoNo,1
KwW-U816KNE,w6riupHnnnU,1
ZRyo0Nr7CrY,z0RU_ck64Bs,1
ZRyo0Nr7CrY,fdSqibMhBwg,1
ZRyo0Nr7CrY,d85OX6yEwE0,1
ZRyo0Nr7CrY,YWU89g7sj7s,1
ZRyo0Nr7CrY,iy3hga_P5YY,1
ZRyo0Nr7CrY,DOBBwx3Cbbk,1
fdSqibMhBwg,nNp21zTeCDc,1
fdSqibMhBwg,VWwKqSzakYU,1
fdSqibMhBwg,iy3hga_P5YY,1
wke4O8JqoNo,vEMuOi0N2fQ,1
wke4O8JqoNo,bBrUrgNf5y8,1
wke4O8JqoNo,ZRyo0Nr7CrY,1
wke4O8JqoNo,jLtyNtf9_ew,1
wke4O8JqoNo,BwM6JJYPzkM,1
wke4O8JqoNo,67dTuzR4KKM,1
w6riupHnnnU,XXcpOAaOxYc,1
w6riupHnnnU,6mPwR9U82C0,1
w6riupHnnnU,wOxIoFNfEsk,1
wOxIoFNfEsk,HK3JOlY0V8Y,1
wOxIoFNfEsk,dnE1nO6o-do,1
wOxIoFNfEsk,YWU89g7sj7s,1
a8dE3MCQZm8,7bgWNQzByOw,1
a8dE3MCQZm8,G01xv1RyRVw,1
a8dE3MCQZm8,CcRAEAtRlFE,1
VWwKqSzakYU,oy9NRjZQK10,1
VWwKqSzakYU,YWU89g7sj7s,1
VWwKqSzakYU,fdSqibMhBwg,1
UDjgSSO98VI,2EA4tDYwNYo,1
