Id;Genre;Probabilities
63wCfqSQp8c;Science & Technology; {'2': 0.30000000000000004, '28': 0.4666666666666666, '26': 0.10000000000000002, '22': 0.03333333333333333, '27': 0.06666666666666667, '1': 0.03333333333333333}
sftp-GPp62Y;Education; {'28': 0.15000000000000002, '22': 0.25, '27': 0.55, '2': 0.05}
C9TL-ACgvdY;Education; {'27': 0.30000000000000004, '2': 0.13333333333333333, '28': 0.30000000000000004, '22': 0.2333333333333333, '25': 0.03333333333333333}
bdY6n0Qg5Pw;Education; {'2': 0.5666666666666667, '28': 0.17777777777777776, '27': 0.24444444444444452, '25': 0.011111111111111112}
YJwx0fVFfQA;Education; {'27': 0.6, '28': 0.2, '1': 0.1, '25': 0.1}
h8iiVgFW2qk;Science & Technology; {'27': 0.3333333333333333, '28': 0.5, '24': 0.06666666666666667, '25': 0.03333333333333333, '2': 0.06666666666666667}
SkNVdEDC5S8;Science & Technology; {'2': 0.30000000000000004, '28': 0.5, '27': 0.16, '1': 0.04}
w5Qu_4xHObo;Education; {'28': 0.36250000000000004, '27': 0.39375000000000004, '2': 0.24375000000000005, '25': 0.025, '24': 0.018750000000000003, '22': 0.0125, '1': 0.00625}
-KEwkWjADEA;Science & Technology; {'28': 0.7799999999999998, '22': 0.08, '27': 0.04666666666666666, '2': 0.020000000000000004, '26': 0.07333333333333332}
nv505702ZGo;Education; {'28': 0.5, '22': 0.1, '2': 0.1, '27': 0.2, '26': 0.1}
tJMZwbrQkJg;Education; {'27': 0.4, '2': 0.1, '22': 0.2, '19': 0.1, '26': 0.1, '28': 0.1}
dv2tymkLJns;Education; {'27': 0.625, '28': 0.25, '22': 0.07500000000000001, '2': 0.05}
snqBKk4Rpjw;Science & Technology; {'28': 0.75, '27': 0.1, '25': 0.1, '1': 0.05}
bHZRoghtpZg;Education; {'27': 0.30000000000000004, '24': 0.15000000000000002, '25': 0.15000000000000002, '28': 0.2, '2': 0.15000000000000002, '1': 0.05}
a15475RrAfY;Autos & Vehicles; {'28': 0.2, '2': 0.7, '27': 0.1}
-pz6AXt41vo;Autos & Vehicles; {'2': 0.4, '28': 0.2, '24': 0.1, '29': 0.1, '27': 0.1, '22': 0.1}
n9R-qDcoKI4;Autos & Vehicles; {'28': 0.26666666666666666, '2': 0.45, '27': 0.16666666666666666, '25': 0.016666666666666666, '22': 0.06666666666666667, '24': 0.016666666666666666, '26': 0.016666666666666666}
Gk88KXFLzTw;Education; {'2': 0.5, '28': 0.2, '27': 0.2, '26': 0.1}
A1uYhkMRLWg;Science & Technology; {'2': 0.5, '28': 0.30000000000000004, '26': 0.1, '24': 0.1}
ePt3Kj1OIfk;Autos & Vehicles; {'2': 0.7999999999999999, '22': 0.2}
KS1HdnKG0YY;Science & Technology; {'26': 0.1, '28': 0.2, '2': 0.7}
Sf6H8kSunRA;Science & Technology; {'28': 0.7, '2': 0.1, '27': 0.1, '24': 0.1}
7OpM_zKGE4o;Science & Technology; {'28': 0.6, '27': 0.25, '22': 0.1, '26': 0.05}
lapFQl6RezA;Science & Technology; {'28': 0.30000000000000004, '24': 0.1, '10': 0.1, '2': 0.1, '20': 0.1, '19': 0.1, '1': 0.1, '22': 0.1}
59A8-rKRs-0;Science & Technology; {'28': 0.8999999999999999, '24': 0.1}
xX51HUPIEno;Science & Technology; {'2': 0.7, '27': 0.1, '22': 0.1, '28': 0.1}
tn6-6U-XN7M;Autos & Vehicles; {'27': 0.4, '2': 0.4, '28': 0.1, '24': 0.1}
z1tHCHichzI;Autos & Vehicles; {'2': 0.8222222222222222, '27': 0.08888888888888889, '24': 0.1222222222222222, '28': 0.044444444444444446, '1': 0.022222222222222223, '22': 0.011111111111111112}
v0KeUZi3oh0;Science & Technology; {'2': 0.3666666666666667, '27': 0.2333333333333333, '28': 0.3333333333333333, '24': 0.06666666666666667}
aAk8oE5-_V4;Autos & Vehicles; {'2': 0.7500000000000001, '28': 0.10999999999999999, '27': 0.06999999999999999, '22': 0.02, '19': 0.01, '24': 0.030000000000000006, '17': 0.01}
4ExCyU_wIcI;Autos & Vehicles; {'2': 0.5, '28': 0.1, '24': 0.2, '27': 0.1, '1': 0.1}
XgItFZaJnBM;Autos & Vehicles; {'2': 0.8666666666666667, '28': 0.13333333333333333, '27': 0.19999999999999998, '1': 0.03333333333333333, '22': 0.03333333333333333, '25': 0.06666666666666667}
cegPfXAsLn8;Autos & Vehicles; {'2': 0.5, '28': 0.1, '19': 0.1, '27': 0.1, '24': 0.1, '22': 0.1}
dSvzUlVL-CQ;Autos & Vehicles; {'2': 0.55, '28': 0.125, '24': 0.2, '1': 0.05, '27': 0.07500000000000001}
RMo9pwp6Pa4;Science & Technology; {'28': 0.4, '2': 0.4, '1': 0.1, '27': 0.1}
94ZQrr3dlM8;Entertainment; {'24': 0.5, '28': 0.1, '2': 0.4}
jKLS-QYaawM;Entertainment; {'24': 0.8999999999999999, '2': 0.1}
dwprZSR_gR8;Science & Technology; {'28': 0.43333333333333335, '2': 0.4000000000000001, '24': 0.10000000000000002, '1': 0.06666666666666667}
d7bn_H4XtSA;Autos & Vehicles; {'2': 0.7, '28': 0.1, '27': 0.2}
DOBBwx3Cbbk;Science & Technology; {'22': 0.4, '28': 0.32500000000000007, '26': 0.07500000000000001, '27': 0.05, '2': 0.125, '24': 0.025}
u2coZWGhmOw;Science & Technology; {'28': 0.7, '2': 0.1, '27': 0.2}
hEND8dlUp1Y;Science & Technology; {'22': 0.1, '28': 0.5, '25': 0.1, '2': 0.2, '24': 0.1}
YZ7I9XgaW3A;Science & Technology; {'27': 0.2, '26': 0.30000000000000004, '28': 0.30000000000000004, '1': 0.1, '22': 0.1}
LfGT_thyKXc;Autos & Vehicles; {'2': 0.45, '24': 0.30000000000000004, '10': 0.1, '22': 0.05, '28': 0.05, '25': 0.05}
qd_hEja6bzE;Science & Technology; {'22': 0.15000000000000002, '24': 0.2, '19': 0.1, '28': 0.4, '15': 0.05, '27': 0.05, '2': 0.05}
tG8gRoaCczQ;Education; {'25': 0.1, '27': 0.75, '26': 0.1, '28': 0.05}
TOko1mG2DGI;Howto & Style; {'26': 0.75, '22': 0.25}
JxGP9cYbwdk;Science & Technology; {'22': 0.30000000000000004, '28': 0.5, '27': 0.2}
eerwNciwvrM;Science & Technology; {'28': 0.5, '27': 0.2, '10': 0.1, '25': 0.1, '22': 0.1}
IKm5S76iJSw;Science & Technology; {'28': 0.7999999999999999, '25': 0.1, '24': 0.1}
zMrt6ALaio0;Science & Technology; {'25': 0.2, '28': 0.5, '22': 0.1, '27': 0.2}
aR5N2Jl8k14;Science & Technology; {'28': 0.6, '20': 0.1, '2': 0.1, '27': 0.1, '25': 0.1}
KwW-U816KNE;Science & Technology; {'28': 0.30000000000000004, '27': 0.4, '24': 0.1, '2': 0.1, '22': 0.1}
ZRyo0Nr7CrY;People & Blogs; {'28': 0.4, '22': 0.325, '24': 0.175, '27': 0.025, '2': 0.07500000000000001}
z0RU_ck64Bs;Entertainment; {'22': 0.4, '28': 0.2, '24': 0.30000000000000004, '2': 0.1}
fdSqibMhBwg;People & Blogs; {'28': 0.35000000000000003, '22': 0.35, '26': 0.07500000000000001, '2': 0.2, '27': 0.025}
