Id;Genre;Probabilities
9C_HReR_McQ;Film & Animation; {'1': 0.6499999999999999, '22': 0.1, '23': 0.15000000000000002, '27': 0.1}
G9FGgwCQ22w;Film & Animation; {'1': 0.58, '27': 0.15999999999999998, '22': 0.1, '23': 0.08, '10': 0.04, '24': 0.04}
dbL-NSkXnl8;Film & Animation; {'1': 0.5, '29': 0.05, '27': 0.15000000000000002, '10': 0.1, '23': 0.05, '24': 0.05, '20': 0.05, '22': 0.05}
eDbrlgCRTSw;Education; {'23': 0.2, '22': 0.30000000000000004, '10': 0.30000000000000004, '27': 0.1, '1': 0.1}
h2Vr9Hx12Zk;Music; {'10': 0.6499999999999999, '1': 0.325, '27': 0.025}
B_bM8IpGxLQ;Music; {'10': 0.55, '1': 0.30000000000000004, '20': 0.1, '22': 0.05}
Tchc-VuvPdY;Film & Animation; {'22': 0.1, '20': 0.1, '1': 0.4, '10': 0.4}
hnNh__iIUJI;Gaming; {'1': 0.4, '20': 0.2, '10': 0.2, '24': 0.1, '22': 0.1}
6kj40pb4Os8;Music; {'24': 0.15000000000000002, '22': 0.1, '20': 0.15000000000000002, '10': 0.55, '1': 0.05}
qlezQLWgZys;Film & Animation; {'22': 0.2, '10': 0.30000000000000004, '1': 0.5}
IyAC8Hh0atI;Film & Animation; {'1': 0.30000000000000004, '20': 0.2, '10': 0.1, '24': 0.1, '27': 0.1, '28': 0.05, '23': 0.15000000000000002}
3cRoSQYjp0w;People & Blogs; {'1': 0.30000000000000004, '22': 0.30000000000000004, '10': 0.2, '24': 0.1, '23': 0.05, '20': 0.05}
drhqlbciI2I;Music; {'10': 0.4, '24': 0.1, '1': 0.2, '27': 0.1, '26': 0.1, '20': 0.1}
TNOWHHYZCzI;Music; {'10': 0.7999999999999999, '1': 0.1, '22': 0.1}
mPg1tnfUguo;Education; {'27': 0.7, '10': 0.1, '22': 0.1, '1': 0.1}
vtkGtXtDlQA;Film & Animation; {'1': 0.7, '22': 0.15000000000000002, '24': 0.05, '27': 0.05, '10': 0.05}
5CIP2mz8rpg;Comedy; {'1': 0.30000000000000004, '20': 0.1, '10': 0.2, '22': 0.30000000000000004, '24': 0.1}
w45Vc3uv1Yk;Film & Animation; {'20': 0.20000000000000004, '1': 0.7125, '26': 0.0125, '24': 0.075}
At6aUZGWZXg;Film & Animation; {'24': 0.16999999999999998, '1': 0.72, '27': 0.06999999999999999, '22': 0.030000000000000006, '26': 0.01}
FM5dXBD1U_I;Film & Animation; {'1': 0.9199999999999999, '27': 0.02, '10': 0.06000000000000001}
JcpboMScfIY;Entertainment; {'20': 0.2, '24': 0.7000000000000001, '1': 0.25, '23': 0.025, '10': 0.05, '25': 0.025}
BpfGELntT14;Film & Animation; {'1': 0.9999999999999999}
sXOdn6vLCuU;Film & Animation; {'1': 0.6, '27': 0.1, '24': 0.05, '22': 0.1, '10': 0.1, '23': 0.05}
xD-IQaxHcE4;Comedy; {'23': 0.7, '20': 0.1, '22': 0.05, '28': 0.05, '24': 0.05, '27': 0.05}
KQvXTRKvt5A;Comedy; {'23': 0.9999999999999999}
oVA6F5XtSJA;Comedy; {'23': 0.7999999999999999, '22': 0.1, '10': 0.1}
1LIfEmClwAw;Comedy; {'23': 0.8499999999999999, '22': 0.1, '27': 0.05}
KSlGJv3LZII;Comedy; {'23': 0.8999999999999999, '22': 0.1}
vdXfxcJumuU;Comedy; {'23': 0.8999999999999999, '10': 0.1}
QwSJOWQ3MCo;Comedy; {'23': 0.9999999999999999}
OmZB36csdRA;Comedy; {'23': 0.8999999999999999, '10': 0.1}
9hUfI0uQbS0;Comedy; {'23': 0.7, '27': 0.1, '10': 0.1, '20': 0.1}
nJEckyyeKsw;Comedy; {'23': 0.9999999999999999}
JJIO-Jr0E8o;Education; {'27': 0.4, '10': 0.30000000000000004, '24': 0.1, '22': 0.1, '23': 0.1}
VRlrYcJEsAQ;Music; {'1': 0.2, '27': 0.1, '10': 0.5, '22': 0.2}
b7Ac32ixV0E;Film & Animation; {'1': 1.2333333333333332, '24': 0.03333333333333333, '20': 0.03333333333333333, '26': 0.03333333333333333}
7QJrsFJEEvY;Film & Animation; {'1': 0.9999999999999999}
Q3P92md6RfE;Film & Animation; {'1': 0.7999999999999999, '22': 0.1, '20': 0.1}
zG4aIVGHr6w;Film & Animation; {'1': 0.8999999999999999, '24': 0.1}
