Source,Target,weight
9x3nJarG028,nCVYEqc_Hw4,1
9x3nJarG028,XcX3A6WGflg,1
9x3nJarG028,JOPaxhhgyd8,1
9x3nJarG028,xg8SVfl40NU,1
9x3nJarG028,TcXeDQE54lU,2
9x3nJarG028,WTW2SNT8GLM,1
9x3nJarG028,jJUK6PvNifo,1
9x3nJarG028,JN11JClxdA4,2
9x3nJarG028,k6f8xezkWo0,1
9x3nJarG028,3ZYPeiJkuaY,1
9x3nJarG028,l-MOffD3K2M,2
9x3nJarG028,cdVOut1SXUM,1
9x3nJarG028,NrIXJvEYZaQ,2
9x3nJarG028,8v6_1YmVoOU,1
xg8SVfl40NU,AoQzjX3LOJo,1
xg8SVfl40NU,9x3nJarG028,1
xg8SVfl40NU,IrsLca4usro,1
AoQzjX3LOJo,4HzfwPgvVTg,2
AoQzjX3LOJo,CoftCRiuPCY,2
AoQzjX3LOJo,1t-LHoe_WYA,2
AoQzjX3LOJo,SkiwWIIc5z4,1
AoQzjX3LOJo,bE_0-D2F8Wc,1
AoQzjX3LOJo,yKOsNA3VIIM,1
4HzfwPgvVTg,6sqkwuIPkIY,1
4HzfwPgvVTg,dJhAWeweT5o,1
4HzfwPgvVTg,Z9pFXbU4ufk,1
4HzfwPgvVTg,-k0D_qFPb4o,1
4HzfwPgvVTg,PkLaWIDobGE,1
4HzfwPgvVTg,Ayc9STKjUX4,1
6sqkwuIPkIY,e9z-dMQjRBE,1
6sqkwuIPkIY,dgiYKfSuaVg,1
6sqkwuIPkIY,8RYY_oW7I6w,1
e9z-dMQjRBE,vH4S0NCtBMc,1
e9z-dMQjRBE,BxY_eJLBflk,1
e9z-dMQjRBE,wfZpbaZCGEo,1
dgiYKfSuaVg,5ghOx_MYBYw,1
dgiYKfSuaVg,q9mRXhklV84,1
dgiYKfSuaVg,6sqkwuIPkIY,1
5ghOx_MYBYw,0T--WC4D1C0,1
5ghOx_MYBYw,4lA7ocgrmYA,1
5ghOx_MYBYw,XKLuawV_EO4,1
8RYY_oW7I6w,Ntt98rTky-g,1
8RYY_oW7I6w,ZzUY5U84CAw,1
8RYY_oW7I6w,PeVq6wMbd1k,1
dJhAWeweT5o,cwHZbsr1YFA,1
dJhAWeweT5o,S_0BO3QgMeI,1
dJhAWeweT5o,o-dfzSUlVVY,1
cwHZbsr1YFA,-Z-QZRv3yBc,1
cwHZbsr1YFA,Ayc9STKjUX4,1
cwHZbsr1YFA,mewMBbbvRNI,1
S_0BO3QgMeI,c9K2Ab_pi-4,1
S_0BO3QgMeI,kch9MV-_nNU,1
S_0BO3QgMeI,4HzfwPgvVTg,1
o-dfzSUlVVY,OLQJN1JWFU0,1
o-dfzSUlVVY,LwwiIkrLxTM,1
o-dfzSUlVVY,WvHMW5gNaSE,1
Z9pFXbU4ufk,96rJGbqYDGQ,1
Z9pFXbU4ufk,QgJpwo4TDHs,1
Z9pFXbU4ufk,mf0XvLvp12E,1
96rJGbqYDGQ,hKzEt2MZQiM,1
96rJGbqYDGQ,rZiNFYVymHs,1
96rJGbqYDGQ,GEie7zueRR0,1
QgJpwo4TDHs,NFI2oC__hwE,1
QgJpwo4TDHs,F9LGoVPN4og,1
QgJpwo4TDHs,hhdAiEVme0I,1
mf0XvLvp12E,l9ERelVkBzQ,1
mf0XvLvp12E,crvyqYibYLA,1
mf0XvLvp12E,H7inaTiDKaU,1
CoftCRiuPCY,M5EIFcNG9jU,1
CoftCRiuPCY,pNgHL_CcO2I,2
