Id;Genre;Probabilities
9x3nJarG028;Travel & Events; {'19': 0.7727272727272727, '10': 0.1272727272727273, '27': 0.10909090909090909, '22': 0.0818181818181818}
xg8SVfl40NU;Education; {'19': 0.2, '24': 0.2, '27': 0.5, '29': 0.1}
AoQzjX3LOJo;Education; {'1': 0.20000000000000004, '27': 0.4666666666666666, '25': 0.10000000000000002, '22': 0.13333333333333333, '29': 0.10000000000000002}
4HzfwPgvVTg;Education; {'27': 0.5, '24': 0.10000000000000002, '29': 0.16666666666666666, '10': 0.06666666666666667, '22': 0.16666666666666666}
6sqkwuIPkIY;Education; {'27': 0.25, '22': 0.25, '29': 0.2, '25': 0.1, '24': 0.05, '10': 0.1, '1': 0.05}
e9z-dMQjRBE;Music; {'29': 0.30000000000000004, '27': 0.4, '1': 0.1, '25': 0.1, '10': 0.1}
vH4S0NCtBMc;Education; {'1': 0.1, '10': 0.2, '25': 0.1, '24': 0.2, '27': 0.30000000000000004, '22': 0.1}
BxY_eJLBflk;Education; {'27': 0.6, '22': 0.30000000000000004, '17': 0.1}
wfZpbaZCGEo;Education; {'22': 0.2, '25': 0.1, '27': 0.4, '24': 0.1, '10': 0.2}
dgiYKfSuaVg;Education; {'27': 0.4, '19': 0.1, '22': 0.2, '29': 0.2, '24': 0.1}
5ghOx_MYBYw;Nonprofits & Activism; {'24': 0.2, '27': 0.5, '29': 0.2, '28': 0.1}
q9mRXhklV84;Entertainment; {'27': 0.2, '24': 0.7999999999999999}
8RYY_oW7I6w;News & Politics; {'29': 0.1, '1': 0.1, '24': 0.1, '22': 0.6, '19': 0.1}
Ntt98rTky-g;People & Blogs; {'27': 0.5, '29': 0.30000000000000004, '25': 0.1, '22': 0.1}
ZzUY5U84CAw;People & Blogs; {'25': 0.2, '27': 0.1, '29': 0.2, '22': 0.4, '1': 0.1}
PeVq6wMbd1k;People & Blogs; {'24': 0.1, '29': 0.2, '22': 0.30000000000000004, '25': 0.1, '27': 0.30000000000000004}
dJhAWeweT5o;Education; {'27': 0.5, '29': 0.30000000000000004, '24': 0.1, '22': 0.1}
cwHZbsr1YFA;Nonprofits & Activism; {'1': 0.1, '29': 0.5, '25': 0.2, '22': 0.1, '10': 0.1}
-Z-QZRv3yBc;Nonprofits & Activism; {'29': 0.7999999999999999, '27': 0.1, '24': 0.1}
Ayc9STKjUX4;Nonprofits & Activism; {'29': 0.9999999999999999}
mewMBbbvRNI;Music; {'10': 0.1, '27': 0.30000000000000004, '29': 0.2, '19': 0.1, '1': 0.1, '22': 0.1, '25': 0.1}
S_0BO3QgMeI;Education; {'27': 0.8999999999999999, '1': 0.1}
c9K2Ab_pi-4;Education; {'25': 0.1, '22': 0.30000000000000004, '27': 0.30000000000000004, '29': 0.1, '1': 0.2}
kch9MV-_nNU;Education; {'27': 0.9999999999999999}
o-dfzSUlVVY;Nonprofits & Activism; {'1': 0.1, '29': 0.7999999999999999, '27': 0.1}
OLQJN1JWFU0;Nonprofits & Activism; {'29': 0.4, '22': 0.1, '25': 0.1, '10': 0.1, '27': 0.30000000000000004}
LwwiIkrLxTM;Film & Animation; {'10': 0.1, '29': 0.5, '24': 0.2, '27': 0.2}
