Source,Target,weight
FCopvc1Nf20,8MRYnEjMIPU,1
FCopvc1Nf20,PUPpnigFLCQ,1
FCopvc1Nf20,xMiug2sZ4Io,1
8MRYnEjMIPU,khLlpu-qJuM,3
8MRYnEjMIPU,nGXNnONA_WU,6
8MRYnEjMIPU,cTsJTRUaMZ0,5
8MRYnEjMIPU,kjLH3hipVsc,1
8MRYnEjMIPU,RlQS6quKORU,1
8MRYnEjMIPU,e0zAJfbP3gg,1
8MRYnEjMIPU,rY5jCvRHEFk,3
8MRYnEjMIPU,0k6X03XvxWw,4
8MRYnEjMIPU,9SmVVLYgArk,3
8MRYnEjMIPU,h5xqP-aPwOU,3
8MRYnEjMIPU,8WHVf578khs,3
8MRYnEjMIPU,6Cl5Z87cs1U,4
8MRYnEjMIPU,TB7dQh_TpUc,1
8MRYnEjMIPU,p7PVZq-lqCs,1
8MRYnEjMIPU,GgxbeKeIqCc,2
8MRYnEjMIPU,vOyB2PyRf-k,1
8MRYnEjMIPU,H7inaTiDKaU,1
8MRYnEjMIPU,zTtzGhYd0Po,1
8MRYnEjMIPU,vHSJ2brceKI,1
6Cl5Z87cs1U,cTsJTRUaMZ0,2
6Cl5Z87cs1U,c8qjgmJzNl8,1
6Cl5Z87cs1U,h5xqP-aPwOU,1
6Cl5Z87cs1U,64u0boevHGc,1
6Cl5Z87cs1U,8MRYnEjMIPU,2
6Cl5Z87cs1U,pGfIba6m3SY,1
6Cl5Z87cs1U,vHSJ2brceKI,3
6Cl5Z87cs1U,GgxbeKeIqCc,2
6Cl5Z87cs1U,9SmVVLYgArk,2
6Cl5Z87cs1U,nGXNnONA_WU,2
6Cl5Z87cs1U,0k6X03XvxWw,1
6Cl5Z87cs1U,rQEW64dvdMo,1
6Cl5Z87cs1U,DYBClDGp7Ec,1
6Cl5Z87cs1U,8WHVf578khs,1
64u0boevHGc,cTsJTRUaMZ0,1
64u0boevHGc,zTtzGhYd0Po,1
64u0boevHGc,6Cl5Z87cs1U,1
cTsJTRUaMZ0,nGXNnONA_WU,1
cTsJTRUaMZ0,8MRYnEjMIPU,1
cTsJTRUaMZ0,w_0u-N5lIck,1
cTsJTRUaMZ0,79ExQWKb2vA,2
cTsJTRUaMZ0,vHSJ2brceKI,4
cTsJTRUaMZ0,e0zAJfbP3gg,2
cTsJTRUaMZ0,lYG7E0xTgY8,1
cTsJTRUaMZ0,uT4JoaQWkkQ,2
cTsJTRUaMZ0,6Cl5Z87cs1U,1
nGXNnONA_WU,zTtzGhYd0Po,2
nGXNnONA_WU,8MRYnEjMIPU,5
nGXNnONA_WU,79ExQWKb2vA,4
nGXNnONA_WU,0k6X03XvxWw,2
nGXNnONA_WU,vOyB2PyRf-k,4
nGXNnONA_WU,6oDpHHMy6ZQ,5
nGXNnONA_WU,6Cl5Z87cs1U,5
nGXNnONA_WU,9SmVVLYgArk,5
nGXNnONA_WU,GgxbeKeIqCc,3
nGXNnONA_WU,xMiug2sZ4Io,4
nGXNnONA_WU,1ZCvjb6TqgI,7
nGXNnONA_WU,vHSJ2brceKI,3
nGXNnONA_WU,gY60xaKPcvI,1
nGXNnONA_WU,VqsFp0J22Hc,1
zTtzGhYd0Po,8MRYnEjMIPU,1
zTtzGhYd0Po,xMiug2sZ4Io,1
zTtzGhYd0Po,0k6X03XvxWw,1
zTtzGhYd0Po,nGXNnONA_WU,2
zTtzGhYd0Po,cTsJTRUaMZ0,3
zTtzGhYd0Po,PPySn3slfXI,1
zTtzGhYd0Po,BEWz4SXfyCQ,2
zTtzGhYd0Po,h5xqP-aPwOU,2
zTtzGhYd0Po,6Cl5Z87cs1U,1
zTtzGhYd0Po,8WHVf578khs,1
zTtzGhYd0Po,Vmixv8Zp9ps,1
zTtzGhYd0Po,9SmVVLYgArk,1
zTtzGhYd0Po,64u0boevHGc,1
79ExQWKb2vA,GCHhwQUeEYU,1
79ExQWKb2vA,mJ0bVUPd6Mc,2
79ExQWKb2vA,094y1Z2wpJg,1
79ExQWKb2vA,P2AUat93a8Q,1
79ExQWKb2vA,OOf_WPwZ_X4,1
79ExQWKb2vA,S-TO_OP_wTM,1
79ExQWKb2vA,jXYMf8vK--g,1
79ExQWKb2vA,nGXNnONA_WU,1
khLlpu-qJuM,wgUkjbMhF18,1
khLlpu-qJuM,h5xqP-aPwOU,2
khLlpu-qJuM,e0zAJfbP3gg,1
khLlpu-qJuM,gmEc7_jV3j0,1
khLlpu-qJuM,EL7xW5zTh6M,1
w_0u-N5lIck,vHSJ2brceKI,1
w_0u-N5lIck,h5xqP-aPwOU,1
w_0u-N5lIck,dwV4T9of1oY,1
vHSJ2brceKI,uT4JoaQWkkQ,2
vHSJ2brceKI,nGXNnONA_WU,3
vHSJ2brceKI,zTtzGhYd0Po,1
vHSJ2brceKI,6Cl5Z87cs1U,2
vHSJ2brceKI,8MRYnEjMIPU,1
vHSJ2brceKI,sSfejgwbDQ8,1
vHSJ2brceKI,9SmVVLYgArk,1
vHSJ2brceKI,QFqaBuFtigQ,1
h5xqP-aPwOU,MgH3BsMxJe4,1
h5xqP-aPwOU,-83citXHuWI,1
h5xqP-aPwOU,4tAQM5uU8uk,1
h5xqP-aPwOU,6Cl5Z87cs1U,1
h5xqP-aPwOU,vHSJ2brceKI,3
h5xqP-aPwOU,wZXoErL2124,1
h5xqP-aPwOU,8MRYnEjMIPU,6
h5xqP-aPwOU,y6Ea-Di9DsI,3
h5xqP-aPwOU,u4taz6dfPQc,3
h5xqP-aPwOU,zTtzGhYd0Po,3
h5xqP-aPwOU,nGXNnONA_WU,1
h5xqP-aPwOU,q4zZ2ker1iI,4
h5xqP-aPwOU,rOJ1cw6mohw,1
h5xqP-aPwOU,cTsJTRUaMZ0,3
h5xqP-aPwOU,o47atrDZ0yo,1
h5xqP-aPwOU,cMB46z1Xmuc,1
h5xqP-aPwOU,6oDpHHMy6ZQ,1
h5xqP-aPwOU,RlQS6quKORU,1
RlQS6quKORU,8MRYnEjMIPU,1
RlQS6quKORU,XLB4stMuY3g,1
RlQS6quKORU,HRGoj1BtyTY,1
xMiug2sZ4Io,nGXNnONA_WU,4
xMiug2sZ4Io,uT4JoaQWkkQ,3
xMiug2sZ4Io,y6Ea-Di9DsI,1
xMiug2sZ4Io,9SmVVLYgArk,1
xMiug2sZ4Io,apuygXKOnpI,1
xMiug2sZ4Io,h5xqP-aPwOU,3
xMiug2sZ4Io,PPySn3slfXI,1
xMiug2sZ4Io,5Szj5jJeUec,2
xMiug2sZ4Io,79xQW-jrcKA,1
xMiug2sZ4Io,qsHJ3LvUWTs,1
xMiug2sZ4Io,0k6X03XvxWw,2
xMiug2sZ4Io,zTtzGhYd0Po,2
xMiug2sZ4Io,e0zAJfbP3gg,1
xMiug2sZ4Io,sCD9zjf_YRU,1
uT4JoaQWkkQ,69ZyEw0T7Z8,3
uT4JoaQWkkQ,5Szj5jJeUec,2
uT4JoaQWkkQ,mHTR-XF6MXU,3
uT4JoaQWkkQ,G5-1CUbaz0c,1
uT4JoaQWkkQ,HEd2y8nChFg,1
uT4JoaQWkkQ,rBKfRy0M-30,1
uT4JoaQWkkQ,LjkByyMrB3Y,1
y6Ea-Di9DsI,nGXNnONA_WU,1
y6Ea-Di9DsI,5Szj5jJeUec,1
y6Ea-Di9DsI,Fi66wFfOC-4,1
0k6X03XvxWw,zTtzGhYd0Po,3
0k6X03XvxWw,lYG7E0xTgY8,5
0k6X03XvxWw,nGXNnONA_WU,6
0k6X03XvxWw,YofLsS3vfOU,2
0k6X03XvxWw,8MRYnEjMIPU,4
0k6X03XvxWw,TB7dQh_TpUc,1
0k6X03XvxWw,vHSJ2brceKI,1
0k6X03XvxWw,y0PYlLQn_YM,1
0k6X03XvxWw,apuygXKOnpI,1
0k6X03XvxWw,VqsFp0J22Hc,1
0k6X03XvxWw,9SmVVLYgArk,1
0k6X03XvxWw,khLlpu-qJuM,1
lYG7E0xTgY8,nGXNnONA_WU,1
lYG7E0xTgY8,2A6UeNL1ZVk,1
lYG7E0xTgY8,0k6X03XvxWw,2
lYG7E0xTgY8,apuygXKOnpI,1
lYG7E0xTgY8,6icYoDgVWD4,1
lYG7E0xTgY8,zTtzGhYd0Po,1
lYG7E0xTgY8,6Cl5Z87cs1U,1
lYG7E0xTgY8,khLlpu-qJuM,1
e0zAJfbP3gg,q4zZ2ker1iI,2
e0zAJfbP3gg,eGsZMYiF20g,1
e0zAJfbP3gg,khLlpu-qJuM,1
e0zAJfbP3gg,h5xqP-aPwOU,1
e0zAJfbP3gg,9SmVVLYgArk,1
c8qjgmJzNl8,CdKok8CqN_o,1
c8qjgmJzNl8,-uPAjIOkLVA,1
c8qjgmJzNl8,DToPhKv2vYM,1
c8qjgmJzNl8,S6spZdzqFxg,1
c8qjgmJzNl8,AOP227UmNLY,1
c8qjgmJzNl8,oKhhWGhBkYo,1
q4zZ2ker1iI,Xm_2zmX6Akc,2
q4zZ2ker1iI,GCHhwQUeEYU,1
q4zZ2ker1iI,z3cjksFFKAQ,1
q4zZ2ker1iI,E5K5i5Wv7jQ,1
q4zZ2ker1iI,_iudkPi4_sY,1
q4zZ2ker1iI,zG7XZ2JXZqY,1
q4zZ2ker1iI,8KQcm0Mi5To,1
q4zZ2ker1iI,Hgr1Wv8mwh8,1
q4zZ2ker1iI,MV078z5fwds,1
q4zZ2ker1iI,7ogv0cxVsoQ,1
q4zZ2ker1iI,GswLWGOl_1o,1
q4zZ2ker1iI,nGXNnONA_WU,2
q4zZ2ker1iI,xMiug2sZ4Io,1
q4zZ2ker1iI,fFFSKedy9f4,2
q4zZ2ker1iI,-EQO6YMIzqg,1
eGsZMYiF20g,h5xqP-aPwOU,1
eGsZMYiF20g,6Cl5Z87cs1U,1
eGsZMYiF20g,0k6X03XvxWw,1
YofLsS3vfOU,xMiug2sZ4Io,1
YofLsS3vfOU,lYG7E0xTgY8,1
YofLsS3vfOU,64u0boevHGc,1
vOyB2PyRf-k,8MRYnEjMIPU,1
vOyB2PyRf-k,zy7c_FHiEac,2
vOyB2PyRf-k,MXcddiS32s0,1
vOyB2PyRf-k,RlQS6quKORU,1
vOyB2PyRf-k,1Hfq9gBkwBE,1
6oDpHHMy6ZQ,LrDige52Q5I,1
6oDpHHMy6ZQ,RlQS6quKORU,2
6oDpHHMy6ZQ,By51mqAqbbA,2
6oDpHHMy6ZQ,ZWiaQA8J5zs,2
6oDpHHMy6ZQ,I3g0C0EYNkU,1
6oDpHHMy6ZQ,1ZCvjb6TqgI,1
6oDpHHMy6ZQ,DGUE0xKkcMA,1
6oDpHHMy6ZQ,Wa21tOMcTC8,1
6oDpHHMy6ZQ,unI0V_54mY8,1
rY5jCvRHEFk,XW_KhFq4LQo,1
rY5jCvRHEFk,uXyS-74sRTE,1
rY5jCvRHEFk,AJ0-VeWMr-A,1
rY5jCvRHEFk,Rxmw9eizOAo,1
rY5jCvRHEFk,-KQGZa773sI,1
rY5jCvRHEFk,6EwzvKF-o_Y,1
rY5jCvRHEFk,8MRYnEjMIPU,1
rY5jCvRHEFk,qyRCQEum_vI,1
rY5jCvRHEFk,xMiug2sZ4Io,1
XW_KhFq4LQo,65epASHLblo,1
XW_KhFq4LQo,w2DTEOB5rhk,1
XW_KhFq4LQo,b9GWqfNlWHI,1
uXyS-74sRTE,-5yh2HcIlkU,1
uXyS-74sRTE,KkjxSKrcbOg,1
uXyS-74sRTE,wieRZoJSVtw,1
-5yh2HcIlkU,6T7pUEZfgdI,1
-5yh2HcIlkU,h5xqP-aPwOU,1
-5yh2HcIlkU,BEWz4SXfyCQ,1
AJ0-VeWMr-A,D7WUMXKV-FE,1
AJ0-VeWMr-A,hl0iNRXcUbE,1
AJ0-VeWMr-A,BQmV3rU8ifE,1
pGfIba6m3SY,5InzccRssnE,1
pGfIba6m3SY,GgxbeKeIqCc,1
pGfIba6m3SY,2CYRDiV1p54,1
5InzccRssnE,uW4pPcn1ksA,1
5InzccRssnE,27qxGHN_1Jo,1
5InzccRssnE,5RdOwUFNyR0,1
GgxbeKeIqCc,1ZCvjb6TqgI,1
GgxbeKeIqCc,mZbeF3raJkM,2
GgxbeKeIqCc,nGXNnONA_WU,1
GgxbeKeIqCc,pGfIba6m3SY,2
GgxbeKeIqCc,bR58JFHqlTA,1
GgxbeKeIqCc,WMuMX4Gp9yE,1
GgxbeKeIqCc,X9VlEnzsh_M,1
-KQGZa773sI,2O-iLk1G_ng,1
-KQGZa773sI,xMiug2sZ4Io,1
-KQGZa773sI,6G59zsjM2UI,1
TB7dQh_TpUc,uT4JoaQWkkQ,1
TB7dQh_TpUc,xMiug2sZ4Io,1
TB7dQh_TpUc,cTsJTRUaMZ0,1
9SmVVLYgArk,cTsJTRUaMZ0,2
9SmVVLYgArk,h5xqP-aPwOU,3
9SmVVLYgArk,uT4JoaQWkkQ,2
9SmVVLYgArk,8MRYnEjMIPU,1
9SmVVLYgArk,PG6JP12OMPM,1
9SmVVLYgArk,nGXNnONA_WU,1
9SmVVLYgArk,0k6X03XvxWw,1
9SmVVLYgArk,i0lI9IuFjDU,1
9SmVVLYgArk,UBKdNQ4--Pc,1
9SmVVLYgArk,64u0boevHGc,1
9SmVVLYgArk,q4zZ2ker1iI,1
8WHVf578khs,8MRYnEjMIPU,1
8WHVf578khs,nGXNnONA_WU,1
8WHVf578khs,uT4JoaQWkkQ,1
8WHVf578khs,h5xqP-aPwOU,1
8WHVf578khs,PDpCML6UWwE,1
8WHVf578khs,gT26qo__s90,1
1ZCvjb6TqgI,FaYMIwdERRw,1
1ZCvjb6TqgI,mZbeF3raJkM,1
1ZCvjb6TqgI,dPSxPASJP0k,2
1ZCvjb6TqgI,GgxbeKeIqCc,1
1ZCvjb6TqgI,RlQS6quKORU,2
1ZCvjb6TqgI,QFqaBuFtigQ,1
1ZCvjb6TqgI,pGfIba6m3SY,1
1ZCvjb6TqgI,WMuMX4Gp9yE,2
1ZCvjb6TqgI,NSLJ7aMFiNE,2
1ZCvjb6TqgI,ffmhcph_oPs,1
1ZCvjb6TqgI,nGXNnONA_WU,1
mZbeF3raJkM,FkhWK33SMwg,1
mZbeF3raJkM,GgxbeKeIqCc,1
mZbeF3raJkM,pGfIba6m3SY,1
apuygXKOnpI,xMiug2sZ4Io,2
apuygXKOnpI,5Szj5jJeUec,1
apuygXKOnpI,8wLCmDtCDAM,2
apuygXKOnpI,8MRYnEjMIPU,1
apuygXKOnpI,q4zZ2ker1iI,1
apuygXKOnpI,79xQW-jrcKA,1
apuygXKOnpI,y6Ea-Di9DsI,1
5Szj5jJeUec,h5xqP-aPwOU,1
5Szj5jJeUec,egRO9WjrBOQ,1
5Szj5jJeUec,zTtzGhYd0Po,1
5Szj5jJeUec,xwED4v5G3HA,1
5Szj5jJeUec,apuygXKOnpI,1
5Szj5jJeUec,xMiug2sZ4Io,1
8wLCmDtCDAM,9Y18-07g39g,1
8wLCmDtCDAM,nGXNnONA_WU,1
8wLCmDtCDAM,SPN-YJRaOl4,1
ZWiaQA8J5zs,UFYDGKN7HuQ,1
ZWiaQA8J5zs,UBKdNQ4--Pc,1
ZWiaQA8J5zs,By51mqAqbbA,1
ZWiaQA8J5zs,vY4fFsFt-XY,1
ZWiaQA8J5zs,PGTDGhllH8E,1
ZWiaQA8J5zs,79ExQWKb2vA,1
I3g0C0EYNkU,zuq_3jgelZM,1
I3g0C0EYNkU,LrDige52Q5I,1
I3g0C0EYNkU,PW43h8LJJXc,1
E5K5i5Wv7jQ,tDbOMKNg9uw,1
