Id;Genre;Probabilities
NKiMoM0dO1Q;Comedy; {'23': 0.8999999999999999, '20': 0.1}
I_yA295MU_U;Comedy; {'23': 0.7999999999999999, '20': 0.1, '24': 0.1}
kQbrn4pPS3c;Entertainment; {'20': 0.1, '24': 0.1, '23': 0.4, '1': 0.2, '22': 0.2}
1U7M1mEMvsU;Film & Animation; {'23': 0.07777777777777777, '1': 0.025925925925925925, '22': 0.025925925925925932, '2': 0.013580246913580245, '20': 0.0037037037037037043, '24': 0.0012345679012345679}
xfNplafuxz0;Comedy; {'23': 0.13906249999999998, '24': 0.021875000000000002, '20': 0.015624999999999998, '2': 0.0109375, '22': 0.004687500000000001, '1': 0.009375, '10': 0.0015625}
k7nCbjlsLoI;Comedy; {'23': 0.12999999999999998, '20': 0.013333333333333334, '24': 0.013333333333333334, '2': 0.010000000000000002}
2tTOJvw6EQA;Comedy; {'23': 0.09531250000000001, '2': 0.014062499999999999, '1': 0.028125, '24': 0.009375, '20': 0.009375}
nYfbM2awf6U;Comedy; {'23': 0.17499999999999996, '20': 0.025000000000000005, '1': 0.016666666666666666, '24': 0.025000000000000005, '22': 0.008333333333333333}
vXk0bYaTeio;Entertainment; {'24': 0.06666666666666668, '23': 0.17777777777777778, '2': 0.03333333333333334, '1': 0.03333333333333334, '20': 0.022222222222222223}
hVsZZp3wccM;Autos & Vehicles; {'1': 0.008128544423440456, '23': 0.05198487712665405, '20': 0.0003780718336483932, '22': 0.00623818525519849, '27': 0.0001890359168241966, '24': 0.00680529300567108, '10': 0.0017013232514177692, '26': 0.0001890359168241966}
-LGLBZxEd_A;Comedy; {'23': 0.15277777777777776, '1': 0.024999999999999998, '2': 0.027777777777777776, '22': 0.024999999999999998, '24': 0.027777777777777776, '20': 0.01944444444444444}
z1omWTgwtuQ;People & Blogs; {'24': 0.0666666666666667, '23': 0.15555555555555553, '22': 0.06388888888888891, '1': 0.06111111111111112, '2': 0.011111111111111112, '20': 0.030555555555555555}
nQIplI1FocU;Gaming; {'23': 0.042560553633217986, '22': 0.0006920415224913495, '24': 0.0010380622837370245, '2': 0.006574394463667822, '20': 0.004498269896193772, '10': 0.0055363321799307965, '1': 0.004498269896193772, '25': 0.00034602076124567473}
fv6e-RVOQ6s;Entertainment; {'23': 0.4777777777777778, '10': 0.03333333333333334, '22': 0.05555555555555555, '24': 0.09999999999999999, '20': 0.06666666666666667, '2': 0.03333333333333334, '25': 0.011111111111111112}
xl0yN3SuHBk;People & Blogs; {'1': 0.30000000000000004, '24': 0.2, '23': 0.30000000000000004, '22': 0.1, '2': 0.1}
TXAFjhxTafg;Comedy; {'23': 0.11000000000000001, '22': 0.011, '2': 0.002, '20': 0.007999999999999998, '24': 0.0030000000000000005, '1': 0.004, '25': 0.002}
e6zOQQrxo7o;People & Blogs; {'1': 0.064, '24': 0.06000000000000001, '22': 0.016, '23': 0.048, '2': 0.012000000000000002}
SpMkrtXr4b8;Entertainment; {'22': 0.1, '24': 0.7999999999999999, '10': 0.1}
GSLUIW7OnIQ;Entertainment; {'24': 0.6, '1': 0.1, '22': 0.2, '23': 0.1}
XAu1WVtD1Xc;Entertainment; {'10': 0.5, '25': 0.1, '22': 0.2, '24': 0.2}
v4S1vFLr2Dc;Entertainment; {'24': 0.6, '23': 0.1, '10': 0.30000000000000004}
g9VSUAAnI3Q;Comedy; {'2': 0.1, '23': 0.5, '1': 0.1, '20': 0.1, '24': 0.1, '22': 0.1}
u8AILJeugrs;Comedy; {'23': 0.119, '2': 0.015000000000000003, '22': 0.014000000000000002, '1': 0.016000000000000004, '20': 0.005, '24': 0.009, '10': 0.002}
acnvRrpvwlk;Entertainment; {'24': 0.5, '22': 0.2, '10': 0.2, '23': 0.1}
cmgwyxJzeyk;People & Blogs; {'24': 0.6, '10': 0.4}
pKtEJ9-GVoE;Entertainment; {'24': 0.7, '22': 0.1, '10': 0.2}
GHYEBAD_Tas;Entertainment; {'24': 0.7999999999999999, '22': 0.1, '10': 0.1}
aK44gov4ELc;Comedy; {'23': 0.06796875000000001, '24': 0.00390625, '22': 0.002734375, '2': 0.008984375000000003, '20': 0.002734375, '1': 0.00234375, '25': 0.000390625, '10': 0.00078125}
JAcbMztWQho;Entertainment; {'24': 0.8999999999999999, '22': 0.1}
