Id;Genre;Probabilities
NKiMoM0dO1Q;Comedy; {'23': 0.8999999999999999, '20': 0.1}
I_yA295MU_U;Comedy; {'23': 0.7999999999999999, '20': 0.1, '24': 0.1}
kQbrn4pPS3c;Entertainment; {'20': 0.1, '24': 0.1, '23': 0.4, '1': 0.2, '22': 0.2}
1U7M1mEMvsU;Film & Animation; {'23': 0.6999999999999998, '1': 0.23333333333333334, '22': 0.2333333333333334, '2': 0.1222222222222222, '20': 0.03333333333333334, '24': 0.011111111111111112}
xfNplafuxz0;Comedy; {'23': 1.1124999999999998, '24': 0.17500000000000002, '20': 0.12499999999999999, '2': 0.0875, '22': 0.037500000000000006, '1': 0.075, '10': 0.0125}
k7nCbjlsLoI;Comedy; {'23': 0.7799999999999999, '20': 0.08, '24': 0.08, '2': 0.06000000000000001}
2tTOJvw6EQA;Comedy; {'23': 0.7625000000000001, '2': 0.11249999999999999, '1': 0.225, '24': 0.075, '20': 0.075}
nYfbM2awf6U;Comedy; {'23': 0.6999999999999998, '20': 0.10000000000000002, '1': 0.06666666666666667, '24': 0.10000000000000002, '22': 0.03333333333333333}
vXk0bYaTeio;Entertainment; {'24': 0.20000000000000004, '23': 0.5333333333333333, '2': 0.10000000000000002, '1': 0.10000000000000002, '20': 0.06666666666666667}
hVsZZp3wccM;Autos & Vehicles; {'1': 0.1869565217391305, '23': 1.195652173913043, '20': 0.008695652173913044, '22': 0.14347826086956528, '27': 0.004347826086956522, '24': 0.15652173913043485, '10': 0.03913043478260869, '26': 0.004347826086956522}
-LGLBZxEd_A;Comedy; {'23': 0.9166666666666666, '1': 0.15, '2': 0.16666666666666666, '22': 0.15, '24': 0.16666666666666666, '20': 0.11666666666666665}
z1omWTgwtuQ;People & Blogs; {'24': 0.40000000000000013, '23': 0.9333333333333332, '22': 0.38333333333333347, '1': 0.36666666666666675, '2': 0.06666666666666667, '20': 0.18333333333333332}
nQIplI1FocU;Gaming; {'23': 0.7235294117647058, '22': 0.011764705882352941, '24': 0.017647058823529415, '2': 0.11176470588235297, '20': 0.07647058823529412, '10': 0.09411764705882354, '1': 0.07647058823529412, '25': 0.0058823529411764705}
fv6e-RVOQ6s;Entertainment; {'23': 1.4333333333333333, '10': 0.10000000000000002, '22': 0.16666666666666666, '24': 0.3, '20': 0.19999999999999998, '2': 0.10000000000000002, '25': 0.03333333333333333}
xl0yN3SuHBk;People & Blogs; {'1': 0.30000000000000004, '24': 0.2, '23': 0.30000000000000004, '22': 0.1, '2': 0.1}
TXAFjhxTafg;Comedy; {'23': 1.1, '22': 0.10999999999999999, '2': 0.02, '20': 0.07999999999999999, '24': 0.030000000000000006, '1': 0.04, '25': 0.02}
e6zOQQrxo7o;People & Blogs; {'1': 0.32, '24': 0.30000000000000004, '22': 0.08, '23': 0.24, '2': 0.06000000000000001}
SpMkrtXr4b8;Entertainment; {'22': 0.1, '24': 0.7999999999999999, '10': 0.1}
GSLUIW7OnIQ;Entertainment; {'24': 0.6, '1': 0.1, '22': 0.2, '23': 0.1}
XAu1WVtD1Xc;Entertainment; {'10': 0.5, '25': 0.1, '22': 0.2, '24': 0.2}
v4S1vFLr2Dc;Entertainment; {'24': 0.6, '23': 0.1, '10': 0.30000000000000004}
g9VSUAAnI3Q;Comedy; {'2': 0.1, '23': 0.5, '1': 0.1, '20': 0.1, '24': 0.1, '22': 0.1}
u8AILJeugrs;Comedy; {'23': 1.19, '2': 0.15000000000000002, '22': 0.14, '1': 0.16000000000000003, '20': 0.05, '24': 0.09, '10': 0.02}
acnvRrpvwlk;Entertainment; {'24': 0.5, '22': 0.2, '10': 0.2, '23': 0.1}
cmgwyxJzeyk;People & Blogs; {'24': 0.6, '10': 0.4}
pKtEJ9-GVoE;Entertainment; {'24': 0.7, '22': 0.1, '10': 0.2}
GHYEBAD_Tas;Entertainment; {'24': 0.7999999999999999, '22': 0.1, '10': 0.1}
aK44gov4ELc;Comedy; {'23': 1.0875000000000001, '24': 0.0625, '22': 0.04375, '2': 0.14375000000000004, '20': 0.04375, '1': 0.0375, '25': 0.00625, '10': 0.0125}
JAcbMztWQho;Entertainment; {'24': 0.8999999999999999, '22': 0.1}
Hygf6duz30M;Comedy; {'23': 0.7250000000000001, '24': 0.15, '10': 0.1, '2': 0.025}
