Id;Genre;Probabilities
Od1kj8MOMtA;Howto & Style; {'26': 0.7090909090909091, '22': 0.23636363636363641, '24': 0.0909090909090909, '28': 0.05454545454545454}
OJ8V_rzwxh0;Howto & Style; {'26': 0.6333333333333333, '28': 0.20000000000000004, '22': 0.06666666666666667, '24': 0.10000000000000002}
EQ-ZoQU0fOk;People & Blogs; {'26': 0.7999999999999999, '28': 0.1, '22': 0.1}
fYSOpGeFt1U;Howto & Style; {'26': 0.7999999999999999, '24': 0.1, '27': 0.1}
IgHM1FFcmI8;Entertainment; {'24': 0.7, '26': 0.2, '28': 0.1}
qy9N4LFHPao;Entertainment; {'22': 0.30000000000000004, '24': 0.6, '26': 0.1}
DToPhKv2vYM;Howto & Style; {'26': 0.7272727272727273, '22': 0.17272727272727276, '24': 0.0818181818181818, '28': 0.09090909090909091, '27': 0.018181818181818184}
m9SFRJNMaLI;Entertainment; {'24': 0.7999999999999999, '22': 0.1, '28': 0.1}
2u7Lg2Xpx3U;People & Blogs; {'22': 0.7999999999999999, '25': 0.1, '26': 0.1}
pWGViNoitrQ;Entertainment; {'22': 0.5, '2': 0.1, '24': 0.30000000000000004, '26': 0.1}
XWR_U83LBA0;People & Blogs; {'22': 0.5, '26': 0.4, '28': 0.1}
5kexh2c60P0;People & Blogs; {'27': 0.2, '2': 0.1, '22': 0.2, '26': 0.30000000000000004, '24': 0.1, '17': 0.1}
AJq4sANqbWo;People & Blogs; {'22': 0.7999999999999999, '25': 0.2}
4WxmyhpxhZg;Howto & Style; {'26': 0.4, '22': 0.4, '28': 0.2}
fBeOVAmuLZY;Science & Technology; {'28': 0.7999999999999999, '26': 0.2}
1egazaUV-W0;People & Blogs; {'26': 0.4800000000000001, '27': 0.1, '28': 0.5800000000000001, '2': 0.13999999999999999, '22': 0.18, '24': 0.12}
sYAjEyegSaY;Howto & Style; {'26': 0.5, '28': 0.1, '22': 0.1, '24': 0.1, '2': 0.2}
