Source,Target,weight
QHGI2XvYkxc,V_Df39PjkwA,1
QHGI2XvYkxc,BC10STQ4Olk,1
QHGI2XvYkxc,kfzt72aVzvQ,1
V_Df39PjkwA,JqHG1YYV5yI,2
V_Df39PjkwA,TcVmBRcZ92o,2
V_Df39PjkwA,SUQ_gj-biIc,1
V_Df39PjkwA,aGzKSNCU8F8,1
V_Df39PjkwA,s5BJXwNeKsQ,1
V_Df39PjkwA,LpwabPQW4p4,1
V_Df39PjkwA,UQ9NaqjeDGU,1
V_Df39PjkwA,1G9TJk853ps,1
V_Df39PjkwA,u7MwyZnMdYY,1
V_Df39PjkwA,WGnqcAgCZ50,1
WGnqcAgCZ50,V_Df39PjkwA,1
WGnqcAgCZ50,qGzg_n09nJw,1
WGnqcAgCZ50,rloaBoT_fAw,1
aGzKSNCU8F8,H1kyG5nOCOU,1
aGzKSNCU8F8,V_Df39PjkwA,1
aGzKSNCU8F8,6SqF56nj2LU,1
H1kyG5nOCOU,SUQ_gj-biIc,1
H1kyG5nOCOU,6SqF56nj2LU,1
H1kyG5nOCOU,KBZUetjx7jg,1
SUQ_gj-biIc,aGzKSNCU8F8,1
SUQ_gj-biIc,Hg-ct7nALrU,1
SUQ_gj-biIc,2ItbV2_q6Ss,1
SUQ_gj-biIc,KBZUetjx7jg,1
SUQ_gj-biIc,x_hx-VqpNXQ,1
SUQ_gj-biIc,PeEWMnRcrTY,1
6SqF56nj2LU,_hNrsVZnz_w,1
6SqF56nj2LU,Nubi_xJJ1Jg,1
6SqF56nj2LU,Sm2aKIBiAAA,1
KBZUetjx7jg,Vs4iFnpRqDI,1
KBZUetjx7jg,LQO-7BY50qM,1
KBZUetjx7jg,3cxzQZaWRSg,1
JqHG1YYV5yI,7ztjy3kIcMY,1
JqHG1YYV5yI,N7-7HJCXx10,1
JqHG1YYV5yI,49b2hQuRQpU,1
TcVmBRcZ92o,lr1iKrTqa2w,1
TcVmBRcZ92o,hOas0d-fFK8,1
TcVmBRcZ92o,2ymkBEhdHBE,1
s5BJXwNeKsQ,ygfA1A45tn8,1
s5BJXwNeKsQ,xqmFxgEGKH0,1
