Id;Genre;Probabilities
QHGI2XvYkxc;Music; {'10': 0.5, '24': 0.30000000000000004, '22': 0.2}
V_Df39PjkwA;Music; {'10': 0.9249999999999999, '24': 0.07500000000000001}
WGnqcAgCZ50;Music; {'10': 0.6, '22': 0.35000000000000003, '24': 0.05}
aGzKSNCU8F8;Music; {'10': 0.8499999999999999, '22': 0.15000000000000002}
H1kyG5nOCOU;Music; {'10': 0.8999999999999999, '22': 0.1}
SUQ_gj-biIc;Music; {'10': 0.55, '22': 0.30000000000000004, '20': 0.08333333333333333, '23': 0.03333333333333333, '24': 0.016666666666666666, '1': 0.016666666666666666}
6SqF56nj2LU;People & Blogs; {'10': 0.8499999999999999, '24': 0.15000000000000002}
KBZUetjx7jg;Music; {'10': 0.5666666666666667, '24': 0.20000000000000004, '22': 0.13333333333333333, '20': 0.10000000000000002}
JqHG1YYV5yI;Music; {'10': 0.7333333333333333, '24': 0.13333333333333333, '22': 0.13333333333333333}
TcVmBRcZ92o;Music; {'10': 0.7999999999999999, '24': 0.1, '27': 0.05, '25': 0.05}
_hNrsVZnz_w;Music; {'22': 0.2, '10': 0.6, '1': 0.1, '24': 0.1}
Nubi_xJJ1Jg;Music; {'10': 0.7, '23': 0.1, '22': 0.1, '27': 0.1}
Sm2aKIBiAAA;Music; {'10': 0.7999999999999999, '22': 0.1, '24': 0.1}
s5BJXwNeKsQ;Music; {'10': 0.9999999999999999}
ygfA1A45tn8;Music; {'10': 0.7999999999999999, '22': 0.1, '24': 0.1}
1o4s1KVJaVA;Music; {'10': 0.9999999999999998}
EMXvJEB7ue8;Entertainment; {'10': 0.8999999999999999, '24': 0.1}
8AHCfZTRGiI;Music; {'10': 0.6, '27': 0.1, '24': 0.30000000000000004}
xqmFxgEGKH0;Music; {'10': 0.8999999999999999, '22': 0.1}
6SFNW5F8K9Y;Music; {'10': 0.7999999999999999, '20': 0.1, '24': 0.1}
SmaSvB2MIAg;People & Blogs; {'24': 0.2, '10': 0.5, '2': 0.1, '27': 0.1, '22': 0.1}
nDCMK2VPeBA;Music; {'10': 0.8249999999999998, '23': 0.1, '27': 0.07500000000000001}
LpwabPQW4p4;Music; {'22': 0.20000000000000004, '10': 0.7999999999999999}
UMVjToYOjbM;Music; {'10': 0.9999999999999999}
MjUqfRrWwcM;Music; {'10': 0.8999999999999999, '28': 0.1}
2BMT0L714S8;Music; {'10': 0.7999999999999999, '22': 0.2}
zKQfxi8V5FA;Music; {'10': 0.7, '24': 0.2, '23': 0.1}
cs4RG9u8IVU;Music; {'10': 0.9999999999999999}
PTxUgvLpaPo;People & Blogs; {'24': 0.2, '10': 0.6, '22': 0.2}
and0PHmJHc8;People & Blogs; {'22': 0.1, '10': 0.7999999999999999, '23': 0.1}
NR-H2uFCQls;Music; {'10': 0.7, '22': 0.2, '29': 0.1}
YrLk4vdY28Q;Music; {'27': 0.1, '10': 0.7, '17': 0.1, '22': 0.1}
msT4GS_FxHA;Music; {'24': 0.1, '22': 0.4, '29': 0.2, '10': 0.2, '19': 0.1}
6o6zMPLcXZ8;Music; {'22': 0.1, '10': 0.7, '1': 0.1, '24': 0.1}
9iCnUEchJtE;Music; {'10': 0.7999999999999999, '24': 0.1, '27': 0.1}
qGzg_n09nJw;Music; {'10': 0.6, '24': 0.2, '22': 0.1, '17': 0.1}
yfUzIrxszn4;Music; {'22': 0.1, '10': 0.55, '24': 0.2, '1': 0.05, '25': 0.05, '29': 0.05}
Wx9VPfbEY7I;Music; {'24': 0.1, '27': 0.1, '29': 0.1, '10': 0.4, '22': 0.1, '23': 0.1, '25': 0.1}
HEzSDK747yc;Nonprofits & Activism; {'22': 0.15000000000000002, '1': 0.1, '25': 0.2, '10': 0.5, '29': 0.05}
6vHL4gyYjnY;Education; {'24': 0.2, '29': 0.1, '22': 0.1, '27': 0.1, '10': 0.4, '25': 0.1}
yb26D8bBZB8;News & Politics; {'22': 0.13333333333333333, '20': 0.10000000000000002, '10': 0.6666666666666666, '25': 0.06666666666666667, '23': 0.03333333333333333}
Qgob2BUPgUw;Music; {'24': 0.1, '22': 0.30000000000000004, '27': 0.1, '20': 0.1, '10': 0.4}
