Source,Target,weight
bOuEJf8Dr_4,twSvd5bQLDw,1
bOuEJf8Dr_4,VNGFep6rncY,1
bOuEJf8Dr_4,OOG65rSM5fA,1
twSvd5bQLDw,L9UIF852Boo,2
twSvd5bQLDw,9vJRopau0g0,2
twSvd5bQLDw,g6TUZm5wzLs,2
twSvd5bQLDw,bZMJdhe4xhQ,2
twSvd5bQLDw,jOJLx4Du3vU,2
twSvd5bQLDw,JsC9ZHi79jo,1
twSvd5bQLDw,Exf125xEQKY,2
twSvd5bQLDw,MdZAMSyn_As,1
twSvd5bQLDw,4-079YIasck,1
twSvd5bQLDw,wtV5ev6813I,1
twSvd5bQLDw,46dDvcTXxxo,1
twSvd5bQLDw,WwTpfVQgkU0,1
bZMJdhe4xhQ,NWH8N-BvhAw,1
bZMJdhe4xhQ,twSvd5bQLDw,2
bZMJdhe4xhQ,1EHZAQmw2JA,1
bZMJdhe4xhQ,vLFxOOEyhUE,1
bZMJdhe4xhQ,SucvjUnhkGI,1
NWH8N-BvhAw,L9UIF852Boo,1
NWH8N-BvhAw,GwRzjFQa_Og,1
NWH8N-BvhAw,TFbv757kup4,1
L9UIF852Boo,IZLgWQkvIQg,5
L9UIF852Boo,vj-91dMvQQo,3
L9UIF852Boo,--mY5ruEhqI,2
L9UIF852Boo,Lp7E973zozc,3
L9UIF852Boo,H6n3iNh4XLI,2
L9UIF852Boo,wM82hE6oimw,4
L9UIF852Boo,gF5XztmijhQ,2
L9UIF852Boo,KDQrMoksJ4Q,6
L9UIF852Boo,bGBamfWasNQ,1
L9UIF852Boo,8so1WZ4j1oQ,1
L9UIF852Boo,44J3FGYKltI,1
IZLgWQkvIQg,L9UIF852Boo,2
IZLgWQkvIQg,4BZuWrdC-9Q,1
IZLgWQkvIQg,wRVWhFWiIaM,1
IZLgWQkvIQg,Ziwgj5cz0Uc,1
IZLgWQkvIQg,4-079YIasck,1
IZLgWQkvIQg,SEa14Q-KdwY,1
IZLgWQkvIQg,36m1o-tM05g,1
IZLgWQkvIQg,--mY5ruEhqI,1
4BZuWrdC-9Q,JD4O7ama3o8,1
4BZuWrdC-9Q,LnJwH_PZXnM,1
4BZuWrdC-9Q,tGdsOXZpyWE,1
vj-91dMvQQo,SemHh0n19LA,1
vj-91dMvQQo,1EHZAQmw2JA,3
vj-91dMvQQo,H2rG4Dg6xyI,2
vj-91dMvQQo,9vJRopau0g0,1
vj-91dMvQQo,7vZmOF11P9A,1
vj-91dMvQQo,LnJwH_PZXnM,1
vj-91dMvQQo,esPRsT-lmw8,1
vj-91dMvQQo,v1ojZKWfShQ,1
vj-91dMvQQo,sWp87GXDvEk,1
1EHZAQmw2JA,IeblJdB2-Vo,3
1EHZAQmw2JA,55FEuuOpthc,1
1EHZAQmw2JA,MY5SatbZMAo,1
1EHZAQmw2JA,u4ZoJKF_VuA,1
1EHZAQmw2JA,I4svF7J6MWg,1
1EHZAQmw2JA,v1ojZKWfShQ,1
1EHZAQmw2JA,F9b0fi7p3Ts,1
--mY5ruEhqI,4BZuWrdC-9Q,1
--mY5ruEhqI,XOU2ubWkoPw,1
--mY5ruEhqI,8so1WZ4j1oQ,1
--mY5ruEhqI,xp0O2vi8DX4,1
--mY5ruEhqI,IeblJdB2-Vo,1
--mY5ruEhqI,esPRsT-lmw8,1
XOU2ubWkoPw,aoRHq0TQnZM,1
XOU2ubWkoPw,esPRsT-lmw8,1
XOU2ubWkoPw,rkZl2gsLUp4,1
GwRzjFQa_Og,veEQQ-N9xWU,1
GwRzjFQa_Og,rKQLBiylsn8,1
GwRzjFQa_Og,L9UIF852Boo,1
veEQQ-N9xWU,LnJwH_PZXnM,1
veEQQ-N9xWU,L9UIF852Boo,1
veEQQ-N9xWU,4-079YIasck,1
LnJwH_PZXnM,TFbv757kup4,1
LnJwH_PZXnM,pi4JOlMSWjo,2
LnJwH_PZXnM,KDQrMoksJ4Q,3
LnJwH_PZXnM,L9UIF852Boo,1
LnJwH_PZXnM,jOJLx4Du3vU,1
LnJwH_PZXnM,w-HYZv6HzAs,2
LnJwH_PZXnM,Lp7E973zozc,1
LnJwH_PZXnM,4-079YIasck,1
4-079YIasck,lLY76-NBBxQ,2
4-079YIasck,4O2JK_94g3Y,2
4-079YIasck,xnLoToJVQH4,4
4-079YIasck,Lp7E973zozc,1
4-079YIasck,LnJwH_PZXnM,1
4-079YIasck,xk0-yebNA_o,2
4-079YIasck,lo0X2ZdElQ4,2
4-079YIasck,jOJLx4Du3vU,1
4-079YIasck,Yhn1Fe8cT0Q,1
4-079YIasck,ycB29FkoylE,2
4-079YIasck,LNHBMFCzznE,1
4-079YIasck,VaRO5-V1uK0,1
4-079YIasck,vuIlsN32WaE,1
rKQLBiylsn8,bZMJdhe4xhQ,1
rKQLBiylsn8,H2rG4Dg6xyI,1
rKQLBiylsn8,EirlZ7fy3bE,1
Lp7E973zozc,xp0O2vi8DX4,2
Lp7E973zozc,veEQQ-N9xWU,2
Lp7E973zozc,TFbv757kup4,1
Lp7E973zozc,L9UIF852Boo,2
Lp7E973zozc,sWp87GXDvEk,1
Lp7E973zozc,esPRsT-lmw8,1
Lp7E973zozc,RlSwsE22nX0,2
Lp7E973zozc,KDQrMoksJ4Q,2
Lp7E973zozc,JUedQ0_EGCQ,1
Lp7E973zozc,Ep2MAx95m20,1
TFbv757kup4,Lp7E973zozc,3
TFbv757kup4,xnLoToJVQH4,3
TFbv757kup4,njESlZa2b10,1
TFbv757kup4,L9UIF852Boo,1
TFbv757kup4,w-HYZv6HzAs,4
TFbv757kup4,pi4JOlMSWjo,3
TFbv757kup4,bRtBHF-WPpM,2
TFbv757kup4,nirKw3mWB3I,1
TFbv757kup4,Pg3P1U37Avs,1
TFbv757kup4,jOJLx4Du3vU,1
TFbv757kup4,tTb3d5cjSFI,2
TFbv757kup4,JUedQ0_EGCQ,1
TFbv757kup4,ycB29FkoylE,1
xp0O2vi8DX4,LnJwH_PZXnM,1
xp0O2vi8DX4,TQMbvJNRpLE,1
xp0O2vi8DX4,S8yWLA--S8Q,1
xnLoToJVQH4,4-079YIasck,2
