Id;Genre;Probabilities
bOuEJf8Dr_4;Nonprofits & Activism; {'29': 0.9999999999999999}
twSvd5bQLDw;Nonprofits & Activism; {'29': 0.9857142857142857, '28': 0.014285714285714287}
bZMJdhe4xhQ;Nonprofits & Activism; {'29': 0.9999999999999999}
NWH8N-BvhAw;Nonprofits & Activism; {'29': 0.9999999999999999}
L9UIF852Boo;Nonprofits & Activism; {'29': 1.2565217391304346, '28': 0.004347826086956522}
IZLgWQkvIQg;Nonprofits & Activism; {'29': 2.4999999999999996}
4BZuWrdC-9Q;Nonprofits & Activism; {'29': 0.9666666666666665, '22': 0.03333333333333333}
wRVWhFWiIaM;Nonprofits & Activism; {'29': 0.9999999999999999}
vj-91dMvQQo;Nonprofits & Activism; {'29': 1.1428571428571428}
SemHh0n19LA;Nonprofits & Activism; {'29': 0.9999999999999999}
1EHZAQmw2JA;Nonprofits & Activism; {'29': 1.2249999999999999, '27': 0.025}
H2rG4Dg6xyI;Nonprofits & Activism; {'27': 0.09999999999999999, '29': 0.9}
--mY5ruEhqI;Nonprofits & Activism; {'29': 1.1333333333333333, '27': 0.016666666666666666, '26': 0.016666666666666666}
XOU2ubWkoPw;Nonprofits & Activism; {'29': 0.9999999999999999}
8so1WZ4j1oQ;Nonprofits & Activism; {'29': 0.9999999999999999}
GwRzjFQa_Og;Nonprofits & Activism; {'29': 0.8999999999999999, '27': 0.1}
veEQQ-N9xWU;Education; {'29': 0.9999999999999999}
LnJwH_PZXnM;Nonprofits & Activism; {'29': 1.0090909090909093, '27': 0.018181818181818184, '22': 0.06363636363636363}
4-079YIasck;Nonprofits & Activism; {'29': 1.3259259259259255, '27': 0.007407407407407408}
rKQLBiylsn8;Nonprofits & Activism; {'29': 0.9999999999999999}
EirlZ7fy3bE;Nonprofits & Activism; {'29': 0.9999999999999999}
Lp7E973zozc;Nonprofits & Activism; {'27': 0.09999999999999999, '29': 1.1727272727272728}
TFbv757kup4;Nonprofits & Activism; {'29': 1.0200000000000002, '22': 0.10666666666666669, '24': 0.006666666666666667}
xp0O2vi8DX4;Nonprofits & Activism; {'29': 0.9999999999999999}
xnLoToJVQH4;Nonprofits & Activism; {'29': 1.833333333333333}
21j_OCNLuYg;Nonprofits & Activism; {'29': 0.9666666666666667, '27': 0.03333333333333333}
IeblJdB2-Vo;Nonprofits & Activism; {'29': 1.2499999999999998}
njESlZa2b10;Nonprofits & Activism; {'29': 0.9999999999999999}
3dqXHHCc5lA;Nonprofits & Activism; {'29': 0.9999999999999999}
JUedQ0_EGCQ;Nonprofits & Activism; {'29': 0.9999999999999999}
pi4JOlMSWjo;Nonprofits & Activism; {'27': 0.13333333333333333, '29': 1.2}
9vJRopau0g0;Nonprofits & Activism; {'29': 1.2624999999999997, '28': 0.049999999999999996}
g6TUZm5wzLs;Nonprofits & Activism; {'29': 0.8499999999999999, '27': 0.1, '28': 0.05}
55FEuuOpthc;Nonprofits & Activism; {'29': 0.8999999999999999, '27': 0.1}
MY5SatbZMAo;Nonprofits & Activism; {'29': 0.8999999999999999, '26': 0.10000000000000002}
vLFxOOEyhUE;Nonprofits & Activism; {'29': 0.9999999999999999}
f0WCb23KPEw;Nonprofits & Activism; {'27': 0.11249999999999999, '29': 0.9124999999999999, '28': 0.09999999999999999}
55HERZnmHT8;Nonprofits & Activism; {'29': 0.9666666666666667, '27': 0.03333333333333333}
tGdsOXZpyWE;Nonprofits & Activism; {'29': 0.9999999999999999}
jOJLx4Du3vU;Nonprofits & Activism; {'29': 0.9799999999999996, '27': 0.04000000000000001, '25': 0.02, '26': 0.026666666666666665}
M2NHvpM9PWU;Education; {'26': 0.10000000000000002, '29': 0.8333333333333331, '25': 0.06666666666666667}
rPh3c8Sa37M;Nonprofits & Activism; {'29': 0.9999999999999999}
G4UDQnxk_2g;Nonprofits & Activism; {'29': 0.8999999999999999, '28': 0.1}
