Source,Target,weight
5xs2BSGe8Wg,PUPpnigFLCQ,1
5xs2BSGe8Wg,12nw3fMyPKE,1
5xs2BSGe8Wg,BivGTLNElvk,2
5xs2BSGe8Wg,f3Xg8besZs8,1
5xs2BSGe8Wg,WUupTMljhyA,1
BivGTLNElvk,5InzccRssnE,1
BivGTLNElvk,xMiug2sZ4Io,1
BivGTLNElvk,79ExQWKb2vA,1
BivGTLNElvk,x-3e9ujHTEA,1
BivGTLNElvk,GLp9V0HEiwI,1
BivGTLNElvk,WUupTMljhyA,2
BivGTLNElvk,Bv9IqFwn71Y,2
BivGTLNElvk,r-U396SDXwg,1
BivGTLNElvk,Vmixv8Zp9ps,1
BivGTLNElvk,ayfcdomhg_U,1
x-3e9ujHTEA,FkhWK33SMwg,1
x-3e9ujHTEA,qZ5SqOw4s9A,1
x-3e9ujHTEA,5xs2BSGe8Wg,1
FkhWK33SMwg,CMuz9r-CUJc,1
FkhWK33SMwg,EHIKEHCXfjU,1
FkhWK33SMwg,DJZnT3BE_9g,1
FkhWK33SMwg,G3V3e-oYbqY,1
FkhWK33SMwg,JIiNvJxTFEU,1
FkhWK33SMwg,dPSxPASJP0k,2
FkhWK33SMwg,0prW_-H6QGo,1
FkhWK33SMwg,FgMfOJPeV9A,1
FkhWK33SMwg,Z_0iFBJPWoY,2
FkhWK33SMwg,TE32c0-HGvE,1
G3V3e-oYbqY,FkhWK33SMwg,5
G3V3e-oYbqY,V7f6MPmCrLM,1
G3V3e-oYbqY,WUupTMljhyA,1
G3V3e-oYbqY,EbBWwKWxWuU,3
G3V3e-oYbqY,-Zhq7Gi9snk,2
G3V3e-oYbqY,YwwP82d9CpE,1
G3V3e-oYbqY,5InzccRssnE,1
G3V3e-oYbqY,JowIQEYfqEE,2
G3V3e-oYbqY,79ExQWKb2vA,1
G3V3e-oYbqY,BA5lRV1k37M,1
G3V3e-oYbqY,C7W7CEAvAJE,1
G3V3e-oYbqY,oQv_h5JQJHY,1
G3V3e-oYbqY,bm10lJQFxMs,1
DJZnT3BE_9g,uPLoJ3KCNNk,4
DJZnT3BE_9g,NSLJ7aMFiNE,3
DJZnT3BE_9g,VRSrWfeVSG8,7
DJZnT3BE_9g,WdG9HIaAMxY,2
DJZnT3BE_9g,V49ZuOb_Hr0,1
DJZnT3BE_9g,ffmhcph_oPs,4
DJZnT3BE_9g,FgMfOJPeV9A,1
DJZnT3BE_9g,-SGBH88XDCU,4
DJZnT3BE_9g,YwwP82d9CpE,3
DJZnT3BE_9g,x458DceIF_U,1
DJZnT3BE_9g,0prW_-H6QGo,3
DJZnT3BE_9g,Jan2QRtEtkk,2
DJZnT3BE_9g,qTLESZvz3zI,1
DJZnT3BE_9g,rhEeiJyhFCM,1
DJZnT3BE_9g,ayfcdomhg_U,1
DJZnT3BE_9g,Y4YkNlpK7ps,2
DJZnT3BE_9g,_p-2Dq0GYK8,1
DJZnT3BE_9g,5InzccRssnE,2
DJZnT3BE_9g,WUupTMljhyA,1
DJZnT3BE_9g,Oq4xILmPZ9c,1
V7f6MPmCrLM,cZgcpL5ZpN8,1
V7f6MPmCrLM,sVanjSN0jd4,1
V7f6MPmCrLM,FgMfOJPeV9A,1
V7f6MPmCrLM,ybt4wQq5HN8,1
V7f6MPmCrLM,UFYDGKN7HuQ,1
V7f6MPmCrLM,3jILwhennws,1
FgMfOJPeV9A,5InzccRssnE,7
FgMfOJPeV9A,Oq4xILmPZ9c,1
FgMfOJPeV9A,WUupTMljhyA,4
FgMfOJPeV9A,t0lU3zy7hXU,1
FgMfOJPeV9A,bm10lJQFxMs,2
FgMfOJPeV9A,ImGx2yDufIU,1
FgMfOJPeV9A,Bv9IqFwn71Y,3
FgMfOJPeV9A,ffmhcph_oPs,4
FgMfOJPeV9A,NOWnoJiKT-c,1
FgMfOJPeV9A,DJZnT3BE_9g,6
FgMfOJPeV9A,QFqaBuFtigQ,1
FgMfOJPeV9A,fwtzvjDdeLw,4
FgMfOJPeV9A,1SxrMz9GAaI,1
FgMfOJPeV9A,M4LRHJlijVU,1
FgMfOJPeV9A,NSLJ7aMFiNE,2
FgMfOJPeV9A,-SGBH88XDCU,2
FgMfOJPeV9A,GLp9V0HEiwI,1
FgMfOJPeV9A,vQzAxeC4-SA,1
FgMfOJPeV9A,JowIQEYfqEE,2
FgMfOJPeV9A,oh2Sj_QpZOA,1
FgMfOJPeV9A,G4ni3k8ZL8U,1
FgMfOJPeV9A,1ZCvjb6TqgI,1
WUupTMljhyA,bm10lJQFxMs,5
WUupTMljhyA,1ZCvjb6TqgI,4
WUupTMljhyA,ffmhcph_oPs,2
WUupTMljhyA,LhHtchAY4M4,2
WUupTMljhyA,-Zhq7Gi9snk,4
WUupTMljhyA,5InzccRssnE,4
WUupTMljhyA,PUPpnigFLCQ,2
WUupTMljhyA,cfPL48LXI0I,1
WUupTMljhyA,YwwP82d9CpE,1
WUupTMljhyA,V7f6MPmCrLM,1
WUupTMljhyA,iDxqbzqyG_8,1
WUupTMljhyA,Jan2QRtEtkk,1
WUupTMljhyA,FgMfOJPeV9A,4
WUupTMljhyA,DJZnT3BE_9g,1
WUupTMljhyA,GLp9V0HEiwI,2
WUupTMljhyA,FkhWK33SMwg,3
WUupTMljhyA,vpZiqGJLhW0,1
WUupTMljhyA,12nw3fMyPKE,1
WUupTMljhyA,UJBpX-Nk2kk,1
WUupTMljhyA,fwtzvjDdeLw,1
bm10lJQFxMs,1ZCvjb6TqgI,2
bm10lJQFxMs,JfiZNTKw28M,1
bm10lJQFxMs,WUupTMljhyA,2
bm10lJQFxMs,593f62S44U0,1
bm10lJQFxMs,5InzccRssnE,3
bm10lJQFxMs,12nw3fMyPKE,1
bm10lJQFxMs,NSLJ7aMFiNE,3
bm10lJQFxMs,FgMfOJPeV9A,1
bm10lJQFxMs,79ExQWKb2vA,1
bm10lJQFxMs,-SGBH88XDCU,2
bm10lJQFxMs,PUPpnigFLCQ,1
bm10lJQFxMs,cuHKkPnGJ3Q,1
bm10lJQFxMs,LhHtchAY4M4,1
bm10lJQFxMs,cr1C_8K4q6g,1
1ZCvjb6TqgI,5InzccRssnE,1
1ZCvjb6TqgI,GLp9V0HEiwI,3
1ZCvjb6TqgI,FgMfOJPeV9A,1
1ZCvjb6TqgI,fwtzvjDdeLw,1
1ZCvjb6TqgI,ffmhcph_oPs,1
1ZCvjb6TqgI,VyvhGhBtJik,1
1ZCvjb6TqgI,FkhWK33SMwg,1
ffmhcph_oPs,DJZnT3BE_9g,6
ffmhcph_oPs,5eY78cl6J5Y,3
ffmhcph_oPs,gQzcZlLvoKQ,5
ffmhcph_oPs,Oq4xILmPZ9c,1
ffmhcph_oPs,nHlqiChzcsk,1
ffmhcph_oPs,ImGx2yDufIU,1
ffmhcph_oPs,x458DceIF_U,5
ffmhcph_oPs,5InzccRssnE,3
ffmhcph_oPs,FgMfOJPeV9A,3
ffmhcph_oPs,1SxrMz9GAaI,4
ffmhcph_oPs,WUupTMljhyA,4
JIiNvJxTFEU,YwwP82d9CpE,1
JIiNvJxTFEU,TE32c0-HGvE,1
JIiNvJxTFEU,9DIGyi6kIkg,1
YwwP82d9CpE,V49ZuOb_Hr0,2
YwwP82d9CpE,PUPpnigFLCQ,1
YwwP82d9CpE,5InzccRssnE,1
YwwP82d9CpE,V7f6MPmCrLM,1
YwwP82d9CpE,uPLoJ3KCNNk,1
YwwP82d9CpE,oh2Sj_QpZOA,1
YwwP82d9CpE,GLp9V0HEiwI,1
YwwP82d9CpE,58lfaMFUQc0,1
V49ZuOb_Hr0,T0622bg-FQY,2
V49ZuOb_Hr0,MyTmqyg9AGQ,1
V49ZuOb_Hr0,2b5C6Xp3pwA,2
V49ZuOb_Hr0,JscInCk56YY,1
V49ZuOb_Hr0,2HFSaxIsJCE,1
V49ZuOb_Hr0,tOjH-yoEJe0,2
PUPpnigFLCQ,76xRkWhCbe8,4
PUPpnigFLCQ,IQSetW0suH0,1
PUPpnigFLCQ,VdelZ-iVogI,1
PUPpnigFLCQ,KK9zEYMQwWU,1
PUPpnigFLCQ,cwMg8QSdUIM,2
PUPpnigFLCQ,bpHVxNEyPcA,5
PUPpnigFLCQ,cKViwYQqZ4w,1
PUPpnigFLCQ,0JwqvRHVOAQ,3
PUPpnigFLCQ,TOko1mG2DGI,2
PUPpnigFLCQ,GLp9V0HEiwI,1
PUPpnigFLCQ,KvQ7LZZkq_Q,2
PUPpnigFLCQ,lJw-_9JSjJY,1
PUPpnigFLCQ,TTmCMRVSplw,1
PUPpnigFLCQ,Uh9r2yPPo8k,1
PUPpnigFLCQ,3iWy29qr_ME,1
5InzccRssnE,12nw3fMyPKE,1
5InzccRssnE,WUupTMljhyA,3
5InzccRssnE,Up-JCwvBHnM,2
5InzccRssnE,LhHtchAY4M4,4
5InzccRssnE,vQzAxeC4-SA,2
5InzccRssnE,PUPpnigFLCQ,4
5InzccRssnE,-SGBH88XDCU,4
5InzccRssnE,UJBpX-Nk2kk,3
5InzccRssnE,1ZCvjb6TqgI,2
5InzccRssnE,FgMfOJPeV9A,3
5InzccRssnE,NSLJ7aMFiNE,3
5InzccRssnE,fwtzvjDdeLw,6
5InzccRssnE,ffmhcph_oPs,6
5InzccRssnE,dPSxPASJP0k,3
5InzccRssnE,cuZq6nqohT8,3
5InzccRssnE,DJZnT3BE_9g,2
5InzccRssnE,c8qjgmJzNl8,1
5InzccRssnE,cuHKkPnGJ3Q,4
5InzccRssnE,jDdeJ8S1_NM,1
5InzccRssnE,UsYM-s6JuwE,3
5InzccRssnE,_p-2Dq0GYK8,1
5InzccRssnE,V7f6MPmCrLM,1
5InzccRssnE,UBKdNQ4--Pc,1
5InzccRssnE,bm10lJQFxMs,1
5InzccRssnE,79ExQWKb2vA,1
5InzccRssnE,q4zZ2ker1iI,1
TE32c0-HGvE,5InzccRssnE,2
TE32c0-HGvE,WUupTMljhyA,1
TE32c0-HGvE,uPLoJ3KCNNk,2
TE32c0-HGvE,DJZnT3BE_9g,1
uPLoJ3KCNNk,5InzccRssnE,3
uPLoJ3KCNNk,W3NTAImpNBQ,1
uPLoJ3KCNNk,593f62S44U0,1
uPLoJ3KCNNk,NSLJ7aMFiNE,2
uPLoJ3KCNNk,h5xqP-aPwOU,1
uPLoJ3KCNNk,YwwP82d9CpE,2
uPLoJ3KCNNk,WdG9HIaAMxY,1
uPLoJ3KCNNk,DJZnT3BE_9g,1
9DIGyi6kIkg,YwwP82d9CpE,1
9DIGyi6kIkg,5InzccRssnE,1
9DIGyi6kIkg,JIiNvJxTFEU,1
dPSxPASJP0k,WUupTMljhyA,2
dPSxPASJP0k,WXa8-EmOVsg,2
dPSxPASJP0k,cuZq6nqohT8,2
dPSxPASJP0k,PUPpnigFLCQ,1
dPSxPASJP0k,V7f6MPmCrLM,1
dPSxPASJP0k,5InzccRssnE,2
dPSxPASJP0k,ffmhcph_oPs,1
dPSxPASJP0k,UJBpX-Nk2kk,1
LhHtchAY4M4,cuHKkPnGJ3Q,1
LhHtchAY4M4,NSLJ7aMFiNE,1
LhHtchAY4M4,bm10lJQFxMs,1
-Zhq7Gi9snk,g3srLYzwvY0,1
-Zhq7Gi9snk,UjqkWSwuGQU,1
-Zhq7Gi9snk,V49ZuOb_Hr0,1
-Zhq7Gi9snk,DJZnT3BE_9g,1
-Zhq7Gi9snk,VRSrWfeVSG8,1
-Zhq7Gi9snk,GIlUoCUcR4I,1
WXa8-EmOVsg,9-igXDyuNkI,1
WXa8-EmOVsg,rzDmuDd_vXk,1
WXa8-EmOVsg,anXw45gLLpY,1
WXa8-EmOVsg,DJZnT3BE_9g,1
WXa8-EmOVsg,GGFuZxW0zys,1
WXa8-EmOVsg,5InzccRssnE,1
9-igXDyuNkI,KvMyR78GPcg,1
9-igXDyuNkI,Oq4xILmPZ9c,1
9-igXDyuNkI,AQgzcHQc0F0,1
anXw45gLLpY,5InzccRssnE,1
anXw45gLLpY,pL6xbCiiIlo,1
anXw45gLLpY,WUupTMljhyA,1
cuZq6nqohT8,2HFSaxIsJCE,1
cuZq6nqohT8,esM90ipkHHY,2
cuZq6nqohT8,ODFfZTfFNXY,1
cuZq6nqohT8,aVAf7eCpMC4,1
cuZq6nqohT8,Qg5NN4fG-HE,1
cuZq6nqohT8,JELnwRDm74c,2
cuZq6nqohT8,fQApPJAULMg,1
cuZq6nqohT8,8AzayWIctgk,1
cuZq6nqohT8,qzv6EhE7Cbo,1
cuZq6nqohT8,CNmnmdtcdcg,1
2HFSaxIsJCE,jZ7Bu_SDJgM,1
2HFSaxIsJCE,cuZq6nqohT8,1
2HFSaxIsJCE,OXa_htQFP6k,1
2HFSaxIsJCE,eYY5l5yTDhQ,1
2HFSaxIsJCE,cos8QqFegO4,1
2HFSaxIsJCE,eU4FItei9XY,1
esM90ipkHHY,MwELyyGE5Ls,1
esM90ipkHHY,0lY5spR1ivk,1
esM90ipkHHY,w9DhdTaw9qs,1
qZ5SqOw4s9A,s01ZL5TnBNY,1
qZ5SqOw4s9A,FgMfOJPeV9A,1
qZ5SqOw4s9A,UsYM-s6JuwE,1
s01ZL5TnBNY,Iipyl3fCuq0,1
s01ZL5TnBNY,fwtzvjDdeLw,1
s01ZL5TnBNY,A4eLwceKtpg,1
Iipyl3fCuq0,UwvABEH0hj8,1
Iipyl3fCuq0,s01ZL5TnBNY,1
Iipyl3fCuq0,kGw8idM2nBE,1
fwtzvjDdeLw,GLAwqEXx-aM,1
fwtzvjDdeLw,V7f6MPmCrLM,1
fwtzvjDdeLw,ffmhcph_oPs,1
fwtzvjDdeLw,grEKolD1CFc,2
fwtzvjDdeLw,bkPtXN76RiA,6
fwtzvjDdeLw,VRSrWfeVSG8,2
fwtzvjDdeLw,1ZCvjb6TqgI,1
fwtzvjDdeLw,FgMfOJPeV9A,1
fwtzvjDdeLw,5InzccRssnE,2
fwtzvjDdeLw,WUupTMljhyA,2
fwtzvjDdeLw,G3V3e-oYbqY,3
fwtzvjDdeLw,kkKFATKOrA4,1
fwtzvjDdeLw,NSLJ7aMFiNE,1
A4eLwceKtpg,5rx7mhXmCkk,1
A4eLwceKtpg,JowIQEYfqEE,1
A4eLwceKtpg,Ilvl_8g38xg,1
JowIQEYfqEE,dVfyOS1RqKM,1
JowIQEYfqEE,x0yqLSmz8VU,1
JowIQEYfqEE,x458DceIF_U,1
12nw3fMyPKE,WUupTMljhyA,1
12nw3fMyPKE,5InzccRssnE,2
12nw3fMyPKE,NPuUcX88DTQ,1
12nw3fMyPKE,FgMfOJPeV9A,1
12nw3fMyPKE,GLp9V0HEiwI,1
Up-JCwvBHnM,fwtzvjDdeLw,1
Up-JCwvBHnM,FgMfOJPeV9A,1
Up-JCwvBHnM,dPSxPASJP0k,1
Oq4xILmPZ9c,h5xqP-aPwOU,1
Oq4xILmPZ9c,79ExQWKb2vA,1
Oq4xILmPZ9c,RerKFYCVFVY,1
Oq4xILmPZ9c,2KK-xveGbPg,1
Oq4xILmPZ9c,5InzccRssnE,1
Oq4xILmPZ9c,rhEeiJyhFCM,1
Oq4xILmPZ9c,ImGx2yDufIU,1
Oq4xILmPZ9c,oQv_h5JQJHY,1
Oq4xILmPZ9c,nHlqiChzcsk,1
Oq4xILmPZ9c,GLp9V0HEiwI,1
Oq4xILmPZ9c,xqOvyyT7K-U,1
Oq4xILmPZ9c,FgMfOJPeV9A,1
h5xqP-aPwOU,9D7zQP0XPZA,1
h5xqP-aPwOU,TXnHT1aRD7k,1
h5xqP-aPwOU,cTsJTRUaMZ0,1
79ExQWKb2vA,vm-4HS2khTw,1
79ExQWKb2vA,cuZq6nqohT8,1
79ExQWKb2vA,OOf_WPwZ_X4,1
UsYM-s6JuwE,5InzccRssnE,1
UsYM-s6JuwE,3M4QZJxb9Dw,2
UsYM-s6JuwE,-oAhmQCLNsE,2
UsYM-s6JuwE,_QmH6VPY_yE,1
vQzAxeC4-SA,UjqkWSwuGQU,1
vQzAxeC4-SA,kkKFATKOrA4,2
vQzAxeC4-SA,5InzccRssnE,2
vQzAxeC4-SA,FgMfOJPeV9A,1
vQzAxeC4-SA,ImGx2yDufIU,1
vQzAxeC4-SA,fwtzvjDdeLw,1
vQzAxeC4-SA,_p-2Dq0GYK8,1
3M4QZJxb9Dw,1ZCvjb6TqgI,1
3M4QZJxb9Dw,ImGx2yDufIU,1
3M4QZJxb9Dw,kGoWpcIdfds,1
3M4QZJxb9Dw,79ExQWKb2vA,1
3M4QZJxb9Dw,CMdFT0-glA8,1
3M4QZJxb9Dw,5InzccRssnE,1
ImGx2yDufIU,QFqaBuFtigQ,1
ImGx2yDufIU,DJZnT3BE_9g,1
ImGx2yDufIU,VyvhGhBtJik,1
ImGx2yDufIU,WUupTMljhyA,1
ImGx2yDufIU,ffmhcph_oPs,1
ImGx2yDufIU,UjqkWSwuGQU,1
-oAhmQCLNsE,QFqaBuFtigQ,1
-oAhmQCLNsE,unI0V_54mY8,1
-oAhmQCLNsE,xMiug2sZ4Io,1
-oAhmQCLNsE,FgMfOJPeV9A,1
-oAhmQCLNsE,UsYM-s6JuwE,1
-oAhmQCLNsE,JOEF5m6GaGs,1
QFqaBuFtigQ,FrMOlOA7F3E,2
QFqaBuFtigQ,fwtzvjDdeLw,1
QFqaBuFtigQ,ImGx2yDufIU,1
QFqaBuFtigQ,DJZnT3BE_9g,1
QFqaBuFtigQ,5InzccRssnE,1
xMiug2sZ4Io,5Szj5jJeUec,1
xMiug2sZ4Io,PhO-87wwLJs,1
xMiug2sZ4Io,R_Du_wF9wUw,1
76xRkWhCbe8,bpHVxNEyPcA,1
76xRkWhCbe8,2pDw8C8965I,1
76xRkWhCbe8,RBco7PVuPDI,1
76xRkWhCbe8,PUPpnigFLCQ,1
76xRkWhCbe8,Ygf5xthGDfI,1
76xRkWhCbe8,MdmG-SI52TA,1
bpHVxNEyPcA,zxU1fZCH2Yk,1
bpHVxNEyPcA,6F-gDg6zpPg,1
bpHVxNEyPcA,7uxsk9P1IDA,2
bpHVxNEyPcA,QantlyY4J9M,1
bpHVxNEyPcA,hUP7FZbgTlk,1
IQSetW0suH0,FgMfOJPeV9A,1
IQSetW0suH0,lJw-_9JSjJY,1
IQSetW0suH0,GLp9V0HEiwI,1
lJw-_9JSjJY,tTH60ClA4b4,1
lJw-_9JSjJY,FNpoUNrvk2w,1
lJw-_9JSjJY,x83SDUhaiyU,1
lJw-_9JSjJY,7uxsk9P1IDA,1
lJw-_9JSjJY,GLp9V0HEiwI,1
lJw-_9JSjJY,YGQOibqVCp8,1
GLp9V0HEiwI,_Pz2v1pZTWU,6
GLp9V0HEiwI,hUP7FZbgTlk,3
GLp9V0HEiwI,QantlyY4J9M,4
GLp9V0HEiwI,b7XQ838rVjs,3
GLp9V0HEiwI,Mm1d7Ww4KdM,1
GLp9V0HEiwI,lJw-_9JSjJY,1
GLp9V0HEiwI,tTH60ClA4b4,4
GLp9V0HEiwI,9Vb7W1Ztglg,2
GLp9V0HEiwI,YGQOibqVCp8,3
GLp9V0HEiwI,Q9cB6uW1Jkc,1
GLp9V0HEiwI,7uxsk9P1IDA,3
GLp9V0HEiwI,-4A3lQBM80o,1
GLp9V0HEiwI,wGY0t4Qu-iM,1
GLp9V0HEiwI,VfSvB_eHrFo,1
GLp9V0HEiwI,muhnO2rbrt8,1
GLp9V0HEiwI,_sRTUphexVc,1
VdelZ-iVogI,PUPpnigFLCQ,1
VdelZ-iVogI,dG4o_ytdzRo,1
VdelZ-iVogI,yEwsBrFPoq8,1
-SGBH88XDCU,XRNmlpN5TWA,2
-SGBH88XDCU,1ZCvjb6TqgI,1
-SGBH88XDCU,cuHKkPnGJ3Q,1
-SGBH88XDCU,5InzccRssnE,3
-SGBH88XDCU,kkKFATKOrA4,1
-SGBH88XDCU,12nw3fMyPKE,2
-SGBH88XDCU,WUupTMljhyA,1
-SGBH88XDCU,VEF2Fjc4QeE,1
UJBpX-Nk2kk,LhHtchAY4M4,1
UJBpX-Nk2kk,5InzccRssnE,1
UJBpX-Nk2kk,WUupTMljhyA,1
NPuUcX88DTQ,FkhWK33SMwg,1
NPuUcX88DTQ,bm10lJQFxMs,1
NPuUcX88DTQ,kkKFATKOrA4,1
kkKFATKOrA4,XRNmlpN5TWA,1
kkKFATKOrA4,VRSrWfeVSG8,1
kkKFATKOrA4,bm10lJQFxMs,1
b7XQ838rVjs,2i64rIKn7SI,1
b7XQ838rVjs,_ZmRweOnsic,1
b7XQ838rVjs,Om4Ij3BMAK8,1
b7XQ838rVjs,JpWHzqprAFo,1
b7XQ838rVjs,QantlyY4J9M,1
