Id;Genre;Probabilities
5xs2BSGe8Wg;News & Politics; {'25': 0.75, '2': 0.15000000000000002, '27': 0.1}
BivGTLNElvk;News & Politics; {'25': 0.04687499999999999, '2': 0.003125, '22': 0.004687500000000001, '27': 0.0078125}
x-3e9ujHTEA;News & Politics; {'25': 0.8999999999999999, '10': 0.1}
FkhWK33SMwg;News & Politics; {'25': 0.02455418381344307, '2': 0.00013717421124828533}
G3V3e-oYbqY;News & Politics; {'25': 0.03981481481481482, '24': 0.0013888888888888892, '27': 0.000462962962962963}
CMuz9r-CUJc;News & Politics; {'25': 0.5, '24': 0.1, '22': 0.1, '17': 0.1, '28': 0.1, '23': 0.1}
EHIKEHCXfjU;News & Politics; {'25': 0.8999999999999999, '22': 0.1}
DJZnT3BE_9g;News & Politics; {'25': 0.0038781163434903035, '24': 0.00020411138649948976, '26': 0.00027700831024930756, '27': 1.457938474996355e-05}
V7f6MPmCrLM;News & Politics; {'25': 0.023809523809523808, '27': 0.0003527336860670194, '15': 0.0001763668430335097, '2': 0.0003527336860670194}
cZgcpL5ZpN8;News & Politics; {'25': 0.9999999999999999}
sVanjSN0jd4;News & Politics; {'25': 0.7, '27': 0.1, '24': 0.2}
FgMfOJPeV9A;News & Politics; {'25': 0.0023075810185185183, '28': 2.1701388888888893e-05, '29': 1.4467592592592593e-05, '24': 5.0636574074074066e-05, '27': 2.1701388888888893e-05, '2': 1.4467592592592593e-05, '26': 1.4467592592592593e-05, '10': 7.2337962962962966e-06, '22': 7.2337962962962966e-06}
WUupTMljhyA;News & Politics; {'25': 0.002567997685185184, '2': 5.0636574074074066e-05, '27': 8.680555555555556e-05, '24': 3.616898148148148e-05, '29': 7.2337962962962966e-06}
bm10lJQFxMs;News & Politics; {'25': 0.014900000000000002, '27': 0.0017000000000000006, '22': 0.00030000000000000003, '26': 0.0001}
1ZCvjb6TqgI;News & Politics; {'25': 0.011700000000000002, '27': 0.0012000000000000001, '2': 0.0009999999999999998, '24': 0.0001}
ffmhcph_oPs;News & Politics; {'25': 0.003549999999999999, '27': 0.0003250000000000001, '29': 2.5e-05, '22': 2.5e-05, '24': 7.500000000000001e-05}
JIiNvJxTFEU;News & Politics; {'25': 0.10555555555555556, '22': 0.005555555555555556}
YwwP82d9CpE;News & Politics; {'25': 0.005208333333333333, '27': 0.0016203703703703708, '24': 0.0006944444444444445, '2': 0.0006944444444444445, '26': 0.0004050925925925925, '10': 5.787037037037037e-05}
V49ZuOb_Hr0;Entertainment; {'24': 0.0328125, '22': 0.004687500000000001, '27': 0.0015625, '1': 0.0078125, '10': 0.0015625, '23': 0.0015625, '15': 0.004687500000000001, '17': 0.004687500000000001, '25': 0.003125}
PUPpnigFLCQ;Education; {'27': 0.0037667410714285715, '28': 0.0022042410714285714, '26': 0.003906250000000001, '2': 0.0014787946428571428, '24': 0.0011718750000000002, '25': 2.7901785714285717e-05}
5InzccRssnE;News & Politics; {'25': 0.001499846954392408, '27': 9.182736455463732e-05, '22': 8.347942232239754e-06, '2': 1.3913237053732921e-05, '10': 5.5652948214931685e-06, '24': 1.6695884464479505e-05, '26': 2.7826474107465842e-06, '29': 2.7826474107465842e-06}
TE32c0-HGvE;News & Politics; {'25': 0.06249999999999999}
uPLoJ3KCNNk;News & Politics; {'25': 0.03472222222222222, '2': 0.007870370370370371, '27': 0.003703703703703704}
9DIGyi6kIkg;News & Politics; {'25': 0.9999999999999999}
dPSxPASJP0k;News & Politics; {'25': 0.044000000000000004, '24': 0.0048000000000000004, '26': 0.0032, '10': 0.0008, '27': 0.0008, '22': 0.0008, '17': 0.0008, '2': 0.0008}
LhHtchAY4M4;News & Politics; {'25': 0.03981481481481482, '24': 0.000925925925925926, '17': 0.000462962962962963, '27': 0.000462962962962963}
-Zhq7Gi9snk;News & Politics; {'25': 0.10937499999999997, '24': 0.010937500000000001, '27': 0.0015625, '2': 0.003125}
WXa8-EmOVsg;News & Politics; {'25': 0.8999999999999999, '24': 0.05, '26': 0.05}
9-igXDyuNkI;News & Politics; {'25': 0.02333333333333333, '24': 0.002777777777777778, '26': 0.0011111111111111111, '27': 0.0005555555555555556}
rzDmuDd_vXk;News & Politics; {'25': 0.7999999999999999, '24': 0.1, '28': 0.1}
anXw45gLLpY;News & Politics; {'25': 0.052083333333333336, '26': 0.008333333333333333, '27': 0.0020833333333333333}
cuZq6nqohT8;Entertainment; {'22': 0.01337448559670782, '10': 0.006378600823045268, '24': 0.022016460905349793, '23': 0.009259259259259259, '15': 0.0012345679012345677, '27': 0.0012345679012345679}
2HFSaxIsJCE;Pets & Animals; {'15': 0.042361111111111106, '22': 0.003472222222222222, '27': 0.0062499999999999995, '1': 0.0006944444444444445, '26': 0.0006944444444444445, '24': 0.0020833333333333337}
esM90ipkHHY;People & Blogs; {'1': 0.2, '24': 0.6499999999999999, '10': 0.05, '15': 0.1}
