Id;Genre;Probabilities
kabsFD3X4Gs;Sports; {'22': 0.30000000000000004, '17': 0.6499999999999999, '24': 0.05}
FR3kYWZ-274;Sports; {'17': 0.7, '24': 0.15999999999999998, '22': 0.13999999999999999}
h8nsRyEhDJA;Sports; {'17': 0.7666666666666666, '22': 0.10000000000000002, '24': 0.13333333333333333}
GZrKHf8O8zI;Sports; {'17': 0.7999999999999999, '22': 0.1, '27': 0.1}
bYJPswt6S8g;People & Blogs; {'24': 0.15714285714285717, '17': 0.5, '22': 0.4714285714285714, '20': 0.014285714285714287}
Lgu6-CWGUhs;Entertainment; {'17': 0.5, '24': 0.43333333333333335, '22': 0.06666666666666667}
J0SD9-_zLVM;People & Blogs; {'22': 0.5285714285714286, '17': 0.6428571428571429, '24': 0.1142857142857143}
3qH440xVOmI;Entertainment; {'22': 0.3, '17': 0.6, '24': 0.10000000000000002}
fxAzeuobV7k;Sports; {'17': 0.6, '22': 0.1, '24': 0.30000000000000004}
b5G71XWQ72Q;Sports; {'17': 0.9777777777777776, '22': 0.23333333333333334, '24': 0.011111111111111112}
ih97Stt-S0g;Entertainment; {'24': 0.30000000000000004, '22': 0.2, '27': 0.1, '17': 0.4}
E7xqJ89wy6w;Entertainment; {'17': 0.4, '22': 0.4, '24': 0.2}
69qUeLtzhOA;People & Blogs; {'22': 0.5166666666666666, '17': 0.31666666666666665, '24': 0.15, '20': 0.016666666666666666}
53gEN4M1IqI;Sports; {'17': 0.6, '24': 0.2, '22': 0.2}
gDIuFyJclk4;Sports; {'17': 0.6, '24': 0.2, '22': 0.2}
qsHJ3LvUWTs;Education; {'28': 0.15000000000000002, '22': 0.1, '27': 0.5, '25': 0.25}
q4zZ2ker1iI;News & Politics; {'24': 0.1, '27': 0.7, '25': 0.1, '28': 0.05, '22': 0.05}
ZmR2c8pSVJ8;Education; {'24': 0.1, '22': 0.1, '27': 0.30000000000000004, '1': 0.1, '28': 0.30000000000000004, '29': 0.1}
