Source,Target,weight
lGRcf7mi-Uc,MSPdvM4eQ5A,1
lGRcf7mi-Uc,JBYrNfVnG5w,1
lGRcf7mi-Uc,usb4QrK2VhU,1
lGRcf7mi-Uc,rvLFEh7V18A,1
lGRcf7mi-Uc,LWPZfwe1Sj0,1
lGRcf7mi-Uc,vjhdLwEq_wU,1
MSPdvM4eQ5A,eKzGaJZ0a-Y,1
MSPdvM4eQ5A,dJToSyr4yvM,2
MSPdvM4eQ5A,58rSKVOxvDg,2
MSPdvM4eQ5A,bEpPSldISJo,1
MSPdvM4eQ5A,SIqv8zabKZs,2
MSPdvM4eQ5A,UqycqI89sAo,1
MSPdvM4eQ5A,wwD2TmQlXzE,1
MSPdvM4eQ5A,sofIu3gokFg,1
MSPdvM4eQ5A,3zcdViww_vI,1
bEpPSldISJo,1RcDyAG6PCM,1
bEpPSldISJo,CSldSwP_mnc,1
bEpPSldISJo,vjhdLwEq_wU,1
1RcDyAG6PCM,UocYHtuzWZA,1
1RcDyAG6PCM,DXEWdp6FoVg,1
1RcDyAG6PCM,qziMcgOw2sc,1
UocYHtuzWZA,pXDx6DjNLDU,1
UocYHtuzWZA,6Zvaa3D1Wsw,1
UocYHtuzWZA,58rSKVOxvDg,1
pXDx6DjNLDU,vDhA3f_uSl8,1
pXDx6DjNLDU,DPZzrlFCD_I,1
pXDx6DjNLDU,ybPgmjTRvMo,2
pXDx6DjNLDU,osUTMnDFV30,1
pXDx6DjNLDU,UqycqI89sAo,1
vDhA3f_uSl8,hKoQ6pApSMc,1
vDhA3f_uSl8,jlXXHxWxg08,2
vDhA3f_uSl8,ZL7HtP8waFw,3
vDhA3f_uSl8,-RuoXK2NElM,1
vDhA3f_uSl8,a6lEyglku1M,4
vDhA3f_uSl8,egHL3l96fqc,2
vDhA3f_uSl8,YZ4W964hocA,1
vDhA3f_uSl8,KvIl8mjMTsE,2
vDhA3f_uSl8,eIH-1Sxx56M,1
vDhA3f_uSl8,oL34MsbkNOo,2
vDhA3f_uSl8,OHiBSnoqh60,1
vDhA3f_uSl8,NQ_qvtpDDZ0,1
ybPgmjTRvMo,P_6my53IlxY,1
ybPgmjTRvMo,kTJczUoc26U,1
ybPgmjTRvMo,6qZWMNW7GmE,1
6Zvaa3D1Wsw,58rSKVOxvDg,1
6Zvaa3D1Wsw,vDhA3f_uSl8,1
6Zvaa3D1Wsw,T78YFmrY6XI,1
58rSKVOxvDg,LAOFLU6vSr4,1
58rSKVOxvDg,7GlQKMyXNik,2
58rSKVOxvDg,osUTMnDFV30,2
58rSKVOxvDg,QTxoDSAe7yw,1
LAOFLU6vSr4,58rSKVOxvDg,1
LAOFLU6vSr4,CNqzl92f5FY,1
LAOFLU6vSr4,LGUHUSmdwhs,1
osUTMnDFV30,SjJulcvTA7Y,1
osUTMnDFV30,cUzklzVXJwo,1
osUTMnDFV30,23e4PhF9e30,1
DXEWdp6FoVg,Z4ngm_Na2Gk,1
DXEWdp6FoVg,dJToSyr4yvM,1
DXEWdp6FoVg,vDhA3f_uSl8,1
Z4ngm_Na2Gk,Zb7PZnRKYWQ,1
Z4ngm_Na2Gk,X8vDIhLz-J8,1
Z4ngm_Na2Gk,dJToSyr4yvM,1
dJToSyr4yvM,UqycqI89sAo,1
dJToSyr4yvM,8NYiqIGZBgI,1
dJToSyr4yvM,bEpPSldISJo,1
UqycqI89sAo,Qpn-G-OFbkM,2
UqycqI89sAo,4DW0KjZFIUE,1
UqycqI89sAo,oRgEHtCqO9o,3
UqycqI89sAo,a5vg_Yi42Ok,1
UqycqI89sAo,pXDx6DjNLDU,1
UqycqI89sAo,CT4itvXTfj0,1
8NYiqIGZBgI,SIqv8zabKZs,1
8NYiqIGZBgI,69Or111IAhw,1
8NYiqIGZBgI,EVlT80tLdGk,1
hKoQ6pApSMc,S2QGULE5wnc,1
hKoQ6pApSMc,8kVXGfKIk9I,1
hKoQ6pApSMc,vDhA3f_uSl8,1
jlXXHxWxg08,6kf1oGXks5g,1
jlXXHxWxg08,KvIl8mjMTsE,2
jlXXHxWxg08,94l272tK_Xk,1
jlXXHxWxg08,NSVPScTt5bs,1
jlXXHxWxg08,ewZzzoahmLY,1
qziMcgOw2sc,MSPdvM4eQ5A,1
qziMcgOw2sc,wyBimQmMZMo,1
qziMcgOw2sc,LmpuerlbJu0,1
eKzGaJZ0a-Y,CSldSwP_mnc,1
eKzGaJZ0a-Y,sofIu3gokFg,1
eKzGaJZ0a-Y,8kVXGfKIk9I,1
eKzGaJZ0a-Y,oRgEHtCqO9o,1
eKzGaJZ0a-Y,3zcdViww_vI,1
eKzGaJZ0a-Y,MSPdvM4eQ5A,1
eKzGaJZ0a-Y,YZ4W964hocA,1
eKzGaJZ0a-Y,FmzfHIJnrmM,1
eKzGaJZ0a-Y,pHSYs82ZSI0,1
wyBimQmMZMo,UqycqI89sAo,1
wyBimQmMZMo,t4P_PKu6Wa8,1
wyBimQmMZMo,8Xfz09IJTYY,1
8Xfz09IJTYY,K2XMuj3LimI,1
8Xfz09IJTYY,oRgEHtCqO9o,1
8Xfz09IJTYY,_ECHJsBeOzI,1
LmpuerlbJu0,lXfEK8G8CUI,1
LmpuerlbJu0,xaQJbozY_Is,1
LmpuerlbJu0,zJtJH46dyDE,1
zJtJH46dyDE,4mm0KyaovhY,1
zJtJH46dyDE,osUTMnDFV30,1
zJtJH46dyDE,c-2Tjm2M2cg,1
CSldSwP_mnc,ZGUoK9qEEik,1
CSldSwP_mnc,OLhTraleRuM,1
CSldSwP_mnc,FmzfHIJnrmM,1
CSldSwP_mnc,JtnUmOF89t4,1
CSldSwP_mnc,vDhA3f_uSl8,2
CSldSwP_mnc,VVHbPcegtao,1
CSldSwP_mnc,gpVXUOVoZN8,1
CSldSwP_mnc,YZ4W964hocA,1
ZGUoK9qEEik,sofIu3gokFg,1
ZGUoK9qEEik,R6HA8lGJ1-w,1
ZGUoK9qEEik,Tle9otiF6Ak,1
ZGUoK9qEEik,iiVVPmxQ89M,1
ZGUoK9qEEik,vDhA3f_uSl8,1
ZGUoK9qEEik,WYkrVVBmRtQ,1
sofIu3gokFg,zxYjTTXc-J8,1
sofIu3gokFg,2-UcM61ta2o,1
sofIu3gokFg,BuX9Qewp-0k,1
sofIu3gokFg,hQpSx7ucd9g,1
sofIu3gokFg,0uhrEV6T56U,1
sofIu3gokFg,iiVVPmxQ89M,1
sofIu3gokFg,TirK2I0FL5Y,1
sofIu3gokFg,Zu3hNBGLQKg,1
sofIu3gokFg,FmzfHIJnrmM,1
R6HA8lGJ1-w,c-X9C4k9wAk,1
R6HA8lGJ1-w,SH9sgaNQg9g,1
R6HA8lGJ1-w,yrbsXD_B3V0,1
Tle9otiF6Ak,bhHTvIGE7CY,1
Tle9otiF6Ak,jlXXHxWxg08,1
Tle9otiF6Ak,izcAR2eCZbk,1
Tle9otiF6Ak,iiVVPmxQ89M,2
Tle9otiF6Ak,r9sWv-3JK5k,1
Tle9otiF6Ak,lSZ5r5THDT4,1
Tle9otiF6Ak,XSDsQHjBjwk,1
Tle9otiF6Ak,ubXN8GhO3H8,1
OLhTraleRuM,ZGUoK9qEEik,1
OLhTraleRuM,-4lpT0oZDZ4,1
OLhTraleRuM,q_JRqLfMRJQ,1
iiVVPmxQ89M,sofIu3gokFg,1
iiVVPmxQ89M,z_bnjT1gLY4,1
iiVVPmxQ89M,cy7xxJZzDjk,1
-4lpT0oZDZ4,8kVXGfKIk9I,1
-4lpT0oZDZ4,XpNgP9lnRqU,1
-4lpT0oZDZ4,tMn2gGU0uM0,1
