Id;Genre;Probabilities
lGRcf7mi-Uc;Gaming; {'20': 0.9666666666666667, '24': 0.03333333333333333}
MSPdvM4eQ5A;Gaming; {'20': 0.7999999999999999, '24': 0.17500000000000002, '26': 0.0125, '1': 0.0125}
bEpPSldISJo;Gaming; {'20': 0.8499999999999999, '23': 0.1, '24': 0.05}
1RcDyAG6PCM;Gaming; {'20': 0.7, '24': 0.1, '22': 0.2}
UocYHtuzWZA;Gaming; {'20': 0.7, '28': 0.2, '24': 0.1}
pXDx6DjNLDU;Science & Technology; {'24': 0.25, '28': 0.45, '23': 0.1, '27': 0.2}
vDhA3f_uSl8;Entertainment; {'24': 0.5888888888888888, '26': 0.10000000000000002, '1': 0.1444444444444445, '20': 0.1777777777777778, '27': 0.022222222222222223, '22': 0.04444444444444444, '28': 0.027777777777777776, '15': 0.005555555555555556}
DPZzrlFCD_I;Science & Technology; {'28': 0.4, '17': 0.1, '24': 0.30000000000000004, '20': 0.2}
ybPgmjTRvMo;Science & Technology; {'28': 0.7, '17': 0.05, '27': 0.05, '29': 0.05, '10': 0.1, '24': 0.05}
6Zvaa3D1Wsw;Gaming; {'20': 0.7999999999999999, '24': 0.2}
58rSKVOxvDg;Gaming; {'20': 0.857142857142857, '28': 0.08571428571428572, '27': 0.05714285714285715}
T78YFmrY6XI;Gaming; {'20': 0.9999999999999999}
LAOFLU6vSr4;Gaming; {'20': 0.7999999999999999, '26': 0.1, '27': 0.05, '24': 0.05}
7GlQKMyXNik;Gaming; {'20': 0.8999999999999999, '27': 0.1}
osUTMnDFV30;Science & Technology; {'28': 0.6166666666666667, '27': 0.39999999999999997, '24': 0.016666666666666666, '26': 0.08333333333333333, '10': 0.05000000000000001}
DXEWdp6FoVg;Gaming; {'20': 0.8999999999999999, '24': 0.1}
Z4ngm_Na2Gk;Gaming; {'20': 0.9999999999999999}
Zb7PZnRKYWQ;Gaming; {'20': 0.9999999999999999}
X8vDIhLz-J8;Gaming; {'20': 0.7999999999999999, '28': 0.1, '22': 0.1}
dJToSyr4yvM;Gaming; {'20': 0.6833333333333335, '24': 0.2166666666666667, '1': 0.05000000000000001, '22': 0.03333333333333333, '27': 0.016666666666666666}
UqycqI89sAo;Entertainment; {'28': 0.09999999999999999, '17': 0.1444444444444445, '24': 0.5333333333333334, '27': 0.15555555555555556, '23': 0.06666666666666667}
8NYiqIGZBgI;Gaming; {'20': 0.8333333333333334, '24': 0.16666666666666666}
hKoQ6pApSMc;Gaming; {'20': 0.72, '27': 0.1, '24': 0.15999999999999998, '1': 0.02}
jlXXHxWxg08;Entertainment; {'24': 0.9, '20': 0.06000000000000001, '28': 0.02, '10': 0.02}
ZL7HtP8waFw;Film & Animation; {'24': 0.5, '22': 0.15000000000000002, '27': 0.35000000000000003, '20': 0.2, '26': 0.30000000000000004}
qziMcgOw2sc;Gaming; {'20': 0.6, '27': 0.2, '23': 0.1, '17': 0.1}
eKzGaJZ0a-Y;Gaming; {'20': 0.9199999999999999, '23': 0.14, '24': 0.08, '1': 0.04, '22': 0.02}
wyBimQmMZMo;Sports; {'17': 0.5, '24': 0.2, '28': 0.1, '1': 0.1, '23': 0.1}
t4P_PKu6Wa8;Sports; {'17': 0.5, '24': 0.30000000000000004, '28': 0.2}
8Xfz09IJTYY;Film & Animation; {'26': 0.1, '1': 0.55, '23': 0.1, '27': 0.1, '28': 0.05, '24': 0.1}
LmpuerlbJu0;Education; {'27': 0.7000000000000001, '28': 0.20000000000000004, '1': 0.06666666666666667, '25': 0.03333333333333333}
lXfEK8G8CUI;Education; {'27': 0.9999999999999999}
xaQJbozY_Is;Education; {'27': 0.8999999999999999, '28': 0.1}
zJtJH46dyDE;Education; {'27': 0.42000000000000004, '20': 0.26, '1': 0.02, '26': 0.08, '24': 0.1, '28': 0.06000000000000001, '23': 0.04, '22': 0.02}
CSldSwP_mnc;Gaming; {'20': 0.7777777777777778, '24': 0.08888888888888889, '27': 0.06666666666666667, '1': 0.03333333333333334, '23': 0.011111111111111112, '28': 0.011111111111111112, '22': 0.011111111111111112}
ZGUoK9qEEik;Gaming; {'20': 0.8999999999999999, '1': 0.05, '24': 0.05}
sofIu3gokFg;Gaming; {'20': 0.7333333333333333, '28': 0.016666666666666666, '24': 0.15, '22': 0.09999999999999999}
zxYjTTXc-J8;Entertainment; {'24': 0.9999999999999999}
2-UcM61ta2o;Gaming; {'20': 0.7, '24': 0.2, '27': 0.05, '17': 0.05}
BuX9Qewp-0k;Gaming; {'20': 0.8999999999999999, '1': 0.1}
