Id;Genre;Probabilities
o83tQosBB4M;Autos & Vehicles; {'2': 0.8666666666666666, '28': 0.10000000000000002, '26': 0.03333333333333333}
-hgdDJAMYh0;Autos & Vehicles; {'2': 0.9428571428571428, '22': 0.042857142857142864, '25': 0.014285714285714287}
En8UXiFjtCE;Autos & Vehicles; {'2': 0.7999999999999999, '22': 0.1, '25': 0.025, '27': 0.07500000000000001}
Rf9BnEs9cfc;Autos & Vehicles; {'2': 0.75, '22': 0.2, '25': 0.05}
eAlXHLWqEf8;Autos & Vehicles; {'2': 0.8999999999999999, '25': 0.1}
ozd5-PGL8RI;Autos & Vehicles; {'2': 0.75, '26': 0.1, '1': 0.05, '24': 0.1}
FqVjHEG7PsY;Autos & Vehicles; {'2': 0.6, '25': 0.1, '28': 0.2, '22': 0.1}
uv0i4fpdocY;Autos & Vehicles; {'22': 0.3307692307692308, '2': 0.5692307692307692, '27': 0.1076923076923077, '25': 0.04615384615384615, '28': 0.05384615384615384, '26': 0.03076923076923077, '17': 0.007692307692307693, '24': 0.007692307692307693}
xxRxYw_FGV4;Autos & Vehicles; {'2': 0.8999999999999999, '22': 0.1}
dHRlJVBkzPQ;Autos & Vehicles; {'2': 0.8999999999999999, '24': 0.1}
r7SuNUUX1Is;Autos & Vehicles; {'2': 0.8999999999999999, '17': 0.1}
zzFz5xtF47o;Autos & Vehicles; {'2': 0.7, '17': 0.1, '26': 0.1, '22': 0.1}
SskZX0COac0;Autos & Vehicles; {'2': 0.7, '26': 0.1, '28': 0.1, '22': 0.1}
XIqRMKHDMXw;Howto & Style; {'2': 0.7, '27': 0.1, '22': 0.15000000000000002, '28': 0.05}
hxEGiMKS1jg;Autos & Vehicles; {'2': 0.6, '24': 0.045454545454545456, '26': 0.2909090909090909, '27': 0.09090909090909091, '22': 0.05454545454545454, '25': 0.009090909090909092}
6govxZgp9sw;Autos & Vehicles; {'2': 0.7, '17': 0.1, '27': 0.1, '22': 0.1}
DzwziLBzHlE;Autos & Vehicles; {'2': 0.7999999999999999, '22': 0.1, '25': 0.1}
_dGzZhbHeAo;News & Politics; {'25': 0.9166666666666666, '27': 0.08333333333333333}
bAUGXw-Au30;Autos & Vehicles; {'2': 0.7, '1': 0.2, '26': 0.1}
4vvpEHlpiKg;Autos & Vehicles; {'2': 0.7, '1': 0.1, '17': 0.2}
01jo4Uh_Rro;Sports; {'17': 0.30000000000000004, '2': 0.4, '24': 0.1, '22': 0.2}
