Id;Genre;Probabilities
5xs2BSGe8Wg;News & Politics; {'25': 0.75, '2': 0.15000000000000002, '27': 0.1}
BivGTLNElvk;News & Politics; {'25': 0.18749999999999997, '2': 0.0125, '22': 0.018750000000000003, '27': 0.03125}
x-3e9ujHTEA;News & Politics; {'25': 0.8999999999999999, '10': 0.1}
FkhWK33SMwg;News & Politics; {'25': 0.22098765432098763, '2': 0.0012345679012345679}
G3V3e-oYbqY;News & Politics; {'25': 0.2388888888888889, '24': 0.008333333333333335, '27': 0.002777777777777778}
CMuz9r-CUJc;News & Politics; {'25': 0.5, '24': 0.1, '22': 0.1, '17': 0.1, '28': 0.1, '23': 0.1}
EHIKEHCXfjU;News & Politics; {'25': 0.8999999999999999, '22': 0.1}
DJZnT3BE_9g;News & Politics; {'25': 0.07368421052631577, '24': 0.0038781163434903052, '26': 0.005263157894736844, '27': 0.00027700831024930745}
V7f6MPmCrLM;News & Politics; {'25': 0.21428571428571427, '27': 0.003174603174603175, '15': 0.0015873015873015875, '2': 0.003174603174603175}
cZgcpL5ZpN8;News & Politics; {'25': 0.9999999999999999}
sVanjSN0jd4;News & Politics; {'25': 0.7, '27': 0.1, '24': 0.2}
FgMfOJPeV9A;News & Politics; {'25': 0.055381944444444435, '28': 0.0005208333333333334, '29': 0.00034722222222222224, '24': 0.0012152777777777776, '27': 0.0005208333333333334, '2': 0.00034722222222222224, '26': 0.00034722222222222224, '10': 0.00017361111111111112, '22': 0.00017361111111111112}
WUupTMljhyA;News & Politics; {'25': 0.06163194444444442, '2': 0.0012152777777777776, '27': 0.0020833333333333333, '24': 0.0008680555555555555, '29': 0.00017361111111111112}
bm10lJQFxMs;News & Politics; {'25': 0.14900000000000002, '27': 0.017000000000000005, '22': 0.0030000000000000005, '26': 0.001}
1ZCvjb6TqgI;News & Politics; {'25': 0.11700000000000002, '27': 0.012, '2': 0.009999999999999998, '24': 0.001}
ffmhcph_oPs;News & Politics; {'25': 0.07099999999999998, '27': 0.0065000000000000014, '29': 0.0005, '22': 0.0005, '24': 0.0015}
JIiNvJxTFEU;News & Politics; {'25': 0.31666666666666665, '22': 0.016666666666666666}
YwwP82d9CpE;News & Politics; {'25': 0.0625, '27': 0.019444444444444448, '24': 0.008333333333333333, '2': 0.008333333333333333, '26': 0.00486111111111111, '10': 0.0006944444444444445}
V49ZuOb_Hr0;Entertainment; {'24': 0.13125, '22': 0.018750000000000003, '27': 0.00625, '1': 0.03125, '10': 0.00625, '23': 0.00625, '15': 0.018750000000000003, '17': 0.018750000000000003, '25': 0.0125}
PUPpnigFLCQ;Education; {'27': 0.060267857142857144, '28': 0.03526785714285714, '26': 0.06250000000000001, '2': 0.023660714285714285, '24': 0.018750000000000003, '25': 0.00044642857142857147}
5InzccRssnE;News & Politics; {'25': 0.04949494949494947, '27': 0.0030303030303030316, '22': 0.0002754820936639119, '2': 0.0004591368227731864, '10': 0.00018365472910927456, '24': 0.0005509641873278236, '26': 9.182736455463728e-05, '29': 9.182736455463728e-05}
TE32c0-HGvE;News & Politics; {'25': 0.24999999999999997}
uPLoJ3KCNNk;News & Politics; {'25': 0.2083333333333333, '2': 0.04722222222222223, '27': 0.022222222222222223}
9DIGyi6kIkg;News & Politics; {'25': 0.9999999999999999}
dPSxPASJP0k;News & Politics; {'25': 0.22000000000000003, '24': 0.024, '26': 0.016, '10': 0.004, '27': 0.004, '22': 0.004, '17': 0.004, '2': 0.004}
LhHtchAY4M4;News & Politics; {'25': 0.2388888888888889, '24': 0.005555555555555556, '17': 0.002777777777777778, '27': 0.002777777777777778}
-Zhq7Gi9snk;News & Politics; {'25': 0.4374999999999999, '24': 0.043750000000000004, '27': 0.00625, '2': 0.0125}
WXa8-EmOVsg;News & Politics; {'25': 0.8999999999999999, '24': 0.05, '26': 0.05}
9-igXDyuNkI;News & Politics; {'25': 0.13999999999999999, '24': 0.016666666666666666, '26': 0.006666666666666667, '27': 0.0033333333333333335}
rzDmuDd_vXk;News & Politics; {'25': 0.7999999999999999, '24': 0.1, '28': 0.1}
anXw45gLLpY;News & Politics; {'25': 0.20833333333333334, '26': 0.03333333333333333, '27': 0.008333333333333333}
cuZq6nqohT8;Entertainment; {'22': 0.12037037037037039, '10': 0.057407407407407414, '24': 0.19814814814814813, '23': 0.08333333333333333, '15': 0.01111111111111111, '27': 0.011111111111111112}
2HFSaxIsJCE;Pets & Animals; {'15': 0.25416666666666665, '22': 0.020833333333333332, '27': 0.0375, '1': 0.004166666666666667, '26': 0.004166666666666667, '24': 0.012500000000000002}
esM90ipkHHY;People & Blogs; {'1': 0.2, '24': 0.6499999999999999, '10': 0.05, '15': 0.1}
ODFfZTfFNXY;People & Blogs; {'24': 0.275, '17': 0.05, '22': 0.0875, '1': 0.037500000000000006, '23': 0.037500000000000006, '10': 0.0125}
qZ5SqOw4s9A;News & Politics; {'25': 0.8999999999999999, '15': 0.1}
s01ZL5TnBNY;News & Politics; {'25': 0.31666666666666665, '24': 0.016666666666666666}
Iipyl3fCuq0;News & Politics; {'25': 0.3, '28': 0.03333333333333333}
UwvABEH0hj8;News & Politics; {'25': 0.9999999999999999}
kGw8idM2nBE;News & Politics; {'25': 0.7, '24': 0.2, '10': 0.1}
fwtzvjDdeLw;News & Politics; {'25': 0.11597222222222224, '27': 0.003472222222222222, '26': 0.011111111111111113, '29': 0.0006944444444444445, '19': 0.0006944444444444445, '24': 0.005555555555555556, '1': 0.0006944444444444445, '28': 0.0006944444444444445}
GLAwqEXx-aM;News & Politics; {'25': 0.6, '22': 0.1, '15': 0.1, '2': 0.1, '27': 0.1}
A4eLwceKtpg;News & Politics; {'25': 0.9999999999999999}
5rx7mhXmCkk;News & Politics; {'25': 0.6, '24': 0.1, '26': 0.1, '22': 0.2}
JowIQEYfqEE;News & Politics; {'25': 0.1861111111111111, '29': 0.002777777777777778, '2': 0.002777777777777778, '27': 0.002777777777777778}
Ilvl_8g38xg;News & Politics; {'25': 0.6, '23': 0.1, '26': 0.1, '27': 0.1, '2': 0.1}
12nw3fMyPKE;News & Politics; {'25': 0.12244897959183673, '27': 0.004081632653061225, '2': 0.006122448979591838, '24': 0.00816326530612245, '10': 0.0020408163265306124}
Up-JCwvBHnM;News & Politics; {'25': 0.8999999999999999, '27': 0.1}
Oq4xILmPZ9c;News & Politics; {'25': 0.14999999999999997, '27': 0.010000000000000002, '26': 0.0033333333333333335, '2': 0.0033333333333333335}
h5xqP-aPwOU;Education; {'1': 0.008333333333333333, '27': 0.16666666666666666, '25': 0.025000000000000005, '22': 0.008333333333333333, '17': 0.008333333333333333, '10': 0.016666666666666666, '24': 0.008333333333333333, '26': 0.008333333333333333}
79ExQWKb2vA;Education; {'27': 0.05178571428571429, '24': 0.023214285714285715, '26': 0.023214285714285715, '23': 0.010714285714285714, '25': 0.010714285714285714, '10': 0.0017857142857142859, '22': 0.0017857142857142859, '28': 0.0017857142857142859}
RerKFYCVFVY;Education; {'27': 0.8999999999999999, '25': 0.1}
cfPL48LXI0I;News & Politics; {'25': 0.8999999999999999, '24': 0.1}
UsYM-s6JuwE;News & Politics; {'25': 0.30624999999999997, '29': 0.00625}
vQzAxeC4-SA;News & Politics; {'25': 0.172, '15': 0.012000000000000002, '26': 0.004, '17': 0.004, '22': 0.004, '27': 0.004}
3M4QZJxb9Dw;News & Politics; {'25': 0.7999999999999999, '24': 0.05, '2': 0.05, '22': 0.05, '27': 0.05}
ImGx2yDufIU;News & Politics; {'25': 0.12857142857142856, '24': 0.0023809523809523807, '22': 0.0023809523809523807, '27': 0.007142857142857144, '2': 0.0023809523809523807}
kGoWpcIdfds;News & Politics; {'25': 0.22499999999999998, '24': 0.025000000000000005}
-oAhmQCLNsE;News & Politics; {'25': 0.7, '27': 0.15000000000000002, '29': 0.1, '24': 0.05}
QFqaBuFtigQ;News & Politics; {'25': 0.13809523809523808, '29': 0.0047619047619047615}
unI0V_54mY8;News & Politics; {'25': 0.7999999999999999, '22': 0.1, '27': 0.1}
xMiug2sZ4Io;Education; {'24': 0.15, '27': 0.10000000000000002, '25': 0.03333333333333333, '28': 0.03333333333333333, '22': 0.016666666666666666}
76xRkWhCbe8;Education; {'27': 0.475, '26': 0.15, '2': 0.2, '28': 0.175}
bpHVxNEyPcA;Howto & Style; {'2': 0.2666666666666667, '27': 0.022222222222222223, '17': 0.011111111111111112, '26': 0.24444444444444446, '22': 0.13333333333333333, '28': 0.17777777777777778, '24': 0.03333333333333334}
2pDw8C8965I;Science & Technology; {'28': 0.4, '26': 0.30000000000000004, '2': 0.30000000000000004}
RBco7PVuPDI;Education; {'27': 0.55, '28': 0.45}
IQSetW0suH0;Autos & Vehicles; {'25': 0.1, '24': 0.2, '2': 0.5, '26': 0.2}
lJw-_9JSjJY;Autos & Vehicles; {'2': 0.19090909090909092, '22': 0.0375, '28': 0.04431818181818182}
GLp9V0HEiwI;Autos & Vehicles; {'2': 0.2739130434782609, '15': 0.004755434782608696, '22': 0.017663043478260868, '1': 0.0032608695652173916, '28': 0.01671195652173913, '24': 0.0002717391304347826}
VdelZ-iVogI;Howto & Style; {'27': 0.06666666666666667, '28': 0.05000000000000001, '26': 0.13333333333333333, '24': 0.05000000000000001, '2': 0.016666666666666666, '22': 0.016666666666666666}
