Source,Target,weight
t6OBk9YBLQU,ZJwS5Kqdhdg,2
t6OBk9YBLQU,IHQr0HCIN2w,1
t6OBk9YBLQU,igT8XYYhkmo,1
t6OBk9YBLQU,HPkuEIgo2-o,1
t6OBk9YBLQU,vH7ASHJO6kQ,2
t6OBk9YBLQU,vsA-ZrGpR-Y,2
t6OBk9YBLQU,NRduatRzkfc,2
t6OBk9YBLQU,dcQEWGjDS2o,1
ZJwS5Kqdhdg,sitj0GGbnhY,1
ZJwS5Kqdhdg,HuVeSRLi2Fw,1
ZJwS5Kqdhdg,yHKweMzVm5g,1
ZJwS5Kqdhdg,anxfxIt7eX4,4
ZJwS5Kqdhdg,zDPSRzHWSgY,3
ZJwS5Kqdhdg,cckcbIrJKY0,1
ZJwS5Kqdhdg,pYrydCWuzZI,2
ZJwS5Kqdhdg,dcQEWGjDS2o,2
ZJwS5Kqdhdg,t6OBk9YBLQU,1
ZJwS5Kqdhdg,uzVFPWWHHsE,2
ZJwS5Kqdhdg,82V4xbhZjC0,1
ZJwS5Kqdhdg,EFn38oLo_iQ,1
ZJwS5Kqdhdg,VPyNf0-PAjo,1
anxfxIt7eX4,jauALPqKn94,1
anxfxIt7eX4,VZlLBZmYZJQ,1
anxfxIt7eX4,TqsmROB-CGM,1
anxfxIt7eX4,ZJwS5Kqdhdg,3
anxfxIt7eX4,uVVBe6Sma2A,3
anxfxIt7eX4,NqvyjR6Cwh8,3
anxfxIt7eX4,HNoU97ModT0,2
anxfxIt7eX4,L_F3JO7R0mU,2
anxfxIt7eX4,W980Aj8pyBs,1
anxfxIt7eX4,K6oKb9FUZEk,1
anxfxIt7eX4,RzdJsRmRTyw,2
anxfxIt7eX4,0gW9EnfWzDw,1
anxfxIt7eX4,mGVonT-xgcQ,1
anxfxIt7eX4,dcQEWGjDS2o,1
anxfxIt7eX4,t71BFdB4z-E,1
anxfxIt7eX4,NaGwSRDdptA,1
anxfxIt7eX4,4gi9y3sTrXE,1
anxfxIt7eX4,wqJAMFH1pqA,1
jauALPqKn94,CyKrpMnf0Tc,1
jauALPqKn94,5naB2i9UcQ4,1
jauALPqKn94,fCoji-HeMRM,1
CyKrpMnf0Tc,bTd1kUMYr3Y,1
CyKrpMnf0Tc,fzlZ7IQ6DFQ,1
CyKrpMnf0Tc,8QQorlXncJg,1
bTd1kUMYr3Y,0gbr3zEaQYA,1
bTd1kUMYr3Y,tJQoDZUy3sE,1
bTd1kUMYr3Y,iIyUohMMu-0,1
fzlZ7IQ6DFQ,bvNizoP-07Y,1
fzlZ7IQ6DFQ,P4XeJjRjBVk,1
fzlZ7IQ6DFQ,nndMWrIvfBY,1
8QQorlXncJg,g75XI0Cd0bg,1
8QQorlXncJg,rsNiCwlryIg,1
8QQorlXncJg,V3727luAMwY,1
5naB2i9UcQ4,lO2yOETR2jQ,1
5naB2i9UcQ4,zGcSKiV2I2g,1
5naB2i9UcQ4,knNtdD-AcwA,1
lO2yOETR2jQ,rsNiCwlryIg,1
lO2yOETR2jQ,rfKeyZTnV6U,1
lO2yOETR2jQ,cWW04I9vFAw,1
zGcSKiV2I2g,aXnOcGjdlHM,1
zGcSKiV2I2g,dfySVO4d9r0,1
zGcSKiV2I2g,FcJAz30kA9E,1
knNtdD-AcwA,xMbThAbA1cY,1
knNtdD-AcwA,0gbr3zEaQYA,1
knNtdD-AcwA,Qjf2NW9S5gY,1
fCoji-HeMRM,9_PG2X-64Q4,1
fCoji-HeMRM,P7utNEwPrYo,1
fCoji-HeMRM,GYQxHZgi-8Y,1
9_PG2X-64Q4,3S3km_2MSCM,1
9_PG2X-64Q4,ORF31nw88go,1
9_PG2X-64Q4,zytv6NDdw4o,1
P7utNEwPrYo,DYu3SLem_-A,1
P7utNEwPrYo,CJSoaPH1Brg,1
P7utNEwPrYo,R4gDMMAyt3A,1
GYQxHZgi-8Y,z2qXpCc35bk,1
GYQxHZgi-8Y,cxxJS1LX438,1
GYQxHZgi-8Y,C_BLA7nY1M0,1
uVVBe6Sma2A,BlaPn7LkwJA,1
uVVBe6Sma2A,anxfxIt7eX4,2
uVVBe6Sma2A,_Z4dRGiOTYo,1
uVVBe6Sma2A,-TEO_X7Udsk,1
uVVBe6Sma2A,vH7ASHJO6kQ,2
uVVBe6Sma2A,HPkuEIgo2-o,1
uVVBe6Sma2A,buKpcZOYuJc,1
BlaPn7LkwJA,t71BFdB4z-E,1
BlaPn7LkwJA,vH7ASHJO6kQ,1
BlaPn7LkwJA,eSCCbBR3aqA,1
BlaPn7LkwJA,AC_15fULavo,1
BlaPn7LkwJA,_Z4dRGiOTYo,1
BlaPn7LkwJA,dcQEWGjDS2o,1
t71BFdB4z-E,HNoU97ModT0,2
t71BFdB4z-E,osUTMnDFV30,1
t71BFdB4z-E,0gW9EnfWzDw,2
t71BFdB4z-E,Gtwo2ZvpNu4,1
t71BFdB4z-E,dcQEWGjDS2o,1
t71BFdB4z-E,ZJwS5Kqdhdg,1
t71BFdB4z-E,igT8XYYhkmo,1
HNoU97ModT0,anxfxIt7eX4,3
HNoU97ModT0,zDPSRzHWSgY,4
HNoU97ModT0,9R8KQweQMXs,1
HNoU97ModT0,buKpcZOYuJc,1
HNoU97ModT0,vH7ASHJO6kQ,1
HNoU97ModT0,_Z4dRGiOTYo,1
HNoU97ModT0,igT8XYYhkmo,1
0gW9EnfWzDw,3Abk2WWuoao,1
0gW9EnfWzDw,dcQEWGjDS2o,2
0gW9EnfWzDw,sdgJGrY6D3o,1
0gW9EnfWzDw,ZJwS5Kqdhdg,2
0gW9EnfWzDw,M_ThtCRAySw,1
0gW9EnfWzDw,ufhExQnUKUk,1
0gW9EnfWzDw,YVeQ7RE5sRE,1
0gW9EnfWzDw,uT3SBzmDxGk,1
0gW9EnfWzDw,iRKnHXd18Yk,1
0gW9EnfWzDw,xMa7EGVRiak,1
vH7ASHJO6kQ,mGVonT-xgcQ,1
vH7ASHJO6kQ,dcQEWGjDS2o,3
vH7ASHJO6kQ,0gW9EnfWzDw,3
vH7ASHJO6kQ,t71BFdB4z-E,1
vH7ASHJO6kQ,W980Aj8pyBs,2
vH7ASHJO6kQ,anxfxIt7eX4,1
vH7ASHJO6kQ,ZJwS5Kqdhdg,3
vH7ASHJO6kQ,NYcnYTtnG58,2
vH7ASHJO6kQ,s0ly1zM3q14,1
vH7ASHJO6kQ,i4RJ_0XRiXk,1
mGVonT-xgcQ,anxfxIt7eX4,3
mGVonT-xgcQ,1gq88ujkE0s,2
mGVonT-xgcQ,pp9DMcI9OmE,2
mGVonT-xgcQ,W980Aj8pyBs,2
mGVonT-xgcQ,0gW9EnfWzDw,1
mGVonT-xgcQ,vH7ASHJO6kQ,2
mGVonT-xgcQ,UIDotNx7_Yw,1
mGVonT-xgcQ,HNoU97ModT0,1
mGVonT-xgcQ,HPkuEIgo2-o,1
mGVonT-xgcQ,HFhsh4V8SZA,1
mGVonT-xgcQ,i4RJ_0XRiXk,1
mGVonT-xgcQ,Zofqu2gznAc,1
dcQEWGjDS2o,t71BFdB4z-E,1
dcQEWGjDS2o,zDPSRzHWSgY,3
dcQEWGjDS2o,mGVonT-xgcQ,5
dcQEWGjDS2o,0gW9EnfWzDw,2
dcQEWGjDS2o,anxfxIt7eX4,2
dcQEWGjDS2o,ZJwS5Kqdhdg,1
dcQEWGjDS2o,AfZP8ns1MuY,2
dcQEWGjDS2o,buKpcZOYuJc,1
dcQEWGjDS2o,_Z4dRGiOTYo,1
dcQEWGjDS2o,AC_15fULavo,1
