Id;Genre;Probabilities
bOuEJf8Dr_4;Nonprofits & Activism; {'29': 0.9999999999999999}
twSvd5bQLDw;Nonprofits & Activism; {'29': 0.02011661807580175, '28': 0.00029154518950437323}
bZMJdhe4xhQ;Nonprofits & Activism; {'29': 0.1111111111111111}
NWH8N-BvhAw;Nonprofits & Activism; {'29': 0.06249999999999999}
L9UIF852Boo;Nonprofits & Activism; {'29': 0.002375277389660557, '28': 8.218952905399852e-06}
IZLgWQkvIQg;Nonprofits & Activism; {'29': 0.6249999999999999}
4BZuWrdC-9Q;Nonprofits & Activism; {'29': 0.06041666666666665, '22': 0.0020833333333333333}
wRVWhFWiIaM;Nonprofits & Activism; {'29': 0.9999999999999999}
vj-91dMvQQo;Nonprofits & Activism; {'29': 0.023323615160349854}
SemHh0n19LA;Nonprofits & Activism; {'29': 0.9999999999999999}
1EHZAQmw2JA;Nonprofits & Activism; {'29': 0.07656249999999999, '27': 0.0015625}
H2rG4Dg6xyI;Nonprofits & Activism; {'27': 0.002777777777777778, '29': 0.024999999999999998}
--mY5ruEhqI;Nonprofits & Activism; {'29': 0.03148148148148148, '27': 0.000462962962962963, '26': 0.000462962962962963}
XOU2ubWkoPw;Nonprofits & Activism; {'29': 0.1111111111111111}
8so1WZ4j1oQ;Nonprofits & Activism; {'29': 0.1111111111111111}
GwRzjFQa_Og;Nonprofits & Activism; {'29': 0.8999999999999999, '27': 0.1}
veEQQ-N9xWU;Education; {'29': 0.1111111111111111}
LnJwH_PZXnM;Nonprofits & Activism; {'29': 0.0070075757575757585, '27': 0.0001262626262626263, '22': 0.0004419191919191919}
4-079YIasck;Nonprofits & Activism; {'29': 0.0018188284306254123, '27': 1.0161052685058173e-05}
rKQLBiylsn8;Nonprofits & Activism; {'29': 0.1111111111111111}
EirlZ7fy3bE;Nonprofits & Activism; {'29': 0.1111111111111111}
Lp7E973zozc;Nonprofits & Activism; {'27': 0.0008264462809917355, '29': 0.009691960931630354}
TFbv757kup4;Nonprofits & Activism; {'29': 0.0045333333333333345, '22': 0.00047407407407407413, '24': 2.962962962962963e-05}
xp0O2vi8DX4;Nonprofits & Activism; {'29': 0.02040816326530612}
xnLoToJVQH4;Nonprofits & Activism; {'29': 0.05092592592592592}
21j_OCNLuYg;Nonprofits & Activism; {'29': 0.10740740740740741, '27': 0.003703703703703704}
IeblJdB2-Vo;Nonprofits & Activism; {'29': 0.07812499999999999}
njESlZa2b10;Nonprofits & Activism; {'29': 0.1111111111111111}
3dqXHHCc5lA;Nonprofits & Activism; {'29': 0.06249999999999999}
JUedQ0_EGCQ;Nonprofits & Activism; {'29': 0.015624999999999998}
pi4JOlMSWjo;Nonprofits & Activism; {'27': 0.003703703703703704, '29': 0.03333333333333333}
9vJRopau0g0;Nonprofits & Activism; {'29': 0.004931640624999999, '28': 0.00019531249999999998}
g6TUZm5wzLs;Nonprofits & Activism; {'29': 0.8499999999999999, '27': 0.1, '28': 0.05}
55FEuuOpthc;Nonprofits & Activism; {'29': 0.8999999999999999, '27': 0.1}
MY5SatbZMAo;Nonprofits & Activism; {'29': 0.056249999999999994, '26': 0.006250000000000001}
vLFxOOEyhUE;Nonprofits & Activism; {'29': 0.039999999999999994}
f0WCb23KPEw;Nonprofits & Activism; {'27': 0.0017578124999999998, '29': 0.014257812499999998, '28': 0.0015624999999999999}
55HERZnmHT8;Nonprofits & Activism; {'29': 0.06041666666666667, '27': 0.0020833333333333333}
tGdsOXZpyWE;Nonprofits & Activism; {'29': 0.06249999999999999}
jOJLx4Du3vU;Nonprofits & Activism; {'29': 0.0010888888888888886, '27': 4.444444444444445e-05, '25': 2.222222222222222e-05, '26': 2.9629629629629627e-05}
M2NHvpM9PWU;Education; {'26': 0.011111111111111113, '29': 0.09259259259259257, '25': 0.007407407407407408}
rPh3c8Sa37M;Nonprofits & Activism; {'29': 0.039999999999999994}
G4UDQnxk_2g;Nonprofits & Activism; {'29': 0.8999999999999999, '28': 0.1}
8pq_tCgDkT4;Nonprofits & Activism; {'29': 0.06041666666666667, '28': 0.0020833333333333333}
RlSwsE22nX0;Nonprofits & Activism; {'29': 0.055999999999999994}
ljqra3BcqWM;Nonprofits & Activism; {'29': 0.10370370370370369, '28': 0.007407407407407408}
1illzOnz6w4;Nonprofits & Activism; {'29': 0.8999999999999999, '27': 0.1}
3WMuzhQXJoY;Nonprofits & Activism; {'29': 0.35, '28': 0.025}
XGq3MXQlRJs;Nonprofits & Activism; {'29': 0.057812499999999996, '28': 0.004687500000000001}
A5dE25ANU0k;Nonprofits & Activism; {'29': 0.012191358024691358, '27': 0.00015432098765432098}
Exf125xEQKY;Nonprofits & Activism; {'29': 0.9999999999999999}
JsC9ZHi79jo;Nonprofits & Activism; {'29': 0.012499999999999999, '27': 0.0017578124999999998, '28': 0.0013671875}
_VB39Jo8mAQ;Nonprofits & Activism; {'29': 0.019047619047619046, '28': 0.0013605442176870747}
Aq4g-Bv2_Gk;Nonprofits & Activism; {'29': 0.8999999999999999, '27': 0.1}
ZwGEQcFo9RE;Science & Technology; {'28': 0.1, '29': 0.8999999999999999}
VNGFep6rncY;Nonprofits & Activism; {'29': 0.06249999999999999}
u9hauSrihYQ;Nonprofits & Activism; {'29': 0.056249999999999994, '24': 0.00625}
MdZAMSyn_As;Nonprofits & Activism; {'29': 0.01870748299319728, '22': 0.0017006802721088435}
SucvjUnhkGI;Nonprofits & Activism; {'29': 0.06041666666666665, '27': 0.0020833333333333333}
cmN4xOGkxGo;Nonprofits & Activism; {'29': 0.1111111111111111}
w-HYZv6HzAs;People & Blogs; {'29': 0.01755829903978052, '27': 0.00027434842249657066}
5pW2b1vwwf4;Nonprofits & Activism; {'29': 0.10555555555555556, '22': 0.005555555555555556}
v1ojZKWfShQ;Nonprofits & Activism; {'29': 0.007603305785123968, '22': 0.0005785123966942148, '27': 8.264462809917356e-05}
11RKiZ1S0e4;Nonprofits & Activism; {'29': 0.9999999999999999}
DledVVpRI9o;Nonprofits & Activism; {'29': 0.06041666666666665, '22': 0.0020833333333333333}
7XFLTDQ4JMk;Nonprofits & Activism; {'29': 0.1111111111111111}
LBvHI1awWaI;Nonprofits & Activism; {'29': 0.045599999999999995, '27': 0.0024000000000000002}
sWp87GXDvEk;Nonprofits & Activism; {'29': 0.027314814814814816, '27': 0.000462962962962963}
esPRsT-lmw8;Nonprofits & Activism; {'28': 0.0006279434850863424, '29': 0.0048273155416012565, '27': 3.924646781789639e-05}
bi-C26-z0Us;Nonprofits & Activism; {'29': 0.9999999999999999}
pVIW0tDKtIo;Nonprofits & Activism; {'29': 0.1111111111111111}
R_UntpOT_ik;Nonprofits & Activism; {'29': 0.8999999999999999, '28': 0.1}
xH6gXiBMijA;Nonprofits & Activism; {'28': 0.1, '29': 0.8999999999999999}
OsDyIoINO-M;Nonprofits & Activism; {'29': 0.8999999999999999, '28': 0.1}
ZML0eAZ-RwI;Nonprofits & Activism; {'29': 0.06249999999999999}
DfBzEAieaAM;Nonprofits & Activism; {'29': 0.024999999999999998, '27': 0.002777777777777778}
